element,a_A,E_total_eV,n_atoms,E_atom_eV,V_atom_A3,converged,file
Ni,2.790443686910673,-724.7487830921082,128,-5.662099867907095,10.864000878816766,True,relax/a2_ni.extxyz
Al,3.2246518560977124,-471.9635824911919,128,-3.687215488212437,16.765577027543515,True,relax/a2_al.extxyz
