x_Al_target,branch,x_Al,Ef,Efstd,a,V,n,n_atoms,G_1273K,Gstd_1273K,minus_T_S_1273K,G_1473K,Gstd_1473K,minus_T_S_1473K,delta_Ef_0K_all_eV,delta_G_1273K_0K_all_eV,delta_G_1473K_0K_all_eV,delta_Ef_1273K_eV,delta_G_1273K_1273K_eV,delta_G_1473K_1273K_eV,delta_Ef_1473K_eV,delta_G_1273K_1473K_eV,delta_G_1473K_1473K_eV
0.34,vacancy,0.340206,-0.4513589464925212,0.0057410415757823,2.622920628952097,11.905954696573438,2,97,-0.49888165680689656,0.00574104157578226,-0.04752271031437541,-0.506347911373177,0.005741041575782338,-0.05498896488065594,0.11756041601709377,0.07003770570271839,0.06257145113643792,0.10282184046775211,0.05529913015337673,0.04783287558709626,0.10282184046775211,0.05529913015337673,0.04783287558709626
0.36,vacancy,0.36,-0.4685484883323249,0.0,2.660057122283145,12.046277471563805,1,100,-0.5141378899951867,0.0,-0.04558940166286185,-0.5213004040034919,0.0,-0.05275191567116699,0.1206790164858097,0.07508961482294785,0.0679271008146427,0.1027063393864196,0.05711693772355775,0.049954423715252605,0.1027063393864196,0.05711693772355775,0.049954423715252605
0.38,vacancy,0.378641,-0.466733249510232,0.0,2.6929701458160507,12.134932526150516,1,103,-0.5099021550312898,0.0,-0.04316890552105779,-0.5166843868492094,0.0,-0.04995113733897738,0.1404296576159586,0.09726075209490082,0.09047852027698122,0.12060105652409614,0.07743215100303835,0.07064991918511876,0.12060105652409614,0.07743215100303835,0.07064991918511876
0.4,vacancy,0.401869,-0.4849668099370308,0.006156924488613164,2.743445184541738,12.350892567252883,3,107,-0.524186619772505,0.006156924488613195,-0.03921980983547416,-0.5303484123625245,0.006156924488613132,-0.04538160242549368,0.13843708475777883,0.09921727492230459,0.09305548233228511,0.12240365951741294,0.0831838496819387,0.07702205709191923,0.12240365951741294,0.0831838496819387,0.07702205709191923
0.41,vacancy,0.407407,-0.5024250745444432,0.05257821129589136,2.755253084597669,12.397139216742097,3,108,-0.5405304371160171,0.05257821129589136,-0.03810536257157393,-0.5465171397981182,0.05257821129589135,-0.04409206525367515,0.12485098259031013,0.0867456200187362,0.0807589173366351,0.10972239994791178,0.07161703737633784,0.06563033469423674,0.10972239994791178,0.07161703737633784,0.06563033469423674
0.42,vacancy,0.418182,-0.497467826385572,0.007151420578964399,2.7880975656397617,12.610008806591317,3,110,-0.5331898754051054,0.007151420578964381,-0.035722049019533485,-0.538802137623414,0.00715142057896438,-0.041334311237841946,0.13734209681823023,0.10162004779869682,0.09600778558038825,0.1239740195917039,0.08825197057217049,0.08263970835386192,0.1239740195917039,0.08825197057217049,0.08263970835386192
0.43,vacancy,0.428571,-0.5176737317647794,0.0023937638470746298,2.8048358474622503,12.609127575940958,3,112,-0.5508011730787467,0.002393763847074576,-0.03312744131396713,-0.5560057985797626,0.0023937638470746298,-0.038332066814983135,0.12440016680712962,0.09127272549316234,0.08606809999214637,0.11272952723865381,0.07960208592468654,0.07439746042367057,0.11272952723865381,0.07960208592468654,0.07439746042367057
0.44,vacancy,0.438596,-0.5407999401460591,0.006509033255954719,2.8178996632959787,12.561807719875352,3,114,-0.5711106509999913,0.006509033255954719,-0.03031071085393211,-0.5758727422574826,0.006509033255954719,-0.035072802111423496,0.10828342546457059,0.07797271461063848,0.0732106233531471,0.0982507503317438,0.06794003947781169,0.0631779482203203,0.0982507503317438,0.06794003947781169,0.0631779482203203
0.45,vacancy,0.44827600000000006,-0.5646681774162916,0.0029317016046247874,2.8313957087818427,12.523451841449573,3,116,-0.5919227590828392,0.0029317016046247874,-0.027254581666547595,-0.5962047043564523,0.0029317016046247874,-0.031536526940160736,0.09118343167910792,0.06392885001256032,0.05964690473894718,0.08273235213102748,0.05547777046447988,0.05119582519086674,0.08273235213102748,0.05547777046447988,0.05119582519086674
0.46,vacancy,0.462185,-0.603544464213451,0.0033319747831454076,2.848725957784184,12.433260845562144,3,119,-0.6257044461356198,0.0033319747831454076,-0.022159981922168837,-0.6291859829654971,0.0033319747831454076,-0.025641518752046122,0.06203229969906243,0.039872317776893595,0.03639078094701631,0.05585378347621306,0.03369380155404422,0.030212264724166937,0.05585378347621306,0.03369380155404422,0.030212264724166937
