structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged,sqs_cell
b2_x0.680_vacNi_alrich_sqs_5x5x5_s3,vacancy,0.68,0.679348,3,59,125,184,250,-891.0772958419079,2785.3094542040885,15.13755138154396,2.8139809093495867,-0.47196026438409683,True,5x5x5
b2_x0.680_vacNi_alrich_sqs_5x5x5_s4,vacancy,0.68,0.679348,4,59,125,184,250,-891.1620052170006,2783.4056449274008,15.127204591996744,2.8133396276402807,-0.4724206414226438,True,5x5x5
b2_x0.680_vacNi_alrich_sqs_5x5x5_s5,vacancy,0.68,0.679348,5,59,125,184,250,-891.0687992281327,2782.355136218844,15.121495305537197,2.812985647654814,-0.4719140871353182,True,5x5x5
b2_x0.680_vacNi_alrich_sqs_5x5x5_s6,vacancy,0.68,0.679348,6,59,125,184,250,-891.2513540623136,2784.85814853182,15.135098633325109,2.8138289173639874,-0.4729062329732579,True,5x5x5
b2_x0.680_vacNi_alrich_sqs_5x5x5_s7,vacancy,0.68,0.679348,7,59,125,184,250,-891.191672062125,2783.688845155873,15.128743723673223,2.8134350397010013,-0.47258187427658094,True,5x5x5
b2_x0.680_vacNi_alrich_sqs_5x5x5_s8,vacancy,0.68,0.679348,8,59,125,184,250,-891.1493408545417,2783.4267271488666,15.127319169287318,2.8133467306053657,-0.4723518133658022,True,5x5x5
b2_x0.680_vacNi_alrich_sqs_5x5x5_s9,vacancy,0.68,0.679348,9,59,125,184,250,-891.1542309166335,2787.304574527161,15.148394426778049,2.8146526348954946,-0.47237838979021424,True,5x5x5
b2_x0.700_vacNi_alrich_sqs_5x5x5_s3,vacancy,0.7,0.698324,3,54,125,179,250,-854.8086038940908,2768.9856202980086,15.469193409486081,2.8084728454761114,-0.442633981790691,True,5x5x5
b2_x0.700_vacNi_alrich_sqs_5x5x5_s4,vacancy,0.7,0.698324,4,54,125,179,250,-854.6064453817116,2766.8827115085946,15.457445315690473,2.807761699618746,-0.4415046046265618,True,5x5x5
b2_x0.700_vacNi_alrich_sqs_5x5x5_s5,vacancy,0.7,0.698324,5,54,125,179,250,-854.4511033649579,2764.0334424564285,15.441527611488427,2.806797580184757,-0.44063677213073105,True,5x5x5
b2_x0.700_vacNi_alrich_sqs_5x5x5_s6,vacancy,0.7,0.698324,6,54,125,179,250,-854.4998336879021,2762.6431425183373,15.433760572728142,2.8063268978713944,-0.44090900857175985,True,5x5x5
b2_x0.700_vacNi_alrich_sqs_5x5x5_s7,vacancy,0.7,0.698324,7,54,125,179,250,-854.7607188128405,2752.985888766217,15.379809434448141,2.803053094474038,-0.44236646737029867,True,5x5x5
b2_x0.700_vacNi_alrich_sqs_5x5x5_s8,vacancy,0.7,0.698324,8,54,125,179,250,-854.8227708585231,2743.2288995356935,15.325301114724544,2.7997376963587035,-0.44271312684338554,True,5x5x5
b2_x0.700_vacNi_alrich_sqs_5x5x5_s9,vacancy,0.7,0.698324,9,54,125,179,250,-854.6661172792143,2752.0325939948993,15.374483765334633,2.8027295131628387,-0.44183796718244256,True,5x5x5
b2_x0.720_vacNi_alrich_sqs_5x5x5_s3,vacancy,0.72,0.718391,3,49,125,174,250,-817.7041073271197,2711.333711744471,15.582377653703858,2.788844632974539,-0.40681880583471064,True,5x5x5
b2_x0.720_vacNi_alrich_sqs_5x5x5_s4,vacancy,0.72,0.718391,4,49,125,174,250,-818.2486261651949,2703.473708539993,15.537205221494212,2.7861471236556055,-0.4099482244443382,True,5x5x5
b2_x0.720_vacNi_alrich_sqs_5x5x5_s5,vacancy,0.72,0.718391,5,49,125,174,250,-818.0940107698818,2695.5872305118323,15.491880635125472,2.7834352683024135,-0.4090596302184018,True,5x5x5
b2_x0.720_vacNi_alrich_sqs_5x5x5_s6,vacancy,0.72,0.718391,6,49,125,174,250,-818.359014739686,2684.501170530035,15.428167646724338,2.7796142419831855,-0.4105826415391155,True,5x5x5
b2_x0.720_vacNi_alrich_sqs_5x5x5_s7,vacancy,0.72,0.718391,7,49,125,174,250,-818.1710005961969,2693.8424216361136,15.4818529979087,2.782834581528049,-0.40950210048457975,True,5x5x5
