x_Al_target,x_Al,Ef,Efstd,V,Vstd,conv,Ef_hull,delta_above_hull
0.6,0.601562,-0.5303615241628646,0.002227956003781029,12.815046558635759,0.03377617912416443,True,-0.6268158223106922,0.09645429814782758
0.61,0.609375,-0.5142269528972649,0.002829768614276155,12.887945093828167,0.05347616019265715,True,-0.6175711125025363,0.10334415960527132
0.63,0.632812,-0.48567159310071667,0.005846900026705048,13.296644543924847,0.14643935232659608,True,-0.5898393495723235,0.10416775647160686
0.65,0.648438,-0.46546893465318195,0.0026782147544159684,13.525897187207418,0.16161593894412093,True,-0.5713499299560116,0.10588099530282968
0.67,0.671875,-0.44061491233400957,0.002980406609310064,14.170172800225702,0.10930987952296502,False,-0.5436181670257988,0.10300325469178923
0.69,0.6875,-0.4303926200511838,0.0011777494554178114,14.384006386104124,0.041357916637809675,True,-0.5251299306566144,0.09473731060543061
0.7,0.703125,-0.4070112341179796,0.0005149591818222793,14.476897043641683,0.15211223316565725,False,-0.5066416942874301,0.09963046016945049
0.71,0.710938,-0.39695986863181076,0.000632390068290117,14.548588945783363,0.037878386322249165,True,-0.4973969844792741,0.10043711584746334
0.73,0.726562,-0.3768494186901303,0.005944552716761772,14.701289417270047,0.15167469519972684,False,-0.47890993135721727,0.10206051266708699
0.75,0.75,-0.3499862608086441,0.0029936622910599073,15.086158401870085,0.007156292746356248,False,-0.451176985179877,0.10119072437123289
0.77,0.773438,-0.32994590894974785,0.0035859756134578057,15.283501661415544,0.025331760494516204,False,-0.4088782571588114,0.07893234820906353
0.79,0.789062,-0.30026707316277496,0.004643030720442144,15.436756304013043,0.04305125712031756,False,-0.3806815114210721,0.08041443825829714
0.8,0.796875,-0.28566916082307703,0.0008110971216700538,15.414360442580133,0.03515952253782477,False,-0.3665813338449741,0.08091217302189707
