system,X,n_X,n_Al,n_atoms,energy_eV,energy_per_atom_eV,volume_A3,volume_per_atom_A3,converged,time_s
CoAl_fcc50,Co,16,16,32,-185.64826294082206,-5.8015082169006895,388.59248887267586,12.14351527727112,True,48.197832345962524
PdAl_fcc50,Pd,16,16,32,-165.51498035194527,-5.17234313599829,494.752187501174,15.461005859411687,True,37.2420756816864
RhAl_fcc50,Rh,16,16,32,-202.91521907462086,-6.341100596081902,464.62321739393894,14.519475543560592,True,104.2620542049408
IrAl_fcc50,Ir,16,16,32,-223.50754685009065,-6.984610839065333,459.46194212286986,14.358185691339683,True,41.64236092567444
