x_Al_target,branch,x_Al,Ef,Efstd,a,V,Ef_hull,delta_above_hull
0.2,antisite,0.203125,-0.34223352974931515,0.009255186533769789,2.8188824226235716,11.19956880906826,-0.3870508629307774,0.04481733318146225
0.3,antisite,0.296875,-0.47672893369488367,0.00727734165583026,2.8386530856212295,11.436875966831366,-0.5244628547612838,0.047733921066400176
0.32,vacancy,0.319149,-0.4022817255043242,,2.5990534775166854,11.953573794892195,-0.5473154142126311,0.1450336887083069
0.34,vacancy,0.340206,-0.4513589464925212,0.005741041575782319,2.622920628952097,11.905954696573438,-0.568919362509615,0.11756041601709377
0.36,vacancy,0.36,-0.4685484883323249,,2.660057122283145,12.046277471563805,-0.5892275048181346,0.1206790164858097
0.38,vacancy,0.378641,-0.466733249510232,,2.6929701458160507,12.134932526150516,-0.6072707455505695,0.1405374960403375
0.4,antisite,0.398438,-0.6054500352371793,0.0035656623021160364,2.8616692228029827,11.717322304603771,-0.6216991260209822,0.016249090783802878
0.4,vacancy,0.401869,-0.4849668099370308,0.006156924488613172,2.743445184541738,12.350892567252883,-0.6241996954705951,0.13923288553356428
0.41,vacancy,0.407407,-0.5024250745444432,0.05257821129589136,2.755253084597669,12.397139216742097,-0.6282358813091135,0.12581080676467027
0.42,antisite,0.421875,-0.6285439282826588,0.0029351064004903794,2.866759839826422,11.779965592238321,-0.6387803985918296,0.010236470309170742
0.42,vacancy,0.418182,-0.497467826385572,0.00715142057896438,2.7880975656397617,12.610008806591317,-0.6360888792163063,0.13862105283073428
0.43,vacancy,0.428571,-0.5176737317647795,0.0023937638470746584,2.80483584746225,12.609127575940958,-0.6436605539502113,0.12598682218543178
0.44,antisite,0.4375,-0.645033630520888,0.001997755969776746,2.8700386745529602,11.820430220285012,-0.6501681565778982,0.005134526057010147
0.44,vacancy,0.438596,-0.5407999401460591,0.006509033255954721,2.8178996632959787,12.561807719875352,-0.6509669394740729,0.11016699932801377
0.45,vacancy,0.44827600000000006,-0.5646681774162916,0.0029317016046247874,2.8313957087818427,12.523451841449573,-0.6580218833016022,0.09335370588531056
0.46,antisite,0.460938,-0.6653480530702508,0.0010638210580355613,2.8753137174493006,11.885725989542898,-0.6672501579652566,0.0019021048950057518
0.46,vacancy,0.462185,-0.603544464213451,0.0033319747831453916,2.848725957784184,12.433260845562144,-0.6681589921546087,0.06461452794115774
0.47,antisite,0.46875,-0.672537568054682,0.0005051107475503885,2.877044279734788,11.907199864678525,-0.6729436725500353,0.00040610449535327664
0.47,vacancy,0.471074,-0.6253533789281785,0.001685361346004757,2.8569197921981018,12.333575194166746,-0.6745343081681195,0.049180929239940996
0.48,antisite,0.476562,-0.6780291586959551,0.00045267017083122716,2.879032256507261,11.931899824155975,-0.6782905079409449,0.0002613492449897725
0.48,vacancy,0.479675,-0.6472267191800262,0.001799309730041288,2.8653303747997825,12.240495526670985,-0.6801510620608483,0.03292434288082213
0.49,antisite,0.492188,-0.6876297365556603,4.965068306494546e-16,2.8802109200403287,11.946560374963425,-0.6876297365556605,2.220446049250313e-16
0.49,vacancy,0.488,-0.667340156036214,0.0009454957452278553,2.8729711824427824,12.141260534139812,-0.6851266846269245,0.017786528590710504
0.51,antisite,0.507812,-0.679512586274579,1.368774871883577e-15,2.886360992170791,12.023251845678487,-0.6873641681927527,0.0078515819181737
0.51,vacancy,0.512,-0.6830752335155794,6.168953284029527e-05,2.8780927955445867,12.206308422789965,-0.6848698127468391,0.0017945792312596964
0.52,antisite,0.523438,-0.6542206608799152,0.00043521306119332867,2.895026163360263,12.131862618920414,-0.6780573873432195,0.02383672646330437
0.52,vacancy,0.520325,-0.675564608512946,0.0012682079209013835,2.8738718820498135,12.350287687905706,-0.6799114772436801,0.004346868730734088
0.53,antisite,0.53125,-0.6408866755914996,0.0010497551508519358,2.8996894717758477,12.190583183557477,-0.6734045925143092,0.03251791692280959
0.53,vacancy,0.528926,-0.6690163110725607,0.0012993548835014235,2.8701264357811183,12.505403060512405,-0.6747887572842001,0.005772446211639415
0.54,antisite,0.539062,-0.6275278365477908,0.0007038537116813221,2.9042027616118333,12.247594790923545,-0.6687517976853987,0.041223961137607956
0.54,vacancy,0.537815,-0.656473828429661,0.0025908329903153167,2.865978923585827,12.660533368770006,-0.6694945057181242,0.013020677288463234
0.56,antisite,0.5625,-0.5893732051625117,0.0019574471096491072,2.9188576932541803,12.433943236325513,-0.6547922220069553,0.06541901684444362
0.56,vacancy,0.561404,-0.6384614594475377,0.00222469364848196,2.8567971524982845,13.08921001438155,-0.6554449950653891,0.016983535617851375
0.58,antisite,0.578125,-0.5606018600527283,0.005984506857643953,2.930571633741136,12.584243956365057,-0.6445969766577899,0.08399511660506165
0.58,vacancy,0.581818,-0.6128371819416719,0.0035779907375475505,2.8486398147068557,13.449308722977833,-0.6419071351867722,0.02906995324510031
0.6,antisite,0.601562,-0.5303616489807704,0.002227956003781029,2.948378063697941,12.815046558635759,-0.6268158223106922,0.09645417332992179
