side,quantity,MACE,Taylor_Doyle,unit,MACE/TD_ratio
Ni-rich (0.42-0.50),da/dx,0.19925140291315915,0.15749999999999928,Å / x_Al,1.2650882724645083
Al-rich (0.50-0.60),da/dx,-0.41024686983471376,-0.1362499999999978,Å / x_Al,3.0109862006218013
Al-rich (0.50-0.66),da/dx,-0.3905756578813468,-0.13624999999999884,Å / x_Al,2.8666103330741293
Ni-rich (0.42-0.50),dV/dx,2.4696616657165182,1.9605078013499972,Å3/atom / x_Al,1.2597050947799953
Al-rich (0.50-0.60),dV/dx,17.908098663348746,5.499474114630055,Å3/atom / x_Al,3.256329294415346
Al-rich (0.50-0.66),dV/dx,17.689354542889653,5.712467484976967,Å3/atom / x_Al,3.0966223596738733
