label,mp_id,formula,n_atoms,n_Ni,n_Al,energy_eV,energy_per_atom_eV,volume_A3,volume_per_atom_A3,formation_energy_per_atom_eV,mp_energy_per_atom,mp_formation_energy_per_atom,time_s,converged
Ni,mp-aaaaaaax,Ni,1,1,0,-5.731895276296691,-5.731895276296691,10.808689138729838,10.808689138729838,1.932038720120488e-06,-11.98171716,0.0,0.5261754989624023,True
Al,mp-aaaaaafe,Al,1,0,1,-3.728437197167164,-3.728437197167164,16.73277221187081,16.73277221187081,1.780603948731141e-07,-6.73209833,0.0,0.0795636177062988,True
B2_NiAl,mp-aaaaacff,NiAl,2,1,1,-10.844368509606296,-5.422184254803148,23.93494013743364,11.96747006871682,-0.692016963021663,-10.041808895,-0.68490115,0.0996026992797851,True
L12_Ni3Al,mp-aaaaadvt,Ni3Al,4,3,1,-22.829610171585312,-5.707402542896328,44.908161943040255,11.227040485760064,-0.4763702928378799,-11.09573223,-0.4264197774999996,0.1618976593017578,True
Ni5Al3,mp-aaaaayle,Ni5Al3,8,5,3,-44.68173516442872,-5.58521689555359,92.89548760109814,11.611935950137267,-0.6046171246336238,-10.57636064375,-0.5632505449999989,2.547094345092773,True
Ni2Al3,mp-aaaaabor,Ni2Al3,5,2,3,-25.792426813973734,-5.158485362794747,69.00477088667215,13.800954177334429,-0.6286640543240469,-9.47616249,-0.6442166279999995,0.6180946826934814,True
NiAl3,mp-aaabjkld,NiAl3,16,4,12,-74.88766909895038,-4.680479318684399,235.8886265017376,14.7430391563586,-0.451176985179877,-8.463278740625,-0.4187757031250001,4.319409132003784,True
Ni3Al4,mp-aaaaaylf,Ni3Al4,56,24,32,-293.2460955116036,-5.236537419850064,740.8068790616051,13.228694268957232,-0.649474401861997,-9.639290069107144,-0.6573550976785713,6.523782968521118,True
