path,n_Ni_sublattice,n_defect_sublattice,c_defect,n_1nn_pairs,n_defect_defect_pairs,alpha_1nn_WC,a_eff_A,structure_id,branch,x_Al_target,seed
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.670_antisiteAl_dense_s1.extxyz,24,40,0.625,144,56,0.004444444444444473,3.0574781451071416,b2_x0.670_antisiteAl_dense_s1.extxyz,antisite,0.67,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.670_antisiteAl_dense_s2.extxyz,23,41,0.640625,144,59,0.0016524555489457748,3.040862961838768,b2_x0.670_antisiteAl_dense_s2.extxyz,antisite,0.67,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_s0.extxyz,22,42,0.65625,192,80,0.03250188964474676,2.813164627182855,b2_x0.680_vacNi_alrich_s0.extxyz,vacancy,0.68,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_s1.extxyz,20,44,0.6875,192,92,-0.01377410468319562,2.8039956793351535,b2_x0.680_vacNi_alrich_s1.extxyz,vacancy,0.68,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_s2.extxyz,20,44,0.6875,192,96,-0.05785123966942152,2.8126253067711815,b2_x0.680_vacNi_alrich_s2.extxyz,vacancy,0.68,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_sqs_5x5x5_s0.extxyz,45,80,0.64,375,154,-0.0026041666666667407,2.811012954537911,b2_x0.680_vacNi_alrich_sqs_5x5x5_s0.extxyz,vacancy,0.68,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_sqs_5x5x5_s1.extxyz,39,86,0.688,375,184,-0.03659635839192377,2.8121737021055706,b2_x0.680_vacNi_alrich_sqs_5x5x5_s1.extxyz,vacancy,0.68,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_sqs_5x5x5_s2.extxyz,46,79,0.632,375,156,-0.04149975965390151,2.813853788835034,b2_x0.680_vacNi_alrich_sqs_5x5x5_s2.extxyz,vacancy,0.68,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_sqs_5x5x5_s3.extxyz,46,79,0.632,375,151,-0.008118357100892037,2.8139824868883,b2_x0.680_vacNi_alrich_sqs_5x5x5_s3.extxyz,vacancy,0.68,3
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_sqs_5x5x5_s4.extxyz,38,87,0.696,375,186,-0.023913330690976453,2.8133407467664187,b2_x0.680_vacNi_alrich_sqs_5x5x5_s4.extxyz,vacancy,0.68,4
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_sqs_5x5x5_s5.extxyz,46,79,0.632,375,153,-0.021470918122095783,2.812986274608257,b2_x0.680_vacNi_alrich_sqs_5x5x5_s5.extxyz,vacancy,0.68,5
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_sqs_5x5x5_s6.extxyz,45,80,0.64,375,156,-0.015625,2.8138299640423865,b2_x0.680_vacNi_alrich_sqs_5x5x5_s6.extxyz,vacancy,0.68,6
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_sqs_5x5x5_s7.extxyz,41,84,0.672,375,169,0.0020313681027968045,2.8134378578986015,b2_x0.680_vacNi_alrich_sqs_5x5x5_s7.extxyz,vacancy,0.68,7
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_sqs_5x5x5_s8.extxyz,44,81,0.648,375,162,-0.028806584362139898,2.813355794082611,b2_x0.680_vacNi_alrich_sqs_5x5x5_s8.extxyz,vacancy,0.68,8
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.680_vacNi_alrich_sqs_5x5x5_s9.extxyz,44,81,0.648,375,166,-0.05420921607478535,2.8146533599610537,b2_x0.680_vacNi_alrich_sqs_5x5x5_s9.extxyz,vacancy,0.68,9
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.690_antisiteAl_dense_s0.extxyz,27,37,0.578125,144,47,0.023455888320753182,3.0630541224212657,b2_x0.690_antisiteAl_dense_s0.extxyz,antisite,0.69,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.690_antisiteAl_dense_s1.extxyz,26,38,0.59375,144,49,0.034779932286857496,3.0672963098798616,b2_x0.690_antisiteAl_dense_s1.extxyz,antisite,0.69,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.690_antisiteAl_dense_s2.extxyz,25,39,0.609375,144,50,0.0649426546862445,3.0650618751142304,b2_x0.690_antisiteAl_dense_s2.extxyz,antisite,0.69,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.690_antisiteAl_dense_s3.extxyz,29,35,0.546875,144,37,0.1408616780045352,3.065180006102702,b2_x0.690_antisiteAl_dense_s3.extxyz,antisite,0.69,3
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.690_antisiteAl_dense_s4.extxyz,22,42,0.65625,144,62,0.0002519526329050059,3.0666447314256096,b2_x0.690_antisiteAl_dense_s4.extxyz,antisite,0.69,4
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.690_antisiteAl_dense_s5.extxyz,28,36,0.5625,144,42,0.07818930041152261,3.0628377757444425,b2_x0.690_antisiteAl_dense_s5.extxyz,antisite,0.69,5
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.690_antisiteAl_dense_s6.extxyz,21,43,0.671875,144,63,0.030827474310438086,3.0708184713704534,b2_x0.690_antisiteAl_dense_s6.extxyz,antisite,0.69,6
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.690_antisiteAl_dense_s7.extxyz,24,40,0.625,144,56,0.004444444444444473,3.049239492052628,b2_x0.690_antisiteAl_dense_s7.extxyz,antisite,0.69,7
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_s0.extxyz,16,48,0.75,192,108,0.0,2.8046739950866306,b2_x0.700_vacNi_alrich_s0.extxyz,vacancy,0.7,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_s1.extxyz,22,42,0.65625,192,78,0.05668934240362811,2.8078471723215075,b2_x0.700_vacNi_alrich_s1.extxyz,vacancy,0.7,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_s2.extxyz,14,50,0.78125,192,120,-0.02400000000000002,2.797563876735925,b2_x0.700_vacNi_alrich_s2.extxyz,vacancy,0.7,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_s3.extxyz,19,45,0.703125,192,102,-0.07456790123456791,2.796937954666745,b2_x0.700_vacNi_alrich_s3.extxyz,vacancy,0.7,3
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_s4.extxyz,18,46,0.71875,192,103,-0.03843730308758664,2.805739691837927,b2_x0.700_vacNi_alrich_s4.extxyz,vacancy,0.7,4
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_s5.extxyz,17,47,0.734375,192,109,-0.0526633469141391,2.7844301330697547,b2_x0.700_vacNi_alrich_s5.extxyz,vacancy,0.7,5
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_s6.extxyz,19,45,0.703125,192,101,-0.06403292181069942,2.786422436189279,b2_x0.700_vacNi_alrich_s6.extxyz,vacancy,0.7,6
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_s7.extxyz,14,50,0.78125,196,119,0.00525714285714296,2.7730088961403268,b2_x0.700_vacNi_alrich_s7.extxyz,vacancy,0.7,7
