label,mp_id,formula,n_atoms,energy_eV,energy_per_atom_eV,volume_A3,volume_per_atom_A3,formation_energy_per_atom_eV,mp_energy_per_atom,mp_formation_energy_per_atom,converged
B2_CoAl,mp-aaaaaaky,CoAl,2,-12.065716798988394,-6.032858399494197,23.356147432742517,11.678073716371259,-0.6327982125806528,-10.53962086,-0.556456129999999,True
B2_PdAl,mp-aaaaakqn,PdAl,8,-42.88230243495277,-5.360287804369096,117.8357676301875,14.729470953773438,-0.9024125379251897,-15.781877775,-0.935601805000001,True
B2_RhAl,mp-aaaaaaoa,RhAl,2,-13.311840752008798,-6.655920376004399,27.018067572513008,13.509033786256504,-1.14637220786629,-16.61165009,-1.1774866100000008,True
B2_IrAl,mp-aaaaacun,IrAl,2,-14.507222745142002,-7.253611372571001,27.498608499328498,13.749304249664249,-0.9787927182792462,-30.61632865,-1.0706027599999999,True
C14_NbNi2,mp-aaackuow,NbNi2,12,-88.90655137253319,-7.408879281044432,156.33618260584666,13.028015217153888,,-7.411904745833334,-0.19137861250000063,True
