name,entry_id,spacegroup,prototype,ntypes,band_gap,delta_e,volume_pa,stability
TmMg,104107,Pm-3m,CsCl,2,0.0,-0.056790284583335,,9.736499999980774e-05
LuMg,104109,Pm-3m,CsCl,2,0.0,-0.0441481120833349,,0.0
YMg,105788,Pm-3m,CsCl,2,0.0,-0.109616142083335,,0.00011480249999999692
TiNi,107704,Pm-3m,CsCl,2,0.0,-0.377553161893132,,0.04615711500000025
ZrCu,109112,Pm-3m,CsCl,2,0.0,-0.106482015,,0.045600682991565236
TiPd,109147,Pm-3m,CsCl,2,0.0,-0.486348581893132,,0.0834973133716076
MoN,109771,Pm-3m,CsCl,2,0.0,0.277557062328247,,0.7491665612820728
AlFe,110794,Pm-3m,CsCl,2,0.0,-0.331630775000001,,0.00015675499999961984
AlFe,110795,Pm-3m,CsCl,2,0.0,-0.331626890000001,,0.0001606399999996011
ZrC,116062,Pm-3m,CsCl,2,0.0,0.41706310625,,1.229072239999999
YAl,116118,Pm-3m,CsCl,2,0.0,-0.4168634925,,0.021084679375000026
PrAl,116119,Pm-3m,CsCl,2,0.0,-0.33766591875,,0.05214890999999999
NdAl,116120,Pm-3m,CsCl,2,0.0,-0.3524347675,,0.044283300000000136
DyAl,116121,Pm-3m,CsCl,2,0.0,-0.395501728333334,,0.021228541250000954
CeAl,116122,Pm-3m,CsCl,2,0.0,-0.31811701375,,0.06005463499999997
ZrCu,116222,Pm-3m,CsCl,2,0.0,-0.106721810000001,,0.045360887991564236
ZrRu,116234,Pm-3m,CsCl,2,0.0,-0.642875480000001,,0.00015226499999998477
ZrZn,116235,Pm-3m,CsCl,2,0.0,-0.282258584999999,,0.00010556499999997415
TiNi,116608,Pm-3m,CsCl,2,0.0,-0.378019401893132,,0.04569087500000024
TlCl,116636,Pm-3m,CsCl,2,2.324,-1.15661876030956,,0.04749209000000021
TiIr,116945,Pm-3m,CsCl,2,0.0,-0.783839476893133,,0.09978450749999934
ZnO,117131,Pm-3m,CsCl,2,0.0,-0.934124012939377,,0.715681565
SiRh,117262,Pm-3m,CsCl,2,0.0,-0.539768467500001,,0.28434405625000003
TiNi,121204,Pm-3m,CsCl,2,0.0,-0.377779001893132,,0.045931275000000216
LaS,2012590,Pm-3m,CsCl,2,0.0,-1.9917821370066786,,0.31834067249999976
LaSe,2012591,Pm-3m,CsCl,2,0.0,-1.7612696100000003,,0.23881182166666637
NpN,2013938,Pm-3m,CsCl,2,0.0,-0.5867053820467536,,0.6257518299999965
IrN,2013956,Pm-3m,CsCl,2,0.0,1.5842438523282478,,1.5842438523282478
TiN,2014098,Pm-3m,CsCl,2,0.0,-0.9593109595648848,,0.8549716150000002
HfN,2014102,Pm-3m,CsCl,2,0.0,-0.8629032201717539,,1.0099267699999999
VN,2014104,Pm-3m,CsCl,2,0.0,-0.5894990876717525,,0.6634067849999974
NbN,2014106,Pm-3m,CsCl,2,0.0,-0.5313651976717537,,0.6472560499999962
TaN,2014108,Pm-3m,CsCl,2,0.0,-0.4588693276717546,,0.8228918999999955
LaTe,2014220,Pm-3m,CsCl,2,0.0,-1.4652008266666652,,0.127585148333333
CeS,2014221,Pm-3m,CsCl,2,0.0,-1.8797339957566788,,0.27718168
CeSe,2014222,Pm-3m,CsCl,2,0.0,-1.65665450875,,0.19308520333333412
CeTe,2014223,Pm-3m,CsCl,2,0.0,-1.3675919454166654,,0.08889036500000014
EuS,2014224,Pm-3m,CsCl,2,1.2719999999999998,-2.217354492006678,,0.2529802050000023
EuSe,2014225,Pm-3m,CsCl,2,0.9779999999999998,-1.9603842250000003,,0.24650016999999957
YP,2014542,Pm-3m,CsCl,2,0.0,-1.1945727119799683,,0.5594653699999999
YSb,2014546,Pm-3m,CsCl,2,0.0,-0.8214155800000009,,0.3467249599999995
HfPd,2014611,Pm-3m,CsCl,2,0.0,-0.6290451524999998,,0.059797632500000475
HfIr,2014613,Pm-3m,CsCl,2,0.0,-0.8915653675000001,,0.09558810499999915
HfC,2014753,Pm-3m,CsCl,2,0.0,0.40029337874999804,,1.347978431666665
TaC,2014754,Pm-3m,CsCl,2,0.0,0.4519951412500003,,1.0352635900000013
WC,2014755,Pm-3m,CsCl,2,0.0,0.7804989662500006,,0.9061576150000016
ReC,2014756,Pm-3m,CsCl,2,0.0,1.0912948787500003,,1.1136342018749996
OsC,2014757,Pm-3m,CsCl,2,0.0,1.4814929512500008,,1.4814929512500008
IrC,2014758,Pm-3m,CsCl,2,0.0,1.6715560912500003,,1.6715560912500003
PtC,2014759,Pm-3m,CsCl,2,0.0,1.99271267625,,1.99271267625
CdN,2015003,Pm-3m,CsCl,2,0.0,1.2769219773282474,,1.2769219773282474
HoN,2015164,Pm-3m,CsCl,2,0.0,-0.9102163843384172,,0.9383307500000029
HoP,2015166,Pm-3m,CsCl,2,0.0,-1.1839393111466334,,0.5567194899999965
HoAs,2015168,Pm-3m,CsCl,2,0.0,-1.0348237441666654,,0.49328390499999464
HoBi,2015170,Pm-3m,CsCl,2,0.0,-0.5807885141666649,,0.2771218466666667
PrBi,2015237,Pm-3m,CsCl,2,0.0,-0.7291648612500001,,0.2520237449999999
DyP,2015244,Pm-3m,CsCl,2,0.0,-1.1914918378133033,,0.5494728549999968
DyAs,2015246,Pm-3m,CsCl,2,0.0,-1.0478525758333346,,0.4878598750000054
TcN,2015302,Pm-3m,CsCl,2,0.0,0.6661132998282469,,0.7969484511641223
AlCo,2015345,Pm-3m,CsCl,2,0.0,-0.6141166299999998,,3.923500000002633e-05
CoW,2015346,Pm-3m,CsCl,2,0.0,0.31471690500000093,,0.3768510103106711
TiCo,2015347,Pm-3m,CsCl,2,0.0,-0.41671771689313175,,0.013185931249999783
VCo,2015348,Pm-3m,CsCl,2,0.0,-0.06567584999999809,,0.13028558250000088
NbCo,2015349,Pm-3m,CsCl,2,0.0,-0.02702588999999911,,0.15267904537778823
TaCo,2015350,Pm-3m,CsCl,2,0.0,-0.09551611500000057,,0.16478630494853758
CrCo,2015351,Pm-3m,CsCl,2,0.0,0.16409701500000118,,0.17347610504689612
CoMo,2015352,Pm-3m,CsCl,2,0.0,0.2760102050000004,,0.3175006252074525
MnCo,2015353,Pm-3m,CsCl,2,0.0,-0.013243781896550288,,0.006371868336738015
CoNi,2015355,Pm-3m,CsCl,2,0.0,0.14882727500000037,,0.17534088850000024
YTi,2015402,Pm-3m,CsCl,2,0.0,0.3284297806068679,,0.3284297806068679
NbC,2015634,Pm-3m,CsCl,2,0.0,0.4530860062500004,,0.9613348378898452
