name,entry_id,spacegroup,prototype,ntypes,band_gap,delta_e,volume_pa,stability
Fe3Pd,17227,Pm-3m,AuCu3,2,0.0,0.0626909124999999,,0.10245141749999978
Fe3Sn,17231,Pm-3m,AuCu3,2,0.0,0.0573967632871986,,0.0856499541666661
Nd3Ga,17263,Pm-3m,AuCu3,2,0.0,-0.2392656625,,0.06252947578125026
NdGa3,17264,Pm-3m,AuCu3,2,0.0,-0.509153915,,0.06909517250000019
Pr3Ga,17283,Pm-3m,AuCu3,2,0.0,-0.236589484375,,0.06266075441291791
GaPt3,17286,Pm-3m,AuCu3,2,0.0,-0.43856529125,,0.014864910000000009
Sm3Ga,17300,Pm-3m,AuCu3,2,0.0,-0.240117064375,,0.07475917296874948
TbGa3,17303,Pm-3m,AuCu3,2,0.0,-0.365987912416668,,0.01465357249999949
GdPt3,17333,Pm-3m,AuCu3,2,0.0,-0.977741224375,,0.0015210725000004421
Ni3Ge,17342,Pm-3m,AuCu3,2,0.0,-0.29969984375,,0.001553598750000218
HfIr3,17363,Pm-3m,AuCu3,2,0.0,-0.80344056875,,0.0
HfRh3,17387,Pm-3m,AuCu3,2,0.0,-0.75821312375,,0.0009227850000002036
Ti3Hg,17437,Pm-3m,AuCu3,2,0.0,-0.0663295740812648,,0.0745326725000002
TlHg3,17440,Pm-3m,AuCu3,2,0.0,0.0264960425252985,,0.0264960425252985
ZrHg3,17450,Pm-3m,AuCu3,2,0.0,-0.0127565337247013,,0.057874252516865635
HoIn3,17455,Pm-3m,AuCu3,2,0.0,-0.403235933333332,,0.0013795024999999628
HoPb3,17465,Pm-3m,AuCu3,2,0.0,-0.254535128333333,,0.00974281749999939
HoPd3,17468,Pm-3m,AuCu3,2,0.0,-0.904235833333333,,0.001724717500000028
HoPt3,17472,Pm-3m,AuCu3,2,0.0,-1.03721596583333,,0.001626950000000127
HoSn3,17477,Pm-3m,AuCu3,2,0.0,-0.470020038471734,,0.03527483375000007
HoTl3,17480,Pm-3m,AuCu3,2,0.0,-0.197949347083333,,0.0
NbIr3,17502,Pm-3m,AuCu3,2,0.0,-0.5907102225,,0.007446940000001456
NdIr3,17504,Pm-3m,AuCu3,2,0.0,-0.15631443125,,0.3689769112500001
PaIr3,17507,Pm-3m,AuCu3,2,0.0,-0.85001516,,0.0
TaIr3,17518,Pm-3m,AuCu3,2,0.0,-0.688220857500001,,0.00012126250000099592
TiIr3,17524,Pm-3m,AuCu3,2,0.0,-0.721585048446567,,0.0012413524999990155
UIr3,17529,Pm-3m,AuCu3,2,0.0,-0.63875885625,,7.830250000040451e-05
VIr3,17533,Pm-3m,AuCu3,2,0.0,-0.4731191275,,0.022847493750000003
ZrIr3,17544,Pm-3m,AuCu3,2,0.0,-0.7139492825,,0.0
LaPb3,17568,Pm-3m,AuCu3,2,0.0,-0.44270269,,0.0020146974999999956
LaPd3,17569,Pm-3m,AuCu3,2,0.0,-0.81537576,,0.00021774500000071306
LaPt3,17573,Pm-3m,AuCu3,2,0.0,-0.847711640000001,,0.09790237583333206
LaSn3,17578,Pm-3m,AuCu3,2,0.0,-0.640333765138402,,0.00014573249999894067
La3Sn,17579,Pm-3m,AuCu3,2,0.0,-0.506565869212801,,0.0
LaTl3,17581,Pm-3m,AuCu3,2,0.0,-0.34211718125,,0.004492092499999989
La3Tl,17582,Pm-3m,AuCu3,2,0.0,-0.23856858875,,0.00016185249999953188
LuPb3,17620,Pm-3m,AuCu3,2,0.0,-0.17595500875,,0.024753781249999995
LuPd3,17622,Pm-3m,AuCu3,2,0.0,-0.93506239625,,0.0014361375000000454
LuPt3,17624,Pm-3m,AuCu3,2,0.0,-1.09078774875,,0.001670882500000026
LuTl3,17628,Pm-3m,AuCu3,2,0.0,-0.1237477075,,0.0031962524999999964
MnNi3,17672,Pm-3m,AuCu3,2,0.0,-0.111224635948275,,0.0
MnPt3,17681,Pm-3m,AuCu3,2,0.0,-0.358891590948275,,5.291000000001711e-05
Mn3Pt,17682,Pm-3m,AuCu3,2,0.0,0.0663786121551748,,0.2426364281034498
Mn3Rh,17687,Pm-3m,AuCu3,2,0.0,0.0629774921551753,,0.1554134506034508
MnZn3,17704,Pm-3m,AuCu3,2,0.0,-0.0240053184482751,,0.0
NaPb3,17728,Pm-3m,AuCu3,2,0.0,-0.147622507712912,,0.0
NbRh3,17747,Pm-3m,AuCu3,2,0.0,-0.518648355000002,,0.0011510924999990069
NbRu3,17752,Pm-3m,AuCu3,2,0.0,-0.124591035,,0.025634948251130205
NbZn3,17759,Pm-3m,AuCu3,2,0.0,-0.163429825,,0.0
NdPb3,17764,Pm-3m,AuCu3,2,0.0,-0.36735322625,,0.004663747500000093
NdPd3,17765,Pm-3m,AuCu3,2,0.0,-0.78414477875,,0.003020099999999637
NdPt3,17769,Pm-3m,AuCu3,2,0.0,-0.84463081625,,0.05712784916666602
NdSn3,17775,Pm-3m,AuCu3,2,0.0,-0.564850246388402,,0.00577059000000002
NdTl3,17777,Pm-3m,AuCu3,2,0.0,-0.30176645,,0.0
Nd3Tl,17779,Pm-3m,AuCu3,2,0.0,-0.2126945075,,0.0021658273243019
SiNi3,17803,Pm-3m,AuCu3,2,0.0,-0.46466979375,,0.0
Ni3Sn,17808,Pm-3m,AuCu3,2,0.0,-0.224211121712801,,0.0
NpPd3,17872,Pm-3m,AuCu3,2,0.0,-0.4126595596875,,0.031606778750000064
NpRh3,17873,Pm-3m,AuCu3,2,0.0,-0.354405087187502,,0.0
NpSn3,17875,Pm-3m,AuCu3,2,0.0,-0.207199044825901,,6.759249999999106e-05
Np3Sn,17876,Pm-3m,AuCu3,2,0.0,0.2163139917247,,0.2854028701424449
Np3Tl,17877,Pm-3m,AuCu3,2,0.0,0.545530579687499,,0.545530579687499
AlNi3,17890,Pm-3m,AuCu3,2,0.0,-0.438648115,,0.0
PaRh3,17908,Pm-3m,AuCu3,2,0.0,-0.899696755000001,,1.096999999972148e-05
Pr3Pb,17912,Pm-3m,AuCu3,2,0.0,-0.346203270625,,0.013027595129488312
PrPb3,17913,Pm-3m,AuCu3,2,0.0,-0.380649049375,,0.00583569500000003
Pt3Pb,17915,Pm-3m,AuCu3,2,0.0,-0.0909596774999999,,0.046924961188772166
Pu3Pb,17917,Pm-3m,AuCu3,2,0.0,-0.0765148599999996,,0.020057960000000846
PuPb3,17918,Pm-3m,AuCu3,2,0.0,-0.1681913425,,0.0
TbPb3,17926,Pm-3m,AuCu3,2,0.0,-0.126429711166668,,0.002615772499998975
ThPb3,17928,Pm-3m,AuCu3,2,0.0,-0.232525222500001,,0.0
TmPb3,17929,Pm-3m,AuCu3,2,0.0,-0.2130800775,,0.018495053750000268
UPb3,17931,Pm-3m,AuCu3,2,0.0,0.148792423750001,,0.148792423750001
YPb3,17934,Pm-3m,AuCu3,2,0.0,-0.28738307875,,0.009914671310809031
YbPb3,17937,Pm-3m,AuCu3,2,0.0,-0.3634800275,,0.0
PrPd3,17940,Pm-3m,AuCu3,2,0.0,-0.757986361875,,0.0031743899999998604
PuPd3,17943,Pm-3m,AuCu3,2,0.0,-0.0613358974999993,,0.5189805174999993
ScPd3,17945,Pm-3m,AuCu3,2,0.0,-0.85439362875,,0.0
SmPd3,17947,Pm-3m,AuCu3,2,0.0,-0.825939259375001,,0.0021758924999990548
SnPd3,17954,Pm-3m,AuCu3,2,0.0,-0.5393308417128,,0.0020998225000004034
TbPd3,17965,Pm-3m,AuCu3,2,0.0,-0.717657476166668,,0.0017938774999998186
TiPd3,17972,Pm-3m,AuCu3,2,0.0,-0.641766360946566,,0.007792608749999985
TmPd3,17981,Pm-3m,AuCu3,2,0.0,-0.92451966,,0.0014887550000000083
YPd3,17986,Pm-3m,AuCu3,2,0.0,-0.85931583125,,0.0024302299999998667
YbPd3,17988,Pm-3m,AuCu3,2,0.0,-0.69754859,,0.0
PuPt3,17994,Pm-3m,AuCu3,2,0.0,-0.681797285,,0.0025993908333330484
ScPt3,17997,Pm-3m,AuCu3,2,0.0,-1.04670448375,,0.001092692499999659
SmPt3,18000,Pm-3m,AuCu3,2,0.0,-0.911126884375,,0.0040556233333329805
SnPt3,18004,Pm-3m,AuCu3,2,0.0,-0.408979649212801,,0.0007310625000001569
TbPt3,18012,Pm-3m,AuCu3,2,0.0,-0.835964081166668,,0.0014974850000000206
TmPt3,18021,Pm-3m,AuCu3,2,0.0,-1.0708251575,,0.0016288999999998222
V3Pt,18026,Pm-3m,AuCu3,2,0.0,-0.230668912500001,,0.19797462499999802
VPt3,18029,Pm-3m,AuCu3,2,0.0,-0.432786775,,0.0130972562500003
YPt3,18031,Pm-3m,AuCu3,2,0.0,-0.98113342625,,0.0
