material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull
mp-570164,YbTl3,L1$_2$,Yb,Tl,1.0,3.0,4.69050518606075,-49.2344920625,0.0
mp-300,YbPt3,L1$_2$,Yb,Pt,1.0,3.0,4.056163507215176,-48.932286105,0.0
mp-817,TmTl3,L1$_2$,Tm,Tl,1.0,3.0,4.69516739,-48.894968215,0.0
mp-19966,GdTl,B2,Gd,Tl,1.0,1.0,3.81356485,-48.731326895,0.0
mp-2351,TmPt3,L1$_2$,Tm,Pt,1.0,3.0,4.06374824,-48.557938575,0.0
mp-2013,HoTl3,L1$_2$,Ho,Tl,1.0,3.0,4.71117179,-48.3770378625,0.0
mp-1913,ErPt3,L1$_2$,Er,Pt,1.0,3.0,4.07338756,-48.241490325,0.0
mp-2415,DyTl3,L1$_2$,Dy,Tl,1.0,3.0,4.71695516,-48.17397771,0.0
mp-23159,SrBi3,L1$_2$,Sr,Bi,1.0,3.0,5.05221907,-48.1194439475,0.051393767812498006
mp-1184703,Hf3Pb,L1$_2$,Hf,Pb,3.0,1.0,4.45124106,-47.9864988725,0.019860790000002
mp-195,HoPt3,L1$_2$,Ho,Pt,1.0,3.0,4.08447716,-47.961447995,0.0
mp-20603,CeTl3,L1$_2$,Ce,Tl,1.0,3.0,4.80610781,-47.9206055825,0.0
mp-635426,GdAu,B2,Gd,Au,1.0,1.0,3.6172008908734203,-47.83441158,0.0
mp-2465,DyPt3,L1$_2$,Dy,Pt,1.0,3.0,4.09425166,-47.7209023225,0.0
mp-20291,YPb3,L1$_2$,Y,Pb,1.0,3.0,4.8624544499999995,-47.65474169,0.015527627499999001
mp-862970,PmTl3,L1$_2$,Pm,Tl,1.0,3.0,4.77538698,-47.648901045,0.0
mp-2026,PrTl3,L1$_2$,Pr,Tl,1.0,3.0,4.81674655,-47.63103788,0.0
mp-1549,TbPt3,L1$_2$,Tb,Pt,1.0,3.0,4.10499822,-47.513297495,0.0
mp-11318,CePt3,L1$_2$,Ce,Pt,1.0,3.0,4.14913182,-47.35819607,0.0
mp-11422,GdHg,B2,Gd,Hg,1.0,1.0,3.73411382,-46.91849567,0.0
mp-21162,SrPb3,L1$_2$,Sr,Pb,1.0,3.0,5.00469932,-46.4242844625,0.0
mp-1187486,Tl3Sb,L1$_2$,Tl,Sb,3.0,1.0,4.94354825,-46.315111135,0.017860456071417
mp-866006,CaBi3,L1$_2$,Ca,Bi,1.0,3.0,4.972059056118655,-46.02029883,0.06833353750000201
mp-1186225,NbOs3,L1$_2$,Nb,Os,1.0,3.0,3.92105331,-45.99890788,0.039354171527783005
mp-1438,ZrIr3,L1$_2$,Zr,Ir,1.0,3.0,3.9596842,-45.7874618725,0.0
mp-568705,YbIr,B2,Yb,Ir,1.0,1.0,3.343555712728405,-45.582287875,0.0
mp-1187638,Tl3In,L1$_2$,Tl,In,3.0,1.0,4.9128728299999995,-45.4758496675,0.05327636250000001
mp-30858,ZrPt3,L1$_2$,Zr,Pt,1.0,3.0,4.02496988,-45.425387065,0.016842564374996
mp-1184771,Ir3Rh,L1$_2$,Ir,Rh,3.0,1.0,3.840335849999999,-45.3219121125,0.006866324999997
mp-11249,LuAu,B2,Lu,Au,1.0,1.0,3.49664842,-45.31912041,0.0
mp-866199,AcAg,B2,Ac,Ag,1.0,1.0,3.94785174,-45.26783526,0.0
mp-2393,YTl3,L1$_2$,Y,Tl,1.0,3.0,4.7308400299999995,-45.2637693725,0.0
mp-11576,YbTl,B2,Yb,Tl,1.0,1.0,3.704901071039502,-45.227903395,0.0
mp-20971,SnPt3,L1$_2$,Sn,Pt,1.0,3.0,4.02927876,-45.204039005,0.0
mp-979269,Tl3Cd,L1$_2$,Tl,Cd,3.0,1.0,4.837151090000911,-44.8392726375,0.071452719999996
mp-2403,YPt3,L1$_2$,Y,Pt,1.0,3.0,4.1003579,-44.7606417825,0.0
mp-20516,InPt3,L1$_2$,In,Pt,1.0,3.0,4.01798329,-44.7003745175,0.0
mp-974395,Pt3Rh,L1$_2$,Pt,Rh,3.0,1.0,3.9101831755850327,-44.666513225,0.018150764999994
mp-11375,EuHg,B2,Eu,Hg,1.0,1.0,3.87097005,-44.55686829,0.0
mp-2818,YbAu,B2,Yb,Au,1.0,1.0,3.510457994539114,-44.55107555,0.009424421250002
mp-515,TmTl,B2,Tm,Tl,1.0,1.0,3.71618264,-44.537599135,0.0
mp-2522,LuHg,B2,Lu,Hg,1.0,1.0,3.61002979,-44.27194864,0.0
mp-1206636,SrTl3,L1$_2$,Sr,Tl,1.0,3.0,4.94518977,-43.965380115,0.029404816250000004
mp-30353,AgPt3,L1$_2$,Ag,Pt,1.0,3.0,4.006844,-43.92456509833334,0.07138850416666201
mp-1185202,KPb3,L1$_2$,K,Pb,1.0,3.0,5.101371,-43.85154064293586,0.068886191874995
mp-447,TmAu,B2,Tm,Au,1.0,1.0,3.5236878,-43.83160761,0.027464062500001003
mp-973834,PdAu3,L1$_2$,Pd,Au,1.0,3.0,4.07108259,-43.77047527,0.004613015000003
mp-2545,YbHg,B2,Yb,Hg,1.0,1.0,3.626258438523035,-43.522256765,0.0
mp-1540,HoTl,B2,Ho,Tl,1.0,1.0,3.7474274,-43.45888734,0.0
mp-863750,AgAu3,L1$_2$,Ag,Au,1.0,3.0,4.12163154,-43.34257413,0.0
mp-1082,VIr3,L1$_2$,V,Ir,1.0,3.0,3.81681618,-43.3339806325,0.015957168749999
mp-12083,CrIr3,L1$_2$,Cr,Ir,1.0,3.0,3.81417244,-43.2963142925,0.0
mp-20555,NaPb3,L1$_2$,Na,Pb,1.0,3.0,4.8973938100000005,-43.2741074525,0.0
mp-2442,ErAu,B2,Er,Au,1.0,1.0,3.53853832,-43.21884001,0.032483304999999005
mp-1264,CdAu3,L1$_2$,Cd,Au,1.0,3.0,4.16047153,-43.1078333,0.011046036249993
mp-11374,DyTl,B2,Dy,Tl,1.0,1.0,3.76293356,-43.0305658,0.0
mp-11475,TmHg,B2,Tm,Hg,1.0,1.0,3.64438249,-42.80952208,0.0
mp-12107,TiPt3,L1$_2$,Ti,Pt,1.0,3.0,3.92452764,-42.7729185075,0.0048638332142800006
mp-2515,CrPt3,L1$_2$,Cr,Pt,1.0,3.0,3.8959526700000002,-42.726792215,0.0
mp-11245,HoAu,B2,Ho,Au,1.0,1.0,3.55615334,-42.691304615,0.037452287500002006
mp-7425,TbPt,B2,Tb,Pt,1.0,1.0,3.514847,-42.67894291125,0.078159217500001
mp-985300,AcEr3,L1$_2$,Ac,Er,1.0,3.0,5.140364,-42.52809074125,0.075355486875004
mp-1206752,CeTl,B2,Ce,Tl,1.0,1.0,3.91315008,-42.43434937,0.008205019999998
mp-2468,ErHg,B2,Er,Hg,1.0,1.0,3.65980363,-42.210368655,0.0
mp-526,CaTl3,L1$_2$,Ca,Tl,1.0,3.0,4.8251418600000004,-41.92368676,0.0
mp-1206376,MnAu3,L1$_2$,Mn,Au,1.0,3.0,4.081319,-41.8070853175,0.086135026250005
mp-12599,PrTl,B2,Pr,Tl,1.0,1.0,3.9156306,-41.795763155,0.0
mp-1092,HoHg,B2,Ho,Hg,1.0,1.0,3.6761568000000002,-41.69768095,0.0
