material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type,lattice_constant_calc
mp-11256,ScAu,Sc,Au,1.0,1.0,3.3904722400000002,-31.848781595,0.0,MP,B2,3.3861109940441314
mp-2222,MnHg,Mn,Hg,1.0,1.0,3.331149,-31.692842725474137,0.33272787353448,MP,B2,3.2648315899240927
mp-2205,LuPd,Lu,Pd,1.0,1.0,3.40962722,-31.53158071,0.0,MP,B2,3.3993043440858774
mp-567116,YbRu,Yb,Ru,1.0,1.0,3.319893287895696,-31.48225847,0.0,MP,B2,3.3243511878619723
mp-567089,YbRh,Yb,Rh,1.0,1.0,3.339806330035307,-31.423108105,0.0,MP,B2,3.3308492765059516
mp-1002220,TmSb,Tm,Sb,1.0,1.0,3.756589,-31.359038135,0.34696571000000204,MP,B2,3.794452401689781
mp-10015,SiOs,Si,Os,1.0,1.0,2.937789,-31.24484964,0.027129491249997,MP,B2,2.9636234281455303
mp-1524257,EuIn,Eu,In,1.0,1.0,3.9554687,-31.151818875,0.0,MP,B2,3.9794478014079706
mp-11471,ScHg,Sc,Hg,1.0,1.0,3.50559208,-30.864973335,0.0,MP,B2,3.5256367244835967
mp-1008931,ErSb,Er,Sb,1.0,1.0,3.773918,-30.780361575,0.34658668999999803,MP,B2,3.8119491588132894
mp-2547,YbPd,Yb,Pd,1.0,1.0,3.424384549639122,-30.7475568,0.010346364999996001,MP,B2,3.4020535408884838
mp-2861,CaTl,Ca,Tl,1.0,1.0,3.8654897200000002,-30.6214504,0.0,MP,B2,3.9045366585941084
mp-1885,AlIr,Al,Ir,1.0,1.0,2.99455485,-30.61632865,0.0,MP,B2,3.029468842112369
mp-1008,NiHg,Ni,Hg,1.0,1.0,3.152354,-30.45623127375,0.21853056750000002,MP,B2,3.1137367746106515
mp-875,AlOs,Al,Os,1.0,1.0,2.99791198,-30.3487953,0.012587037500004,MP,B2,3.0327194533808144
mp-1009017,HoSb,Ho,Sb,1.0,1.0,3.792089,-30.291358579999997,0.344969725000002,MP,B2,3.823725151131357
mp-10903,AlPt,Al,Pt,1.0,1.0,3.091546,-30.13019098625,0.11073247875000101,MP,B2,3.109681885886155
mp-2459,YbIn,Yb,In,1.0,1.0,3.688287403053454,-30.084531475,0.0,MP,B2,3.68040565616183
mp-348,TmPd,Tm,Pd,1.0,1.0,3.43947359,-30.02380967,0.0,MP,B2,3.4258307473395218
mp-1684,ZnAu,Zn,Au,1.0,1.0,3.15005251,-29.969662685,0.0,MP,B2,3.1639724832220972
mp-580236,EuCd,Eu,Cd,1.0,1.0,3.91685441,-29.691737825,0.0,MP,B2,3.942738264413843
mp-10908,AlRe,Al,Re,1.0,1.0,3.062743,-29.648189315,0.305362092500001,MP,B2,3.057274573948679
mp-2027,HfCo,Hf,Co,1.0,1.0,3.16314682,-29.627213075,0.0,MP,B2,3.122515296892614
mp-2217,LuCd,Lu,Cd,1.0,1.0,3.64099005,-29.447109125,0.0,MP,B2,3.640946922365096
mp-851,ErPd,Er,Pd,1.0,1.0,3.45306267,-29.40327156,0.0,MP,B2,3.4433275044630296
mp-20848,TmIn,Tm,In,1.0,1.0,3.696671,-29.390652835,0.0,MP,B2,3.704182862612868
mp-2266,YbAg,Yb,Ag,1.0,1.0,3.546385704928227,-29.31118992,0.0,MP,B2,3.530695726661772
mp-10871,AlAu,Al,Au,1.0,1.0,3.223942,-28.9293155525,0.15219490000000102,MP,B2,3.1813952003163015
mp-832,HoPd,Ho,Pd,1.0,1.0,3.47122546,-28.866362185,0.028122391250001003,MP,B2,3.455103496781096
mp-11370,ErIn,Er,In,1.0,1.0,3.71194956,-28.80521434,0.0,MP,B2,3.721679619736376
mp-11286,CaHg,Ca,Hg,1.0,1.0,3.75465468,-28.79583176,0.0,MP,B2,3.775420231238103
mp-1857,YbCd,Yb,Cd,1.0,1.0,3.65342998527692,-28.69565817,0.0,MP,B2,3.6436961191677026
mp-2796,TmAg,Tm,Ag,1.0,1.0,3.56122804,-28.59386282,0.0,MP,B2,3.554472933112809
mp-2226,DyPd,Dy,Pd,1.0,1.0,3.4846102500000002,-28.399308955,0.0,MP,B2,3.480383033831998
mp-934,LiTl,Li,Tl,1.0,1.0,3.43978152,-28.03860526,0.0,MP,B2,3.4058228745082144
mp-257,DyIn,Dy,In,1.0,1.0,3.74284633,-27.873652035,0.0,MP,B2,3.7587351491053442
mp-1009016,LuAs,Lu,As,1.0,1.0,3.509459,-27.63123605,0.499152415000001,MP,B2,3.5100913904840754
