material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,lattice_constant_calc
oqmd-305103,LuAs,B2,As,Lu,1,1,3.506317,-0.96373351,0.5078149000000001,OQMD,3.5562794775854685
oqmd-305691,YbAu,B2,Au,Yb,1,1,3.555425,-0.958798995,0.011023458749999993,OQMD,3.690709729454931
oqmd-305003,TmPd,B2,Pd,Tm,1,1,3.452356,-0.948770245,0.01768432124999908,OQMD,3.4878729039732246
oqmd-306229,AlIr,B2,Al,Ir,1,1,3.018601,-0.946324645000001,0.0,OQMD,3.111471154825362
oqmd-306542,AlPt,B2,Al,Pt,1,1,3.090272,-0.93677085,0.11154429249999986,OQMD,3.161370677582657
oqmd-305006,ErRh,B2,Er,Rh,1,1,3.388599,-0.93596486,0.0,OQMD,3.4366496070528716
oqmd-306096,ErPd,B2,Er,Pd,1,1,3.477002,-0.932736664999999,0.023033888750001008,OQMD,3.4962340189536585
oqmd-305214,TmIr,B2,Ir,Tm,1,1,3.37337,-0.921421115,0.0,OQMD,3.437096959373756
oqmd-304418,YbAs,B2,As,Yb,1,1,3.600899,-0.9166930725,0.20659257333333003,OQMD,3.6739236644771776
oqmd-307841,HoPd,B2,Ho,Pd,1,1,3.484543,-0.914762076666665,0.023948471249999992,OQMD,3.517313234102727
oqmd-304821,ZrPt,B2,Pt,Zr,1,1,3.351555,-0.913219914999999,0.17385267999999965,OQMD,3.3140351769315743
oqmd-307352,ScPd,B2,Pd,Sc,1,1,3.305014,-0.9081567375,0.0,OQMD,3.336515793455508
oqmd-307745,EuSb,B2,Eu,Sb,1,1,3.946705,-0.9080005725,0.13717165244355356,OQMD,3.955195625659818
oqmd-307512,HoRh,B2,Ho,Rh,1,1,3.403974,-0.905029986666666,0.0,OQMD,3.45772882220194
oqmd-306798,LuAu,B2,Au,Lu,1,1,3.513291,-0.902009872499999,0.0,OQMD,3.573065542563222
oqmd-304500,CeSb,B2,Ce,Sb,1,1,3.95641,-0.89942054125,0.2991265249999999,OQMD,3.958952087201003
oqmd-304633,DyPd,B2,Dy,Pd,1,1,3.506905,-0.897187923333335,0.033739445000000035,OQMD,3.5185893813013935
oqmd-305458,TmAu,B2,Au,Tm,1,1,3.550481,-0.89548866,0.007071975000000008,OQMD,3.596383710330647
oqmd-306123,PrSb,B2,Pr,Sb,1,1,3.926289,-0.89226553625,0.30526055500000004,OQMD,3.9368544201488245
oqmd-307609,HfIr,B2,Hf,Ir,1,1,3.28052,-0.892184217499999,0.09496925500000031,OQMD,3.231405460257835
oqmd-305547,ScAs,B2,As,Sc,1,1,3.376678,-0.890288545,0.48652468000000004,OQMD,3.4282405348351768
oqmd-306604,ErIr,B2,Er,Ir,1,1,3.387351,-0.887455415000001,0.0,OQMD,3.44545807435419
oqmd-305237,ErAu,B2,Au,Er,1,1,3.565724,-0.88696597,0.011545985000000036,OQMD,3.604744825311081
oqmd-304675,YPd,B2,Pd,Y,1,1,3.508619,-0.884217222499999,0.03135161875000081,OQMD,3.5381343263012854
oqmd-305368,NdSb,B2,Nd,Sb,1,1,3.900868,-0.882765725000001,0.3112573099999991,OQMD,3.91594415438412
oqmd-304910,HoAu,B2,Au,Ho,1,1,3.580805,-0.877368756666665,0.015906357500000023,OQMD,3.6258240404601505
oqmd-304924,AlPd,B2,Al,Pd,1,1,3.069847,-0.8761814,0.0362056149999993,OQMD,3.162247099424831
oqmd-304604,CaPt,B2,Ca,Pt,1,1,3.479857,-0.87496767,0.031158368708757767,OQMD,3.6540737324709065
oqmd-305326,PmSb,B2,Pm,Sb,1,1,3.871562,-0.874658568749999,0.3178312600000004,OQMD,3.8961401150694015
oqmd-304753,DyRh,B2,Dy,Rh,1,1,3.419243,-0.873816023333335,0.0,OQMD,3.4590049694006066
oqmd-304568,YbPd,B2,Pd,Yb,1,1,3.445235,-0.867604989999999,0.00017771999999993682,OQMD,3.582198923097508
oqmd-305249,DyAu,B2,Au,Dy,1,1,3.595614,-0.866706223333335,0.020358407499999953,OQMD,3.6271001876588165
oqmd-307204,TbPt,B2,Pt,Tb,1,1,3.498332,-0.866391407333334,0.07600031500000004,OQMD,3.529654497690424
oqmd-305155,HfRh,B2,Hf,Rh,1,1,3.266312,-0.863496767500001,0.050335614999999945,OQMD,3.222596992956517
oqmd-305473,YAu,B2,Au,Y,1,1,3.595731,-0.8631984475,0.022705612500001027,OQMD,3.6466451326587084
oqmd-305621,EuBi,B2,Bi,Eu,1,1,4.012962,-0.8624730025,0.0962012466666663,OQMD,4.053313290234503
oqmd-307267,CaAs,B2,As,Ca,1,1,3.638335,-0.8624022875,0.24001968833332998,OQMD,3.7466748956927503
oqmd-306418,SmSb,B2,Sb,Sm,1,1,3.860456,-0.859673321249999,0.32217091500000006,OQMD,3.8839258580208176
oqmd-306394,GdPd,B2,Gd,Pd,1,1,3.5327,-0.85541311375,0.04557417000000008,OQMD,3.543884171298273
oqmd-307201,MgPt,B2,Mg,Pt,1,1,3.156268,-0.854021349583335,0.02601736500000007,OQMD,3.3182420337156344
oqmd-306017,HoIr,B2,Ho,Ir,1,1,3.403769,-0.853625936666665,0.0,OQMD,3.466537289503259
oqmd-304648,EuPd,B2,Eu,Pd,1,1,3.546017,-0.848321675,0.01668775,OQMD,3.645548549743832
oqmd-305842,YRh,B2,Rh,Y,1,1,3.432705,-0.8425662725,0.0,OQMD,3.4785499144004985
oqmd-304758,GdAu,B2,Au,Gd,1,1,3.630087,-0.84152147875,0.023756749999999993,OQMD,3.6523949776556957
oqmd-305723,PuAs,B2,As,Pu,1,1,3.5296,-0.839920192499999,0.19287653500000101,OQMD,3.5187829555909436
oqmd-306036,LaBi,B2,Bi,La,1,1,4.027193,-0.8352169275,0.23187908499999998,OQMD,4.057607808387624
oqmd-306257,GdSb,B2,Gd,Sb,1,1,3.820935,-0.83324421125,0.33196118499999994,OQMD,3.853531247214259
oqmd-306858,SrAs,B2,As,Sr,1,1,3.830759,-0.8280972675,0.25629728250000006,OQMD,3.8763804037376
oqmd-304818,ZrAs,B2,As,Zr,1,1,3.367625,-0.8236456825,0.32510901874999987,OQMD,3.4066363401534177
oqmd-305753,YSb,B2,Sb,Y,1,1,3.804642,-0.821504750000001,0.34663578999999944,OQMD,3.847781402217272
oqmd-304448,PaAs,B2,As,Pa,1,1,3.510669,-0.8213139875,0.23827421000000015,OQMD,3.5203860011787724
oqmd-306908,DyIr,B2,Dy,Ir,1,1,3.419057,-0.819275288333335,0.0,OQMD,3.467813436701925
oqmd-675170,ThSb,B2,Sb,Th,1,1,3.860355,-0.8173781125,0.092851404999999,OQMD,3.892417253919502
oqmd-304549,HfRu,B2,Hf,Ru,1,1,3.242656,-0.813002667499999,0.0,OQMD,3.2041549628855357
oqmd-307757,ScAu,B2,Au,Sc,1,1,3.384604,-0.806082717500001,0.0013420249999989142,OQMD,3.4450265998129304
oqmd-307098,GdRh,B2,Gd,Rh,1,1,3.454254,-0.80516777375,0.0,OQMD,3.4842997593974863
oqmd-306241,SmAu,B2,Au,Sm,1,1,3.664814,-0.80288451875,0.03657419500000003,OQMD,3.682789588462255
oqmd-306691,BaSb,B2,Ba,Sb,1,1,4.257929,-0.8021948925,0.1941741375,OQMD,4.200783573973467
oqmd-306407,CaAu,B2,Au,Ca,1,1,3.624862,-0.80058164,0.02541596874999985,OQMD,3.7634609606705034
oqmd-306144,SmPd,B2,Pd,Sm,1,1,3.578333,-0.80003693875,0.057239957500000105,OQMD,3.5742787821048325
oqmd-305636,TiPt,B2,Pt,Ti,1,1,3.167211,-0.799843421893132,0.1500052150000003,OQMD,3.145171347963465
oqmd-304678,SrSb,B2,Sb,Sr,1,1,4.060347,-0.7987323175,0.1677392550000001,OQMD,4.094302738273916
oqmd-305595,DySb,B2,Dy,Sb,1,1,3.792381,-0.797462575833335,0.3376817899999994,OQMD,3.8282364572173795
oqmd-307541,AcBi,B2,Ac,Bi,1,1,4.167813,-0.795731766249999,0.22734227500000115,OQMD,4.164878961926321
oqmd-305702,PmAu,B2,Au,Pm,1,1,3.679996,-0.79024434125,0.0,OQMD,3.6950038455108385
oqmd-304819,TiRu,B2,Ru,Ti,1,1,3.070396,-0.788503041893131,5.806500000116177e-05,OQMD,3.0680213278338706
oqmd-304498,YbSb,B2,Sb,Yb,1,1,3.852546,-0.7851279275,0.13591751416666664,OQMD,3.8918459990134937
