material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type
mp-1183709,CePa3,Ce,Pa,1.0,3.0,4.64910066,-65.2939903575,0.05818046750000801,MP,L1$_2$
mp-978511,SmPa3,Sm,Pa,1.0,3.0,4.72605,-64.84543397375,0.22981074125000503,MP,L1$_2$
mp-974754,NdPa3,Nd,Pa,1.0,3.0,4.7463619999999995,-64.74013459000001,0.25638129062500004,MP,L1$_2$
mp-1184384,EuTh3,Eu,Th,1.0,3.0,5.104766,-64.59043303875,0.146234252499994,MP,L1$_2$
mp-973556,LuTh3,Lu,Th,1.0,3.0,5.02881203,-64.5870117125,0.039404945833339006,MP,L1$_2$
mp-1183064,Ac3Au,Ac,Au,3.0,1.0,5.244383,-64.46144038958334,0.131701262916664,MP,L1$_2$
mp-862862,Pa3Sb,Pa,Sb,3.0,1.0,4.595117770000235,-64.4533125925,0.0,MP,L1$_2$
mp-862863,Pa3Te,Pa,Te,3.0,1.0,4.57029893,-64.406971205,0.0,MP,L1$_2$
mp-972044,YbTh3,Yb,Th,1.0,3.0,5.033559501010655,-64.2015427175,0.037248591250005,MP,L1$_2$
mp-980014,TmTh3,Tm,Th,1.0,3.0,5.038114055788945,-63.843850582500004,0.042858102500012006,MP,L1$_2$
mp-31434,Np3Al,Np,Al,3.0,1.0,4.306809,-63.720507706875,0.38105517203125305,MP,L1$_2$
mp-972422,U3Ge,U,Ge,3.0,1.0,4.28812556,-63.613471675,0.0,MP,L1$_2$
mp-976588,HoTh3,Ho,Th,1.0,3.0,5.0438091,-63.279501945,0.047280646250008,MP,L1$_2$
mp-1184093,DyTh3,Dy,Th,1.0,3.0,5.04835248,-63.0546545425,0.047242876250003,MP,L1$_2$
mp-1187390,TbTh3,Tb,Th,1.0,3.0,5.05192507,-62.86601428,0.047040870000003,MP,L1$_2$
mp-1183732,CeTh3,Ce,Th,1.0,3.0,4.98917423,-62.7995844175,0.017019385000011,MP,L1$_2$
mp-1183930,CsPa3,Cs,Pa,1.0,3.0,4.756457,-62.782228841982764,1.13689804301724,MP,L1$_2$
mp-1185929,MgNp3,Mg,Np,1.0,3.0,4.586796,-62.62470617875,0.6857783659375011,MP,L1$_2$
mp-978507,SmTh3,Sm,Th,1.0,3.0,5.06620012,-62.4830492825,0.056628410000008005,MP,L1$_2$
mp-1186380,Pa3Cd,Pa,Cd,3.0,1.0,4.625337,-62.47068019500001,0.19758036249999802,MP,L1$_2$
mp-1186658,PmTh3,Pm,Th,1.0,3.0,5.0728964,-62.43087638,0.060723348125009007,MP,L1$_2$
mp-974779,NdTh3,Nd,Th,1.0,3.0,5.080630420012464,-62.3947046025,0.066244255625008,MP,L1$_2$
mp-570637,U3Si,U,Si,3.0,1.0,4.24041411,-62.3881011575,0.032221368749993005,MP,L1$_2$
mp-1100774,U3N,U,N,3.0,1.0,4.031553,-62.07234781499999,0.9572085000000071,MP,L1$_2$
mp-972103,U3C,U,C,3.0,1.0,4.043269,-62.04892596249999,0.522137270000001,MP,L1$_2$
mp-19762,UPb3,U,Pb,1.0,3.0,4.839177,-62.04199507375,0.157364665000002,MP,L1$_2$
mp-862864,Pa3Ge,Pa,Ge,3.0,1.0,4.47460569,-61.434581555,0.0,MP,L1$_2$
mp-1187624,U3Cl,U,Cl,3.0,1.0,4.245442,-61.41624633958334,0.8152360608333351,MP,L1$_2$
mp-1187064,Th3In,Th,In,3.0,1.0,4.95489198,-60.9686243475,0.0,MP,L1$_2$
mp-1183059,Ac3Yb,Ac,Yb,3.0,1.0,5.48551210596988,-60.558120295,0.052333960624999,MP,L1$_2$
mp-862861,Pa3Si,Pa,Si,3.0,1.0,4.440774621050497,-60.1509647375,0.0,MP,L1$_2$
mp-983497,Pa3Zn,Pa,Zn,3.0,1.0,4.508804,-59.831995516078436,0.080064038333333,MP,L1$_2$
mp-21844,UTl3,U,Tl,1.0,3.0,4.763456,-59.657582068749996,0.21240552249999903,MP,L1$_2$
mp-1186381,Pa3Al,Pa,Al,3.0,1.0,4.51652992,-59.4517010425,0.011261787500004,MP,L1$_2$
mp-30741,PaIr3,Pa,Ir,1.0,3.0,4.06933556,-59.40801936,0.0,MP,L1$_2$
mp-1183105,Ac3Ce,Ac,Ce,3.0,1.0,5.412265,-59.060794782500004,0.127471966874999,MP,L1$_2$
mp-2061,ThTl3,Th,Tl,1.0,3.0,4.80347449,-58.4883097775,0.0,MP,L1$_2$
mp-1187452,ThPt3,Th,Pt,1.0,3.0,4.21705778,-58.124491545,0.015857318750001,MP,L1$_2$
mp-861939,Ac3Sn,Ac,Sn,3.0,1.0,5.31714098,-58.0463753275,0.115386579999999,MP,L1$_2$
mp-1187180,Pa3H,Pa,H,3.0,1.0,4.285465999999999,-58.002141171354175,0.64460052677083,MP,L1$_2$
mp-1187074,Th3S,Th,S,3.0,1.0,4.742042,-57.392733930000006,0.735964227499998,MP,L1$_2$
mp-1183927,CsAc3,Cs,Ac,1.0,3.0,5.804523,-57.33851790073276,0.416704908642238,MP,L1$_2$
mp-1187484,TlBi3,Tl,Bi,1.0,3.0,5.035145,-57.08873128416666,0.09362152250000101,MP,L1$_2$
mp-1183058,Ac3Zr,Ac,Zr,3.0,1.0,5.320169,-56.89804255999999,0.26751497562500504,MP,L1$_2$
mp-979412,Th3B,Th,B,3.0,1.0,4.660912,-56.409703930781255,0.736521494374997,MP,L1$_2$
mp-1183446,Bi3Au,Bi,Au,3.0,1.0,4.8264119999999995,-56.347315449374996,0.17562989687500102,MP,L1$_2$
mp-981390,HgBi3,Hg,Bi,1.0,3.0,4.95629,-56.092871145625,0.12578579374999702,MP,L1$_2$
mp-1183075,Ac3Cr,Ac,Cr,3.0,1.0,5.318617,-54.79576256125,0.450682595624996,MP,L1$_2$
mp-865246,EuBi3,Eu,Bi,1.0,3.0,4.999636723140972,-54.0031392375,0.040842896249998005,MP,L1$_2$
mp-977275,LuBi3,Lu,Bi,1.0,3.0,4.940447,-53.7169600075,0.139923572500002,MP,L1$_2$
mp-1076927,GdPb3,Gd,Pb,1.0,3.0,4.86990628,-53.44027841,0.0,MP,L1$_2$
mp-1183056,Ac3Cl,Ac,Cl,3.0,1.0,5.460296,-53.24304891958334,0.702535130000001,MP,L1$_2$
mp-1183439,BiPt3,Bi,Pt,1.0,3.0,4.186495,-53.232470875,0.155978428750003,MP,L1$_2$
mp-1187914,YbBi3,Yb,Bi,1.0,3.0,4.908890296736319,-53.2276390725,0.130092330000003,MP,L1$_2$
mp-1184777,Ir3Pb,Ir,Pb,3.0,1.0,4.052025,-52.8944734825,0.44632513250000005,MP,L1$_2$
mp-20828,Pt3Pb,Pt,Pb,3.0,1.0,4.09973384,-52.808339165,0.034657805000001006,MP,L1$_2$
mp-1184168,ErBi3,Er,Bi,1.0,3.0,4.936298,-52.7393953525,0.123354842499999,MP,L1$_2$
mp-1185032,KAc3,K,Ac,1.0,3.0,5.7436,-52.648472121062504,0.334203422374997,MP,L1$_2$
mp-1186902,Re3Ir,Re,Ir,3.0,1.0,3.88196526,-52.50265132,0.0,MP,L1$_2$
mp-1184761,Ir3Os,Ir,Os,3.0,1.0,3.84807393,-52.494420455,0.021401844999999,MP,L1$_2$
