t,x,u,dudt,dudx,d2udx2,u_dudx,nu_true
0.0,0.0,-7.348173408847985e-05,-0.15999313548863772,49.01525184575308,0.0,-0.0036017257024094987,0.01
0.0,0.02040816326530612,1.0002377804241376,-73.20995626465479,24.55513294703366,-2397.0916520745036,24.56097167696056,0.01
0.0,0.04081632653061224,1.0021768426346322,-0.3456531195687175,-0.041913378434999315,-13.418887821425335,-0.042004617264138094,0.01
0.0,0.061224489795918366,0.9985270302839335,-0.05371244172107347,0.007289133626784517,18.240734003480153,0.007278396953695902,0.01
0.0,0.08163265306122448,1.0024743582928684,-0.804888525792569,0.012408202925311697,-17.739065212224222,0.012438905265119536,0.01
0.0,0.1020408163265306,0.9990334875461911,0.18836247419899063,-0.07459912722860507,9.212346857140643,-0.07452702624309535,0.01
0.0,0.12244897959183673,0.9994294959570069,0.10232876050793192,0.0050063714378077995,-1.4110079878321804,0.0050035152826618055,0.01
0.0,0.14285714285714285,0.9992378292375302,-0.31296287218638663,-0.01678252755286358,-0.7243041132536151,-0.016769736401042443,0.01
0.0,0.16326530612244897,0.9987444948324002,0.2078449539229865,-0.04516366616401558,-2.057047470639547,-0.045106962947758907,0.01
0.0,0.18367346938775508,0.9973944142920602,0.5882565809263187,0.018413776378534974,8.287636839809235,0.018365797705973862,0.01
0.0,0.2040816326530612,0.9994960775417282,-0.1629544490757222,0.07828190844893074,-2.420559896910449,0.07824246043718694,0.01
0.0,0.22448979591836732,1.0005895942287513,0.04654000253920198,0.003047263369540754,-4.952435320870038,0.0030490600184369205,0.01
0.0,0.24489795918367346,0.9996204556384441,0.15577096141305247,-0.05187926611198546,-0.43036456831979886,-0.051859575629051004,0.01
0.0,0.26530612244897955,0.9984720731629559,0.3226760514329863,-0.009902063378308124,4.544130436220178,-0.009886933749930295,0.01
0.0,0.2857142857142857,0.9992162897862683,0.3637243324901613,0.07296034575441601,3.576385658786789,0.07290316598625088,0.01
0.0,0.3061224489795918,1.0014500464590546,0.024515453561191333,0.013817859147467028,-9.372349346268058,0.013837895685195528,0.01
0.0,0.32653061224489793,0.9997802840371853,0.05959290534320271,-0.042296962330351906,3.873096841441534,-0.04228766901254936,0.01
0.0,0.3469387755102041,0.9997236398333259,-0.07355724175763578,-0.027514995879398988,-2.424464129247881,-0.02750739183055172,0.01
0.0,0.36734693877551017,0.9986572229808833,0.3779876287379775,0.026251860138334974,7.693616018986076,0.026216609743832154,0.01
0.0,0.3877551020408163,1.0007951443287681,-0.2217740850622005,0.006261096006772494,-9.652710903878933,0.006266074481754152,0.01
0.0,0.4081632653061224,0.9989127779199353,0.057926247532393164,-0.03665636711014941,5.4467995184208515,-0.0366165134984523,0.01
0.0,0.42857142857142855,0.9992989660793743,0.13985596628505492,0.05013604612879314,3.05885697899552,0.0501008990598108,0.01
0.0,0.44897959183673464,1.000959147149682,0.13202545497789098,0.013991226441113782,-6.6010493083883635,0.01400464608607533,0.01
0.0,0.4693877551020408,0.9998700365463585,0.2859091148438122,-0.03204742437059177,2.089261528841219,-0.03204325937664025,0.01
0.0,0.4897959183673469,0.9996510890121068,-24.012613033502934,-24.517187293429785,-2401.632968696643,-24.50863297739087,0.01
0.0,0.5102040816326531,-0.0008314856344489357,24.599516587867612,-24.464319025101393,2406.814058992825,0.0203417298259476,0.01
0.0,0.5306122448979591,0.0011074553344989886,-0.26053759748483984,-0.00029274431084424027,-9.339483475350672,-3.2420124868868403e-07,0.01
0.0,0.5510204081632653,-0.0008434343818303333,0.33506329434313253,-0.0038275935881304504,8.993068246176621,3.228324031902554e-06,0.01
0.0,0.5714285714285714,0.0009512270247793784,0.09356509611035818,0.008244163259823774,-7.810036075077108,7.842070889437631e-06,0.01
0.0,0.5918367346938775,-0.0005069379222456895,0.10192714218150803,-0.02149670424735849,4.895431059373245,1.0897494586286001e-05,0.01
0.0,0.6122448979591836,7.38105248871952e-05,0.15360032367377713,-0.00980708575317293,-3.749848446943061,-7.238661470554281e-07,0.01
0.0,0.6326530612244897,-0.0009072271366609111,0.40832888735585765,0.001278874807608131,4.836272581899605,-1.1602299298540982e-06,0.01
0.0,0.6530612244897959,0.0001260094966263026,0.13777391139506617,0.016907030874148472,-3.3047132873786507,2.1304464498968057e-06,0.01
0.0,0.673469387755102,-0.00021714424383852447,-0.008634147960740185,-0.01452189754314227,0.22467830248415724,3.1533464611061542e-06,0.01
0.0,0.6938775510204082,-0.00046672101533868797,0.29482266807944535,-0.0024740969608702886,0.9560061545784972,1.1547130456237433e-06,0.01
0.0,0.7142857142857142,-0.00031812779326180154,0.2895496486446678,0.019808647889842924,1.227702840791398,-6.301681440695771e-06,0.01
0.0,0.7346938775510203,0.0003417952250630639,0.2926344506946065,-0.040477033727718166,-7.135699639312385,-1.3834856852850657e-05,0.01
0.0,0.7551020408163265,-0.001970251618882951,0.4182012438250144,-0.01712417674456594,9.424279623661304,3.373893695301883e-05,0.01
0.0,0.7755102040816326,-0.00035715076451105617,-0.06367266803010807,0.0018416768897486387,-7.565625967498475,-6.577563091560704e-07,0.01
0.0,0.7959183673469387,-0.0018950811335870883,0.1704039626594849,-0.018923280763346297,5.53066011749517,3.586115236018904e-05,0.01
