t,x,u,dudt,dudx,d2udx2,alpha_true,scenario
0.0,0.0,-0.0004455724876500068,0.03778120423991904,0.10120844187837258,0.0,0.01,low_diffusion
0.0,0.02564102564102564,0.0021495157656415977,-0.2934603791707201,-0.0036996268502358758,-8.18282936083146,0.01,low_diffusion
0.0,0.05128205128205128,-0.0006352969415082568,-0.010371489484345185,-0.03722083530811177,5.56817510111714,0.01,low_diffusion
0.0,0.07692307692307693,0.00024075498061022486,-0.11000051206074332,0.011996549835519676,-1.7292190599138868,0.01,low_diffusion
0.0,0.10256410256410256,-2.0089257635452946e-05,-0.00032690951528266,0.045292965491595345,4.326339481087789,0.01,low_diffusion
0.0,0.1282051282051282,0.0025634711596663963,-0.03589242555055435,0.043147554021859866,-4.493681575727156,0.01,low_diffusion
0.0,0.15384615384615385,0.0021926058204086427,0.2230166974573463,0.09196153369767146,8.30117199044046,0.01,low_diffusion
0.0,0.1794871794871795,0.007279447246726471,-0.1582857224976941,0.19833603165197575,-0.003961150004727609,0.01,low_diffusion
0.0,0.20512820512820512,0.012363684366663808,0.04747037798875843,0.4054847236553138,16.161559126265093,0.01,low_diffusion
0.0,0.23076923076923075,0.028073535639306663,-0.06823748584039364,0.7439452243538939,10.238359928224162,0.01,low_diffusion
0.0,0.2564102564102564,0.05051472151301734,0.164292223828581,1.2783670301461485,31.446540923571686,0.01,low_diffusion
0.0,0.28205128205128205,0.09363081923654504,0.23481719073859067,2.072692950151578,30.510880836851825,0.01,low_diffusion
0.0,0.3076923076923077,0.15680666767463672,0.5341552256810418,3.0140275846127804,42.91322065112199,0.01,low_diffusion
0.0,0.3333333333333333,0.2481963363961748,0.6691949041509478,4.1723706770990905,47.43754056281016,0.01,low_diffusion
0.0,0.358974358974359,0.3707743947053593,0.27488921890716556,5.156987532430631,29.362574153050012,0.01,low_diffusion
0.0,0.3846153846153846,0.5126572354951815,0.2733954995614554,5.815922275566108,22.03433581151723,0.01,low_diffusion
0.0,0.41025641025641024,0.6690268190933648,-0.20462057949496223,5.902752692746557,-15.261563271442268,0.01,low_diffusion
0.0,0.4358974358974359,0.8153625017898767,-0.5672217819058843,5.030464109943431,-52.77694618720156,0.01,low_diffusion
0.0,0.4615384615384615,0.9269993375520023,-0.55644655749492,3.461100960116665,-69.63337949928615,0.01,low_diffusion
0.0,0.48717948717948717,0.9928548587189364,-0.9658027357388654,1.2523976231940268,-102.64548078067965,0.01,low_diffusion
0.0,0.5128205128205128,0.9912248566901575,-0.8625312497052259,-1.2667438090357712,-93.84755093324478,0.01,low_diffusion
0.0,0.5384615384615384,0.927893637742743,-0.7990543550800283,-3.4580153094986854,-77.07162610286272,0.01,low_diffusion
0.0,0.5641025641025641,0.8138907382543275,-0.33710950145324226,-5.083038435346789,-49.68017771328937,0.01,low_diffusion
0.0,0.5897435897435898,0.6672250000326513,-0.01611771854462346,-5.859993360822502,-10.922306473816217,0.01,low_diffusion
0.0,0.6153846153846154,0.5133782582121479,-0.029695380781290942,-5.804675642236183,15.237088523549156,0.01,low_diffusion
0.0,0.641025641025641,0.3695493260718214,0.5209566999169707,-5.090849952291828,40.44131529211064,0.01,low_diffusion
0.0,0.6666666666666666,0.25230902988949006,0.2734808001786352,-4.1476106003582585,33.13135415870772,0.01,low_diffusion
0.0,0.6923076923076923,0.15685134656626967,0.35458414015488315,-3.101020576495677,48.50266770257359,0.01,low_diffusion
0.0,0.717948717948718,0.09328233365894252,0.4621740310321995,-2.057753779480305,32.8721424646254,0.01,low_diffusion
0.0,0.7435897435897436,0.051325511721125816,0.2060550201806432,-1.2902770994683848,26.991038576304415,0.01,low_diffusion
0.0,0.7692307692307692,0.027114277275948437,0.2258685655217768,-0.7488656771882052,15.239052361549586,0.01,low_diffusion
0.0,0.7948717948717948,0.012922143660192217,0.0660052324494757,-0.3864540144128847,13.029057334925415,0.01,low_diffusion
0.0,0.8205128205128205,0.0072961226906722975,-0.05786806971366955,-0.21298420739496518,0.5015876124723134,0.01,low_diffusion
0.0,0.8461538461538461,0.001999876614296568,0.059135621347638195,-0.1123189693572303,7.350300954471007,0.01,low_diffusion
0.0,0.8717948717948718,0.001536175544147667,0.011006895614116875,-0.02519481575070009,-0.5546169731616505,0.01,low_diffusion
0.0,0.8974358974358974,0.0007078347809273325,0.08731938500089474,-0.028852392905414175,0.2693259550939517,0.01,low_diffusion
0.0,0.923076923076923,5.656565156232467e-05,-0.08313477134352151,-0.05875742409713679,-2.601918388048316,0.01,low_diffusion
0.0,0.9487179487179487,-0.002305366454823272,0.1564320297380864,-0.02057399273986206,5.5802260339157455,0.01,low_diffusion
0.0,0.9743589743589743,-0.0009985108991998322,0.23809087747672267,0.03959033143837016,-0.8874087480136317,0.01,low_diffusion
0.0,1.0,-0.00027509304772736656,0.0026867252892323968,0.028213296207426162,0.0,0.01,low_diffusion
0.010126582278481013,0.0,-6.297801433437094e-05,0.03079588818768162,-0.029611018911651993,0.0,0.01,low_diffusion
0.010126582278481013,0.02564102564102564,-0.0008222349095049348,0.2542997742756845,-0.013208260041356407,1.2794151918830559,0.01,low_diffusion
0.010126582278481013,0.05128205128205128,-0.0007403246831218789,0.18907127702894477,-0.0009933172458885106,-0.32664965383655986,0.01,low_diffusion
0.010126582278481013,0.07692307692307693,-0.0008731742554479354,0.11905073844430629,0.013980036512954807,1.4945712470263386,0.01,low_diffusion
0.010126582278481013,0.10256410256410256,-2.339973373958115e-05,-0.021719888512243875,0.059926967384746586,2.08928936097342,0.01,low_diffusion
0.010126582278481013,0.1282051282051282,0.0022000035591544535,-0.08311082359969896,0.0872508485632904,0.04197337095299758,0.01,low_diffusion
0.010126582278481013,0.15384615384615385,0.004451002756685567,0.05797977522024942,0.06779273075621096,-1.559706559905194,0.01,low_diffusion
0.010126582278481013,0.1794871794871795,0.005676553854344759,0.19833925631785743,0.16367118882020396,9.038226288896649,0.01,low_diffusion
0.010126582278481013,0.20512820512820512,0.012844397055157565,0.2779865642083228,0.42326640076738825,11.210200242983731,0.01,low_diffusion
0.010126582278481013,0.23076923076923075,0.027382523124467234,0.15739041359094028,0.7670138420134032,15.602100174205436,0.01,low_diffusion
0.010126582278481013,0.2564102564102564,0.05217844023533209,0.4333809493111179,1.3382107384326314,28.95125774649436,0.01,low_diffusion
0.010126582278481013,0.28205128205128205,0.09600871483896115,0.25724167063952796,2.145729188492064,34.03518135814138,0.01,low_diffusion
0.010126582278481013,0.3076923076923077,0.16221583451697638,0.3141379532405839,3.0998034368815497,40.38261001623854,0.01,low_diffusion
0.010126582278481013,0.3333333333333333,0.2549729936533996,0.5442896994562785,4.121173845381717,39.28428184677451,0.01,low_diffusion
0.010126582278481013,0.358974358974359,0.37355808299809007,0.4232599446691108,5.07882967532182,35.41287288855349,0.01,low_diffusion
0.010126582278481013,0.3846153846153846,0.515425797516057,0.0968063952227105,5.721234264742397,14.694685086251548,0.01,low_diffusion
0.010126582278481013,0.41025641025641024,0.6669547119592386,-0.17788623730242856,5.736757381469461,-13.483881981540508,0.01,low_diffusion
0.010126582278481013,0.4358974358974359,0.8096184837452601,-0.42464302643634155,4.96098961302192,-47.02600395736775,0.01,low_diffusion
0.010126582278481013,0.4615384615384615,0.9213644357039524,-0.6377346817667738,3.382393835055975,-76.10446672397595,0.01,low_diffusion
0.010126582278481013,0.48717948717948717,0.9830745778506947,-0.9940087613359823,1.1919555827069284,-94.7497169592497,0.01,low_diffusion
0.010126582278481013,0.5128205128205128,0.9824903630222565,-1.0083073520788624,-1.23381628070314,-94.46048838673582,0.01,low_diffusion
0.010126582278481013,0.5384615384615384,0.9198019480710465,-0.6377104646648659,-3.354261141489433,-70.9342107545954,0.01,low_diffusion
0.010126582278481013,0.5641025641025641,0.8104769711510035,-0.5379956915768374,-4.928433226106886,-51.85121184556615,0.01,low_diffusion
0.010126582278481013,0.5897435897435898,0.6670617826296678,-0.2903520773148689,-5.799288800284749,-16.07552294030716,0.01,low_diffusion
0.010126582278481013,0.6153846153846154,0.5130775454953753,0.17476430172620003,-5.698620440615919,23.927654994476015,0.01,low_diffusion
0.010126582278481013,0.641025641025641,0.37482483695705654,0.16900425487232307,-5.0309822507351845,28.148123816221375,0.01,low_diffusion
0.010126582278481013,0.6666666666666666,0.25507845571408383,0.3123274937280593,-4.180463915956848,38.192306296488844,0.01,low_diffusion
0.010126582278481013,0.6923076923076923,0.16044207203619254,0.4990326541762417,-3.0637596347068716,48.91062764100933,0.01,low_diffusion
0.010126582278481013,0.717948717948718,0.09796257701116733,0.16969092224271784,-2.0870835803866106,27.27010459597107,0.01,low_diffusion
0.010126582278481013,0.7435897435897436,0.053412144836879165,0.16711325460115048,-1.3369399508856328,31.241098505105242,0.01,low_diffusion
0.010126582278481013,0.7692307692307692,0.02940155388882719,0.11167018581559843,-0.7765210783098029,12.471573555809492,0.01,low_diffusion
0.010126582278481013,0.7948717948717948,0.013590551077402098,0.2799879448409298,-0.4424830208644412,13.583394924928717,0.01,low_diffusion
0.010126582278481013,0.8205128205128205,0.006710116921419948,-0.2176415907199581,-0.2143407381948217,4.211703123301611,0.01,low_diffusion
0.010126582278481013,0.8461538461538461,0.0025987183494625243,-0.08299036381734932,-0.09871834329250284,4.80684367907926,0.01,low_diffusion
0.010126582278481013,0.8717948717948718,0.0016476377782146732,-0.003877594396375124,-0.019629414320436772,1.362092780741895,0.01,low_diffusion
0.010126582278481013,0.8974358974358974,0.001592081717645254,0.07686594691915856,-0.04744239296287188,-3.531505114851834,0.01,low_diffusion
0.010126582278481013,0.923076923076923,-0.0007853054506505514,-0.09026676696894452,-0.04510986387055211,3.713442384052776,0.01,low_diffusion
0.010126582278481013,0.9487179487179487,-0.0007212446346907515,0.25628215423033124,0.04285790753350262,3.1480437854634933,0.01,low_diffusion
0.010126582278481013,0.9743589743589743,0.0014125359613239416,-0.23539569547115677,0.009230499167457213,-5.7709816380150345,0.01,low_diffusion
0.010126582278481013,1.0,-0.000247885703026279,0.05566256968653851,-0.06475644490965861,0.0,0.01,low_diffusion
0.020253164556962026,0.0,0.00024887908123708854,0.03218701711513929,0.05865887027753398,0.0,0.01,low_diffusion
0.020253164556962026,0.02564102564102564,0.001752952678096934,-0.12208186379759091,0.018046120539956318,-3.1677944795310573,0.01,low_diffusion
0.020253164556962026,0.05128205128205128,0.0011743211602092073,0.00699525583150739,-0.027700721789806242,-0.40045922219042274,0.01,low_diffusion
0.020253164556962026,0.07692307692307693,0.00033240284272225486,0.13959356866353878,-0.02764454807492548,0.40484077195112184,0.01,low_diffusion
0.020253164556962026,0.10256410256410256,-0.0002433479718382533,0.16641142016159646,0.02000645639884175,3.311937577002723,0.01,low_diffusion
0.020253164556962026,0.1282051282051282,0.0013583749657397805,-0.026795894686072415,0.10298901000920048,3.160701604605258,0.01,low_diffusion
0.020253164556962026,0.15384615384615385,0.005038139720941258,-0.23308090248586813,0.12337021489182969,-1.5709676237601782,0.01,low_diffusion
0.020253164556962026,0.1794871794871795,0.007685052652500277,-0.11501628584860864,0.20711556740519058,8.10310511980233,0.01,low_diffusion
0.020253164556962026,0.20512820512820512,0.01565945086992539,0.16527310961562677,0.4151803001782755,8.125944036498296,0.01,low_diffusion
0.020253164556962026,0.23076923076923075,0.028976350097540047,0.38556118264314765,0.7976993155273729,21.7105391607313,0.01,low_diffusion
0.020253164556962026,0.2564102564102564,0.05656710807645733,0.24063284115579014,1.3579282018498209,21.987313972419642,0.01,low_diffusion
0.020253164556962026,0.28205128205128205,0.09861369378214624,0.3266942786403324,2.1221824702806673,37.62451896518639,0.01,low_diffusion
0.020253164556962026,0.3076923076923077,0.16539697834726078,0.3458527417228473,3.156486338774478,43.051182777330844,0.01,low_diffusion
0.020253164556962026,0.3333333333333333,0.2604847880782733,0.1523828715134748,4.142721985461274,33.87519766423929,0.01,low_diffusion
0.020253164556962026,0.358974358974359,0.37784425965296714,0.22360983109507743,4.9904658835997475,32.24882639056165,0.01,low_diffusion
0.020253164556962026,0.3846153846153846,0.5164061154423629,0.2816768046812383,5.602526917416371,15.491934247134974,0.01,low_diffusion
0.020253164556962026,0.41025641025641024,0.6651533323409862,-0.24779431892467188,5.633787622255775,-13.053599269661472,0.01,low_diffusion
0.020253164556962026,0.4358974358974359,0.8053183011990693,-0.3815148908632297,4.870184097406176,-46.5074756686073,0.01,low_diffusion
0.020253164556962026,0.4615384615384615,0.9149063629772003,-0.8675196825702624,3.269962120316299,-78.30983854440308,0.01,low_diffusion
0.020253164556962026,0.48717948717948717,0.9730086663434949,-0.8867744380157437,1.1187792073035285,-89.48242867059304,0.01,low_diffusion
0.020253164556962026,0.5128205128205128,0.9722796556594325,-0.848740141589708,-1.1634586423731474,-88.53212360418755,0.01,low_diffusion
0.020253164556962026,0.5384615384615384,0.9133441205807694,-0.7355793232635631,-3.261389471820679,-75.10648109271975,0.01,low_diffusion
0.020253164556962026,0.5641025641025641,0.8050289135147823,-0.3510616553459578,-4.8598409369592925,-49.5727331880921,0.01,low_diffusion
0.020253164556962026,0.5897435897435898,0.6641215084290109,0.0768521693499917,-5.65854125730339,-12.725891798747544,0.01,low_diffusion
0.020253164556962026,0.6153846153846154,0.514847310576147,0.23956261308565527,-5.607912101601739,16.67496594347639,0.01,low_diffusion
0.020253164556962026,0.641025641025641,0.3765362724494345,0.3438756717828818,-5.003817873580386,30.44438384218919,0.01,low_diffusion
0.020253164556962026,0.6666666666666666,0.2582412657771528,0.34265366375444883,-4.115293751031011,38.86049771666212,0.01,low_diffusion
0.020253164556962026,0.6923076923076923,0.165495567268357,0.5792711617244388,-3.0919258437596735,40.962199050502214,0.01,low_diffusion
0.020253164556962026,0.717948717948718,0.09968096609716953,0.32538484927984795,-2.1526271580242238,32.303098436862875,0.01,low_diffusion
0.020253164556962026,0.7435897435897436,0.05510443095942246,0.22649023628449322,-1.3483972102307349,30.42683749102928,0.01,low_diffusion
0.020253164556962026,0.7692307692307692,0.03053239121354211,0.2478810837995265,-0.7542318989713147,15.91805678720548,0.01,low_diffusion
0.020253164556962026,0.7948717948717948,0.016425872037816577,-0.1258366585718372,-0.5075116754714625,3.326120645782996,0.01,low_diffusion
0.020253164556962026,0.8205128205128205,0.004506151445774802,0.22348222322042705,-0.2860174674994945,13.950427576030508,0.01,low_diffusion
0.020253164556962026,0.8461538461538461,0.0017583096019450628,0.27850206381130965,-0.05650671870202317,3.951410830172261,0.01,low_diffusion
0.020253164556962026,0.8717948717948718,0.0016083709995172036,-0.0025659039096577324,0.011937148306012885,1.3872107964545528,0.01,low_diffusion
0.020253164556962026,0.8974358974358974,0.002370471053535467,-0.23904260283522916,-0.06450152071137927,-7.34942697981114,0.01,low_diffusion
0.020253164556962026,0.923076923076923,-0.0016993992933740402,0.08854638370907082,-0.009680840654674974,11.625440024234074,0.01,low_diffusion
0.020253164556962026,0.9487179487179487,0.0018740176866290583,-0.20702735779536122,0.014199536841926527,-9.762770579499158,0.01,low_diffusion
0.020253164556962026,0.9743589743589743,-0.0009712179168649876,0.13589461762508673,-0.030385520058911982,6.285136141233755,0.01,low_diffusion
0.020253164556962026,1.0,0.0003157858887361363,-0.04246197198716363,0.050193148418443835,0.0,0.01,low_diffusion
0.03037974683544304,0.0,0.0005748235583524231,-0.01881823505257719,-0.002267573829772131,0.0,0.01,low_diffusion
0.03037974683544304,0.02564102564102564,0.0005166806396403172,0.13664631883888093,0.013071544894074574,1.196451260460043,0.01,low_diffusion
0.03037974683544304,0.05128205128205128,0.001245159193945991,-0.18429513480603602,0.023971895253151018,-0.34622393245208055,0.01,low_diffusion
