pair,omega_b2,b2_source,b2_sigma,omega_l12,l12_source,l12_sigma
Al-Rh,-0.11866046345569388,DFT,,-0.058182820511815565,ML,0.05201592290220109
Al-Ru,-0.10906246994650984,DFT,,-0.058182820511815565,ML,0.05201592290220109
Al-Sc,-0.07834228374866255,DFT,,-0.06243380180698618,DFT,
Al-Si,-0.14287336799313488,DFT,,-0.058182820511815565,ML,0.05201592290220109
Al-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Al-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Al-Tb,-0.0350340112560322,DFT,,-0.03932622175243091,DFT,
Al-Ti,-0.06107884395389979,DFT,,-0.07429740810100538,DFT,
Al-V,-0.06038022993089477,ML,0.06804399586872885,-0.0666095711393156,DFT,
Al-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Al-Y,-0.058953671868290355,DFT,,-0.05756663078831645,DFT,
Al-Zn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Al-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.04238056485135301,DFT,
Au-B,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Be,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Ca,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Ce,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Co,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Cr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Cu,-0.06038022993089477,ML,0.06804399586872885,0.007305835270689348,DFT,
Au-Dy,-0.05137204882111095,DFT,,-0.058182820511815565,ML,0.05201592290220109
Au-Er,-0.05888661353594308,DFT,,-0.058182820511815565,ML,0.05201592290220109
Au-Fe,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Ge,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Hf,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Ir,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Mg,-0.12126358067999367,DFT,,-0.058182820511815565,ML,0.05201592290220109
Au-Mn,0.13262422208500235,DFT,,-0.058182820511815565,ML,0.05201592290220109
Au-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Pd,-0.06038022993089477,ML,0.06804399586872885,0.04188625144611993,DFT,
Au-Pt,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Rh,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Sc,-0.0734037708609675,DFT,,-0.058182820511815565,ML,0.05201592290220109
Au-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Tb,-0.0487981759632393,DFT,,-0.058182820511815565,ML,0.05201592290220109
Au-Ti,0.008312685040275637,DFT,,-0.03937084884168458,DFT,
Au-V,-0.06038022993089477,ML,0.06804399586872885,-0.011221189391379305,DFT,
Au-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Au-Y,-0.07341306939000744,DFT,,-0.058182820511815565,ML,0.05201592290220109
Au-Zn,-0.011416892098767693,DFT,,-0.058182820511815565,ML,0.05201592290220109
Au-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Be,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Ca,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Ce,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Co,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Cr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Cu,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Dy,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Er,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Fe,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Ge,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Hf,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Ir,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Mg,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Pd,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Pt,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Rh,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Sc,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Ti,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-V,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Y,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Zn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
B-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Ca,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Ce,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Co,-0.11367932976259998,DFT,,-0.058182820511815565,ML,0.05201592290220109
Be-Cr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Cu,-0.03648077395722821,DFT,,-0.058182820511815565,ML,0.05201592290220109
Be-Dy,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Er,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Fe,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Ge,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Hf,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Ir,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Mg,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Ni,-0.08046010350078393,DFT,,-0.058182820511815565,ML,0.05201592290220109
Be-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Pd,-0.020450719977548354,DFT,,-0.058182820511815565,ML,0.05201592290220109
Be-Pt,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Rh,-0.02094433153788104,DFT,,-0.058182820511815565,ML,0.05201592290220109
Be-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Sc,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Ti,-0.0259705124982886,DFT,,-0.058182820511815565,ML,0.05201592290220109
Be-V,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Y,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Zn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Be-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Ce,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Co,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Cr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Cu,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Dy,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Er,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Fe,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Ge,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Hf,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Ir,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Mg,-0.06664379132608397,DFT,,-0.058182820511815565,ML,0.05201592290220109
Ca-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Ni,-0.2681069326728903,DFT,,-0.058182820511815565,ML,0.05201592290220109
Ca-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.158345858962426,DFT,
Ca-Pd,-0.25848304449510157,DFT,,-0.058182820511815565,ML,0.05201592290220109
Ca-Pt,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Rh,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Sc,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.14324939552886573,DFT,
Ca-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Ti,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-V,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Y,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ca-Zn,-0.1677334548323653,DFT,,-0.058182820511815565,ML,0.05201592290220109
Ca-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Co,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Cr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Cu,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Dy,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Er,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Fe,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Ge,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Hf,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Ir,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Mg,0.023386380299272338,DFT,,-0.058182820511815565,ML,0.05201592290220109
Ce-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.07178735512121236,DFT,
Ce-Pd,-0.06038022993089477,ML,0.06804399586872885,-0.06807024863872392,DFT,
Ce-Pt,-0.06038022993089477,ML,0.06804399586872885,-0.07997018259395863,DFT,
Ce-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Rh,-0.06038022993089477,ML,0.06804399586872885,-0.09356084064321503,DFT,
Ce-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Sc,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.08116545415332763,DFT,
Ce-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Ti,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-V,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Y,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ce-Zn,0.003858075517946015,DFT,,-0.058182820511815565,ML,0.05201592290220109
Ce-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Cr,-0.003431935012533755,DFT,,-0.058182820511815565,ML,0.05201592290220109
Co-Cu,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Dy,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Er,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Fe,-0.02963917693648368,DFT,,-0.058182820511815565,ML,0.05201592290220109
Co-Ge,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Hf,-0.06337360501747838,DFT,,-0.058182820511815565,ML,0.05201592290220109
Co-Ir,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Mg,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Mn,-0.010311829595711348,DFT,,-0.058182820511815565,ML,0.05201592290220109
Co-Mo,0.010749885312723199,DFT,,-0.058182820511815565,ML,0.05201592290220109
Co-Nb,0.0052993763599497815,DFT,,-0.058182820511815565,ML,0.05201592290220109
Co-Ni,-0.0050582562283386,DFT,,-0.058182820511815565,ML,0.05201592290220109
Co-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Pd,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Pt,-0.06038022993089477,ML,0.06804399586872885,0.03624342734521039,DFT,
Co-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Rh,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Sc,-0.15004607106593504,DFT,,-0.058182820511815565,ML,0.05201592290220109
Co-Si,-0.310318909676558,DFT,,-0.058182820511815565,ML,0.05201592290220109
Co-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Ta,-0.01474359375712595,DFT,,-0.06953471244533754,DFT,
Co-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
