pair,omega_b2,b2_source,b2_sigma,omega_l12,l12_source,l12_sigma
Co-Ti,-0.08299073165741178,DFT,,-0.09284939945971718,DFT,
Co-V,-0.03355409610866239,DFT,,-0.058182820511815565,ML,0.05201592290220109
Co-W,-0.0017118523977122154,DFT,,-0.058182820511815565,ML,0.05201592290220109
Co-Y,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Zn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Co-Zr,-0.05894042476923241,DFT,,-0.058182820511815565,ML,0.05201592290220109
Cr-Cu,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Dy,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Er,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Fe,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Ge,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Hf,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Ir,-0.06038022993089477,ML,0.06804399586872885,0.019896282550094242,DFT,
Cr-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Mg,0.0343105524392187,DFT,,-0.058182820511815565,ML,0.05201592290220109
Cr-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Ni,0.04518703618630007,DFT,,-0.058182820511815565,ML,0.05201592290220109
Cr-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Pd,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Pt,-0.06038022993089477,ML,0.06804399586872885,0.033042350913476626,DFT,
Cr-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Rh,-0.06038022993089477,ML,0.06804399586872885,0.01890896076381826,DFT,
Cr-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Sc,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Ti,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-V,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Y,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Zn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cr-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Dy,-0.053128587368162436,DFT,,-0.058182820511815565,ML,0.05201592290220109
Cu-Er,-0.05319152073230016,DFT,,-0.058182820511815565,ML,0.05201592290220109
Cu-Fe,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Ge,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Hf,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Ir,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Mg,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Pd,0.012743228523070279,DFT,,-0.00037721616966256664,DFT,
Cu-Pt,-0.06038022993089477,ML,0.06804399586872885,0.0005591853928547767,DFT,
Cu-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Rh,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Sc,-0.07252588682256968,DFT,,-0.058182820511815565,ML,0.05201592290220109
Cu-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Tb,-0.05014127075411266,DFT,,-0.058182820511815565,ML,0.05201592290220109
Cu-Ti,-0.015403881601999937,DFT,,-0.058182820511815565,ML,0.05201592290220109
Cu-V,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Cu-Y,-0.07572911276887946,DFT,,-0.058182820511815565,ML,0.05201592290220109
Cu-Zn,-0.060462816571076244,DFT,,-0.058182820511815565,ML,0.05201592290220109
Cu-Zr,-0.013924225329404353,DFT,,-0.058182820511815565,ML,0.05201592290220109
Dy-Er,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Fe,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Ge,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Hf,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Ir,-0.06038022993089477,ML,0.06804399586872885,-0.10337134964442005,DFT,
Dy-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Mg,-0.012004665213105569,DFT,,-0.058182820511815565,ML,0.05201592290220109
Dy-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.069976692356711,DFT,
Dy-Pd,-0.07643149410062322,DFT,,-0.09352495627918195,DFT,
Dy-Pt,-0.06038022993089477,ML,0.06804399586872885,-0.10440575464211488,DFT,
Dy-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Rh,-0.12377866315741382,DFT,,-0.058182820511815565,ML,0.05201592290220109
Dy-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Sc,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.08414603848425437,DFT,
Dy-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Ti,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-V,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Y,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Dy-Zn,-0.039650615042909676,DFT,,-0.058182820511815565,ML,0.05201592290220109
Dy-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Fe,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Ge,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Hf,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Ir,-0.1386194228992621,DFT,,-0.058182820511815565,ML,0.05201592290220109
Er-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Mg,-0.01401558673748872,DFT,,-0.058182820511815565,ML,0.05201592290220109
Er-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.06853168998213391,DFT,
Er-Pd,-0.08312271607870524,DFT,,-0.09593001792764869,DFT,
Er-Pt,-0.06038022993089477,ML,0.06804399586872885,-0.10714553744197251,DFT,
Er-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Rh,-0.13210483095149925,DFT,,-0.058182820511815565,ML,0.05201592290220109
Er-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Sc,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.08461391951954408,DFT,
Er-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Ti,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-V,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Y,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Er-Zn,-0.04895255289720212,DFT,,-0.058182820511815565,ML,0.05201592290220109
Er-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Ge,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Hf,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Ir,-0.06038022993089477,ML,0.06804399586872885,0.01471546953473713,DFT,
Fe-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Mg,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.010414293169110191,DFT,
Fe-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Pd,-0.06038022993089477,ML,0.06804399586872885,0.04318143682635117,DFT,
Fe-Pt,-0.06038022993089477,ML,0.06804399586872885,0.04762966414555246,DFT,
Fe-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Rh,0.054487352650539056,DFT,,-0.058182820511815565,ML,0.05201592290220109
Fe-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Sc,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.11546740228529284,DFT,
Fe-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Ti,-0.1371871547434364,DFT,,-0.058182820511815565,ML,0.05201592290220109
Fe-V,-0.046386111865126395,DFT,,-0.058182820511815565,ML,0.05201592290220109
Fe-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Y,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Zn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Fe-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Hf,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Ir,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Mg,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.19742599330225974,DFT,
Ge-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.09189427424857373,DFT,
Ge-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.17502683816489087,DFT,
Ge-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Pd,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Pt,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Rh,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Sc,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Ti,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-V,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Y,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Zn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ge-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Ir,-0.03998428971979893,DFT,,-0.04736862304351773,DFT,
Hf-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Mg,-0.07118019573241852,DFT,,-0.058182820511815565,ML,0.05201592290220109
Hf-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Os,-0.054548678369834895,DFT,,-0.058182820511815565,ML,0.05201592290220109
Hf-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Pd,-0.01887983382598414,DFT,,-0.058182820511815565,ML,0.05201592290220109
Hf-Pt,-0.015992825746184217,DFT,,-0.058182820511815565,ML,0.05201592290220109
Hf-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Rh,-0.041402691596552854,DFT,,-0.05027716601713991,DFT,
Hf-Ru,-0.05746457478149689,DFT,,-0.058182820511815565,ML,0.05201592290220109
Hf-Sc,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Ti,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-V,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Y,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Hf-Zn,-0.052972212009571015,DFT,,-0.058182820511815565,ML,0.05201592290220109
Hf-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-La,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Mg,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.0067174820533266524,DFT,
Ir-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Pd,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Pt,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Rh,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Sc,-0.14707355456050897,DFT,,-0.09831520923121592,DFT,
Ir-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.008157103830164193,DFT,
Ir-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Ti,-0.046856792463782757,DFT,,-0.043140784736288955,DFT,
Ir-V,-0.06038022993089477,ML,0.06804399586872885,-0.010319773789660945,DFT,
Ir-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Y,-0.15017959205331607,DFT,,-0.058182820511815565,ML,0.05201592290220109
Ir-Zn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ir-Zr,-0.02672836607283577,DFT,,-0.046665710417294046,DFT,
La-Mg,0.03219761746172854,DFT,,-0.058182820511815565,ML,0.05201592290220109
La-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.06991000916741365,DFT,
La-Pd,-0.06038022993089477,ML,0.06804399586872885,-0.08283383185310542,DFT,
La-Pt,-0.06038022993089477,ML,0.06804399586872885,-0.09184176252597039,DFT,
La-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Rh,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Sc,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Sn,-0.06038022993089477,ML,0.06804399586872885,-0.07307255265981569,DFT,
La-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Tb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Ti,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-V,0.018997676539547228,DFT,,-0.058182820511815565,ML,0.05201592290220109
La-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Y,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
La-Zn,0.009394344150360964,DFT,,-0.058182820511815565,ML,0.05201592290220109
La-Zr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Pd,-0.16559490754903378,DFT,,-0.09159940329407579,DFT,
Mg-Pt,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Rh,-0.19374866711765715,DFT,,-0.058182820511815565,ML,0.05201592290220109
Mg-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Sc,-0.041719530783363455,DFT,,-0.058182820511815565,ML,0.05201592290220109
Mg-Si,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Sn,-0.04600457593114017,DFT,,-0.058182820511815565,ML,0.05201592290220109
Mg-Ta,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Tb,-0.010886653177510978,DFT,,-0.058182820511815565,ML,0.05201592290220109
Mg-Ti,-0.0782051470241114,DFT,,-0.058182820511815565,ML,0.05201592290220109
Mg-V,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-W,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mg-Y,-0.022637884875808915,DFT,,-0.058182820511815565,ML,0.05201592290220109
Mg-Zn,-0.08641425228716285,DFT,,-0.058182820511815565,ML,0.05201592290220109
Mg-Zr,-0.06029570970929603,DFT,,-0.058182820511815565,ML,0.05201592290220109
Mn-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mn-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Mn-Ni,0.06258875074540422,DFT,,-0.007213428714551145,DFT,
