composition,phase,struct,is_ss,delta_r,delta_sf_combined,delta_sf_b2,delta_sf_l12,omega_yz,S_mix,VEC,ref
Al-Co-Cr-Fe-Ni,IM,BCC+B2,0,5.125576931164959,0.04572495631041808,0.054416172298101737,0.03381395609791049,1.9267721509427373,13.373793453392569,7.285714285714285,Wang2009_Al09
Al-Co-Cr-Fe-Ni,IM,BCC+B2,0,5.272566984476465,0.04697390451313624,0.05592520151036604,0.034482981586006684,1.829008092361806,13.380866803977112,7.200000000000001,Wang2009_Al10
Al-Co-Cr-Fe-Ni,IM,BCC+B2,0,5.779234328841574,0.05142113327299706,0.0612977536418993,0.03685943746462561,1.4995240684520519,13.25390193646719,6.818181818181818,Wang2009_Al15
Al-Co-Cr-Fe-Ni,IM,BCC+B2,0,6.050841601245412,0.053956348269294976,0.06436287734702488,0.03817703512770079,1.3096635488333546,12.975746340770256,6.500000000000001,Wang2009_Al20
Co-Cr-Cu-Fe-Ni-Ti,IM,FCC+Laves,0,4.4923437249596185,0.02564581869595237,0.029560418611374435,0.023649703834333118,7.084199431358385,14.697168880613486,8.363636363636363,Zhou2007_Ti05
Co-Cr-Cu-Fe-Ni-Ti,IM,FCC+Laves,0,5.667804288576069,0.03036286531808748,0.03468454878840684,0.027009937457017314,3.1712305108849304,14.896688227162048,8.000000000000002,Zhou2007_Ti10
Cr-Nb-Ti-Zr,IM,BCC+Laves,0,7.75125011487461,0.017250618120335643,0.022259478904122915,0.016054305348790633,5.185966810691928,11.52565131835077,4.75,Senkov2013_CrNbTiZr
Cr-Nb-Ti-V-Zr,IM,BCC+Laves,0,7.653736785389068,0.01818597250844384,0.023206327321509682,0.01558764696236936,6.449347094916898,13.380866803977112,4.8,Senkov2013_CrNbTiVZr
Al-Co-Cr-Ni,IM,BCC+B2+FCC,0,5.799546205757654,0.04540258874637686,0.052490833076634574,0.03627173958415645,1.2285972510158103,11.52565131835077,7.0,Zhang2008_AlCoCrNi
Al-Co-Cu-Ni-Zn,IM,BCC+FCC+IM,0,5.817767151771457,0.043860469511031897,0.04972227624549317,0.03493934195143126,2.4085560247158795,13.380866803977112,9.0,Guo2011_CuNiCoZnAl
Be-Cu-Hf-Ni-Ti-Zr,IM,BCC+IM,0,12.806986835365128,0.01964210331233169,0.021492314080748937,0.01477376200875263,0.8797670452472911,14.896688227162048,5.833333333333333,Guo2011_TiZrHfCuNiBe
Co-Cr-Fe-Mo-Ni,IM,FCC+sigma,0,3.5827196564102595,0.01797734651844806,0.020206667593667325,0.022369350067063455,6.006092833474083,13.145213438928542,8.0,Shun2012_Mo05
Co-Cr-Fe-Mo-Ni,IM,FCC+sigma+mu,0,4.211247541843993,0.017569283759605606,0.019540998632123902,0.022901302604570933,5.992968723669706,13.364434112303435,7.855670103092782,Shun2012_Mo085
Co-Cr-Fe-Nb-Ni,IM,FCC+Laves,0,5.162458767226831,0.017371411983499247,0.019947221584913886,0.02199760325221812,2.4269350311621825,13.145213438928542,7.888888888888888,He2014_Nb05
Co-Cr-Fe-Nb-Ni,IM,FCC+Laves,0,6.397972758349045,0.016371299956661776,0.018831975868725655,0.022461900788809757,1.8411281380687323,13.380866803977112,7.6,He2014_Nb10
Be-Cu-Ni-Ti-Zr,AM,AM,0,12.518128527847525,0.0216486124241191,0.023433466468358352,0.016548882243885517,0.7712582949514584,13.380866803977112,6.2,Guo2011_AM1
Cu-Hf-Ni-Ti-Zr,AM,AM,0,10.352502799364242,0.017913529131733573,0.018055427638625585,0.017728514410503157,0.9449748113539681,13.380866803977112,6.6,Guo2011_AM2
Be-Cu-Fe-Ni-Ti-Zr,AM,AM,0,11.670108138070482,0.031249334839706832,0.03452746983170538,0.019472802330741962,1.0691082291757343,14.896688227162048,6.5,Guo2011_AM3
Al-Dy-Er-Ni-Tb,AM,AM,0,13.761112998799652,0.09972435805299698,0.026830060610244552,0.13966669209078644,0.5353035037784464,13.380866803977112,4.4,Guo2011_AM4
Ca-Cu-Mg-Ni-Zn,AM,AM,0,17.96930534567894,0.08618888536510544,0.08701787924321236,0.08123635774651665,1.2011805894866487,13.380866803977112,7.4,Guo2011_AM5
Cu-Pd-Sn-Ti-Zr,AM,AM,0,9.974842856765697,0.032858435993777566,0.034539688894566586,0.03443721243882699,0.4214104155797986,13.380866803977112,6.6000000000000005,Takeuchi2013_AM6
