MACE-MP-0 small, float64, CPU; FrechetCellFilter hydrostatic_strain=False; FIRE fmax=0.01 eV/A, max 500 steps
Loading MACE-MP-0 small (the model is cached by mace-torch).
Relaxing seven pure BCC references.
HfNbTaTiZr      seed=1 converged=True steps=479 volume=2522.764032 a=3.403289 energy=-1230.373351 elapsed=269.1s
HfNbTaTiZr      seed=2 converged=True steps=484 volume=2522.468230 a=3.403156 energy=-1229.842526 elapsed=272.4s
AlNbTiV         seed=0 converged=False steps=500 volume=2085.096737 a=3.193857 energy=-999.713643 elapsed=323.0s
AlNbTiV         seed=1 converged=False steps=500 volume=2126.807041 a=3.215013 energy=-994.177757 elapsed=320.8s
AlNbTiV         seed=2 converged=False steps=500 volume=2121.341862 a=3.212257 energy=-991.914880 elapsed=332.7s
Wrote 58 relaxation rows to /home/ubuntu/repos/machine-learning/mlip_bader/relax_results.csv.
Total relaxation wall time: 13582.3 s (3.77 h).
Extending nine unconverged Al-containing mixed cells by up to 1500 FIRE steps.
Al-Nb           seed=0 extension_converged=True extension_steps= 492 total_steps= 992 volume=2211.250691 a=3.257012 fmax=0.001160552493 elapsed=359.6s
Al-Nb           seed=1 extension_converged=True extension_steps= 556 total_steps=1056 volume=2215.981889 a=3.259333 fmax=0.003602444971 elapsed=392.8s
Al-Nb           seed=2 extension_converged=True extension_steps= 530 total_steps=1030 volume=2210.931433 a=3.256855 fmax=0.009164213102 elapsed=344.8s
Al-Ti           seed=0 extension_converged=True extension_steps= 513 total_steps=1013 volume=2116.329603 a=3.209725 fmax=0.002489563117 elapsed=313.8s
Al-Ti           seed=1 extension_converged=True extension_steps= 596 total_steps=1096 volume=2141.866293 a=3.222583 fmax=0.001429108324 elapsed=368.6s
Al-Ti           seed=2 extension_converged=True extension_steps= 237 total_steps= 737 volume=2117.221191 a=3.210175 fmax=0.000810871892 elapsed=155.9s
Al-V            seed=0 extension_converged=True extension_steps= 248 total_steps= 748 volume=1856.661049 a=3.072682 fmax=0.006046555920 elapsed=173.2s
Al-V            seed=1 extension_converged=True extension_steps= 248 total_steps= 748 volume=1862.681335 a=3.075999 fmax=0.004776282910 elapsed=175.5s
Al-V            seed=2 extension_converged=True extension_steps= 174 total_steps= 674 volume=1856.070284 a=3.072356 fmax=0.001248368587 elapsed=124.4s
Corrected a_bcc_A=(2*V/N)^(1/3) and added fmax_final for all rows.
Total relaxation wall time including 9-cell extension: 16490.9 s (4.58 h).
