label,seed,atom_index,element,V_vor_A3
Al-Ti,0,54,Ti,16.51380439892793
Al-Ti,0,55,Al,16.631877220341543
Al-Ti,0,56,Ti,16.56078237531744
Al-Ti,0,57,Ti,16.339937109672917
Al-Ti,0,58,Al,16.49564592688365
Al-Ti,0,59,Ti,16.311215468399126
Al-Ti,0,60,Ti,16.513298359739544
Al-Ti,0,61,Al,16.17653676969146
Al-Ti,0,62,Al,16.603826452685116
Al-Ti,0,63,Ti,16.708295396465115
Al-Ti,0,64,Al,16.642822103193716
Al-Ti,0,65,Al,16.669352525554828
Al-Ti,0,66,Al,16.487258751921313
Al-Ti,0,67,Al,16.325731376401375
Al-Ti,0,68,Al,16.776882009119017
Al-Ti,0,69,Ti,16.35752742764732
Al-Ti,0,70,Ti,16.638305112647377
Al-Ti,0,71,Ti,16.521629567145666
Al-Ti,0,72,Al,16.79748055725956
Al-Ti,0,73,Ti,16.605610024869627
Al-Ti,0,74,Al,16.5461110355377
Al-Ti,0,75,Al,16.23865010264601
Al-Ti,0,76,Ti,16.868001421596663
Al-Ti,0,77,Ti,16.557925567403377
Al-Ti,0,78,Ti,16.59916907694504
Al-Ti,0,79,Al,17.064817647617737
Al-Ti,0,80,Al,16.264221776850196
Al-Ti,0,81,Al,16.097190731565355
Al-Ti,0,82,Ti,16.201521402394384
Al-Ti,0,83,Al,16.47653452282152
Al-Ti,0,84,Al,16.330764659846363
Al-Ti,0,85,Ti,16.62891850995709
Al-Ti,0,86,Al,16.636259146892748
Al-Ti,0,87,Al,16.704085838845263
Al-Ti,0,88,Al,16.53252440548784
Al-Ti,0,89,Ti,16.600169209118555
Al-Ti,0,90,Ti,16.241540030493102
Al-Ti,0,91,Ti,16.90578174604913
Al-Ti,0,92,Al,16.381417756371544
Al-Ti,0,93,Al,16.539995255044996
Al-Ti,0,94,Al,16.615537884716943
Al-Ti,0,95,Ti,16.765602402930984
Al-Ti,0,96,Al,16.55400059837796
Al-Ti,0,97,Ti,16.40588688920599
Al-Ti,0,98,Ti,16.717890953651622
Al-Ti,0,99,Al,16.45474183291186
Al-Ti,0,100,Al,16.287946116144713
Al-Ti,0,101,Al,16.628308429188145
Al-Ti,0,102,Ti,16.633485930105735
Al-Ti,0,103,Al,16.79461000447132
Al-Ti,0,104,Ti,16.78247404447175
Al-Ti,0,105,Al,16.66442924750576
Al-Ti,0,106,Ti,16.261017407559066
Al-Ti,0,107,Ti,16.46000127535508
Al-Ti,0,108,Al,16.386033936394018
Al-Ti,0,109,Ti,16.61834252401216
Al-Ti,0,110,Ti,16.734571217724184
Al-Ti,0,111,Al,16.449980525569327
Al-Ti,0,112,Ti,16.905213265376048
Al-Ti,0,113,Ti,16.649614860196483
Al-Ti,0,114,Al,16.431519617903064
Al-Ti,0,115,Ti,16.66629137752814
Al-Ti,0,116,Ti,16.62315079263439
Al-Ti,0,117,Ti,16.608641029697075
Al-Ti,0,118,Ti,16.860578691778745
Al-Ti,0,119,Al,16.408486266566108
Al-Ti,0,120,Al,16.183976155834166
Al-Ti,0,121,Al,16.267963760458787
Al-Ti,0,122,Al,16.458623688403485
Al-Ti,0,123,Al,16.614665366694048
Al-Ti,0,124,Ti,16.591490577405658
Al-Ti,0,125,Al,16.198367296618606
Al-Ti,0,126,Ti,16.557304615801687
Al-Ti,0,127,Ti,16.63265314973987
Al-Ti,1,0,Ti,17.073043037231642
Al-Ti,1,1,Al,17.335044841503315
Al-Ti,1,2,Ti,17.193200152203506
Al-Ti,1,3,Al,16.909959762027594
Al-Ti,1,4,Ti,17.045234379333912
Al-Ti,1,5,Ti,17.146310030337307
Al-Ti,1,6,Ti,16.693009755620004
Al-Ti,1,7,Al,16.224537644414482
Al-Ti,1,8,Al,16.969002977992226
Al-Ti,1,9,Al,16.788776294320673
Al-Ti,1,10,Ti,16.531096236065842
Al-Ti,1,11,Ti,15.18160601043623
Al-Ti,1,12,Ti,16.103301067678284
Al-Ti,1,13,Ti,17.579126256722947
Al-Ti,1,14,Al,16.563106043845686
Al-Ti,1,15,Ti,16.068730851871315
Al-Ti,1,16,Al,16.88005247666685
Al-Ti,1,17,Ti,17.021596425095577
Al-Ti,1,18,Al,17.733297411036332
Al-Ti,1,19,Al,17.298981307668114
Al-Ti,1,20,Al,16.6285652725607
Al-Ti,1,21,Al,17.863148694610054
Al-Ti,1,22,Al,16.141761070150515
Al-Ti,1,23,Al,17.595724304241553
Al-Ti,1,24,Al,16.895186530722288
Al-Ti,1,25,Al,16.35441427109463
Al-Ti,1,26,Ti,17.09004967387874
Al-Ti,1,27,Al,16.578870082609686
Al-Ti,1,28,Al,15.796865097046432
Al-Ti,1,29,Al,16.85281960714407
Al-Ti,1,30,Ti,16.401602297301427
Al-Ti,1,31,Ti,16.45394996021323
Al-Ti,1,32,Ti,16.61688775717345
Al-Ti,1,33,Ti,16.691662721625764
Al-Ti,1,34,Al,16.457626704398724
Al-Ti,1,35,Ti,17.130722047486245
Al-Ti,1,36,Al,15.768029038437982
Al-Ti,1,37,Al,17.214610355697538
Al-Ti,1,38,Ti,17.704163897194288
Al-Ti,1,39,Al,16.254758335866814
Al-Ti,1,40,Al,17.172748307412572
Al-Ti,1,41,Ti,17.57756624654338
Al-Ti,1,42,Ti,16.432267158238727
Al-Ti,1,43,Ti,17.246011838165
Al-Ti,1,44,Al,16.50747162765094
Al-Ti,1,45,Al,16.26990793645489
Al-Ti,1,46,Al,17.306572471344506
Al-Ti,1,47,Al,16.621841648792504
Al-Ti,1,48,Ti,16.058547478426334
Al-Ti,1,49,Al,15.014561906998045
Al-Ti,1,50,Ti,17.622772746185802
Al-Ti,1,51,Ti,16.953875562774495
Al-Ti,1,52,Ti,15.534990880606026
Al-Ti,1,53,Al,16.9323235108468
Al-Ti,1,54,Ti,16.512677691349168
Al-Ti,1,55,Al,16.632214343486805
Al-Ti,1,56,Ti,17.709749396869714
Al-Ti,1,57,Ti,16.163016364624177
Al-Ti,1,58,Al,15.488451526559755
Al-Ti,1,59,Al,16.778293213357355
Al-Ti,1,60,Ti,16.368023951767046
Al-Ti,1,61,Al,17.058445095364963
Al-Ti,1,62,Al,17.014307262387153
Al-Ti,1,63,Al,16.49996785529654
Al-Ti,1,64,Ti,16.56478842294098
Al-Ti,1,65,Ti,16.214325307996926
Al-Ti,1,66,Al,15.989595919347956
Al-Ti,1,67,Ti,16.65182428990399
Al-Ti,1,68,Al,16.93946169300147
Al-Ti,1,69,Ti,16.53920120627449
Al-Ti,1,70,Al,15.990833030490386
Al-Ti,1,71,Ti,15.709515570406955
Al-Ti,1,72,Ti,16.700061747827313
Al-Ti,1,73,Ti,16.626687117835107
Al-Ti,1,74,Ti,16.380560444728022
Al-Ti,1,75,Al,16.2210446610478
Al-Ti,1,76,Ti,17.338240363903076
Al-Ti,1,77,Ti,16.949785687386427
Al-Ti,1,78,Ti,16.34218440584721
Al-Ti,1,79,Al,16.940908963492298
Al-Ti,1,80,Al,17.055142137526715
Al-Ti,1,81,Al,16.614072146427866
Al-Ti,1,82,Ti,16.253870726951735
Al-Ti,1,83,Al,17.105039142040702
Al-Ti,1,84,Ti,17.438918557621143
Al-Ti,1,85,Ti,16.295250886860988
Al-Ti,1,86,Ti,17.30644310260217
Al-Ti,1,87,Ti,16.97426269151532
Al-Ti,1,88,Al,16.88943257075607
Al-Ti,1,89,Al,16.856574640945638
Al-Ti,1,90,Al,18.29135142241379
Al-Ti,1,91,Ti,16.215361794705743
Al-Ti,1,92,Al,16.051709907561833
Al-Ti,1,93,Ti,16.77184043422188
Al-Ti,1,94,Al,16.061612548470162
Al-Ti,1,95,Al,16.95849362530662
Al-Ti,1,96,Al,17.40631227742742
Al-Ti,1,97,Ti,16.79991675958005
Al-Ti,1,98,Ti,17.43985826069138
Al-Ti,1,99,Ti,16.291410428062974
Al-Ti,1,100,Al,17.18901829764873
Al-Ti,1,101,Al,15.945847003315457
Al-Ti,1,102,Al,16.31618475468771
Al-Ti,1,103,Ti,17.75745911469267
Al-Ti,1,104,Al,16.500218279908925
