material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type,lattice_constant_calc
vasp-Al1Cu1,AlCu,Al,Cu,1.0,1.0,3.0008203631329526,-3.88576259,,VASP,B2,3.0008203631329526
vasp-Al1Fe1,AlFe,Al,Fe,1.0,1.0,2.8700803349495265,-6.31281239,,VASP,B2,2.8700803349495265
vasp-Al1Ga1,AlGa,Al,Ga,1.0,1.0,3.314784420394747,-3.26992552,,VASP,B2,3.314784420394747
vasp-Al1Gd1,AlGd,Al,Gd,1.0,1.0,3.643461472477475,-9.319892725,,VASP,B2,3.643461472477475
vasp-Al1Ge1,AlGe,Al,Ge,1.0,1.0,3.3142540595153096,-3.91188793,,VASP,B2,3.3142540595153096
vasp-Al1Hf1,AlHf,Al,Hf,1.0,1.0,3.350314829753942,-7.05321035,,VASP,B2,3.350314829753942
vasp-Al1In1,AlIn,Al,In,1.0,1.0,3.5754289409072504,-2.960461515,,VASP,B2,3.5754289409072504
vasp-Al1La1,AlLa,Al,La,1.0,1.0,3.8004196882268237,-4.673360215,,VASP,B2,3.8004196882268237
vasp-Al1Mg1,AlMg,Al,Mg,1.0,1.0,3.4021043893174383,-2.538205045,,VASP,B2,3.4021043893174383
vasp-Al1Mn1,AlMn,Al,Mn,1.0,1.0,2.911647707445484,-6.44761687,,VASP,B2,2.911647707445484
vasp-Al1Mo1,AlMo,Al,Mo,1.0,1.0,3.123223618855336,-7.263802355,,VASP,B2,3.123223618855336
vasp-Al1Na1,AlNa,Al,Na,1.0,1.0,3.607334734227196,-2.20516695,,VASP,B2,3.607334734227196
vasp-Al1Nb1,AlNb,Al,Nb,1.0,1.0,3.23758485413768,-6.938725265,,VASP,B2,3.23758485413768
vasp-Al1Ni1,AlNi,Al,Ni,1.0,1.0,2.894116725457751,-5.28613746,,VASP,B2,2.894116725457751
vasp-Al1Pd1,AlPd,Al,Pd,1.0,1.0,3.078064553221627,-5.37119942,,VASP,B2,3.078064553221627
vasp-Al1Ru1,AlRu,Al,Ru,1.0,1.0,3.005368089313447,-7.134592965,,VASP,B2,3.005368089313447
vasp-Al1Sb1,AlSb,Al,Sb,1.0,1.0,3.5646834318559693,-3.659472595,,VASP,B2,3.5646834318559693
vasp-Al1Sc1,AlSc,Al,Sc,1.0,1.0,3.3816816262867455,-5.45381991,,VASP,B2,3.3816816262867455
vasp-Al1Se1,AlSe,Al,Se,1.0,1.0,3.361872075887248,-3.67383231,,VASP,B2,3.361872075887248
vasp-Al1Si1,AlSi,Al,Si,1.0,1.0,3.15757020169997,-4.281312325,,VASP,B2,3.15757020169997
vasp-Al1Sn1,AlSn,Al,Sn,1.0,1.0,3.567226141211986,-3.549892805,,VASP,B2,3.567226141211986
vasp-Al1Sr1,AlSr,Al,Sr,1.0,1.0,3.9452157401742936,-2.76817485,,VASP,B2,3.9452157401742936
vasp-Al1Ta1,AlTa,Al,Ta,1.0,1.0,3.221467859277218,-7.7136251,,VASP,B2,3.221467859277218
vasp-Al1Tc1,AlTc,Al,Tc,1.0,1.0,3.050191089613727,-7.30975958,,VASP,B2,3.050191089613727
vasp-Al1Ti1,AlTi,Al,Ti,1.0,1.0,3.184028842937786,-6.016139265,,VASP,B2,3.184028842937786
vasp-Al1V1,AlV,Al,V,1.0,1.0,3.086937921727577,-6.35146325,,VASP,B2,3.086937921727577
vasp-Al1W1,AlW,Al,W,1.0,1.0,3.1253487103725677,-8.055674675,,VASP,B2,3.1253487103725677
vasp-Al1Y1,AlY,Al,Y,1.0,1.0,3.6156238006214427,-5.51280512,,VASP,B2,3.6156238006214427
vasp-Al1Zn1,AlZn,Al,Zn,1.0,1.0,3.1839601373245046,-2.321384555,,VASP,B2,3.1839601373245046
vasp-Al1Zr1,AlZr,Al,Zr,1.0,1.0,3.379370576085408,-6.44801324,,VASP,B2,3.379370576085408
vasp-As1Ag1,AsAg,As,Ag,1.0,1.0,3.3576426960298007,-3.44019939,,VASP,B2,3.3576426960298007
vasp-As1Al1,AsAl,As,Al,1.0,1.0,3.2851923327670987,-4.013119615,,VASP,B2,3.2851923327670987
vasp-As1As1,AsAs,As,As,1.0,1.0,3.367183386217988,-4.21803701,,VASP,B2,3.367183386217988
vasp-As1B1,AsB,As,B,1.0,1.0,2.9425494272069246,-4.156799935,,VASP,B2,2.9425494272069246
vasp-As1Ca1,AsCa,As,Ca,1.0,1.0,3.6385579606437406,-4.119010365,,VASP,B2,3.6385579606437406
vasp-As1Cd1,AsCd,As,Cd,1.0,1.0,3.4986610638559514,-2.44797212,,VASP,B2,3.4986610638559514
vasp-As1Ce1,AsCe,As,Ce,1.0,1.0,3.6155824876102596,-6.424237015,,VASP,B2,3.6155824876102596
vasp-As1Co1,AsCo,As,Co,1.0,1.0,2.9699127746549623,-5.72656581,,VASP,B2,2.9699127746549623
vasp-As1Cr1,AsCr,As,Cr,1.0,1.0,2.9843213584866044,-6.9561784,,VASP,B2,2.9843213584866044
vasp-As1Cu1,AsCu,As,Cu,1.0,1.0,3.152650907189132,-3.930554465,,VASP,B2,3.152650907189132
vasp-As1Fe1,AsFe,As,Fe,1.0,1.0,2.9461324771638617,-6.329611525,,VASP,B2,2.9461324771638617
vasp-As1Ga1,AsGa,As,Ga,1.0,1.0,3.395445240993155,-3.572629965,,VASP,B2,3.395445240993155
vasp-As1Gd1,AsGd,As,Gd,1.0,1.0,3.607624304387354,-10.50694266,,VASP,B2,3.607624304387354
vasp-As1Ge1,AsGe,As,Ge,1.0,1.0,3.382811564797831,-4.20590641,,VASP,B2,3.382811564797831
vasp-As1Hf1,AsHf,As,Hf,1.0,1.0,3.325691266858836,-7.98056465,,VASP,B2,3.325691266858836
vasp-As1In1,AsIn,As,In,1.0,1.0,3.5940621272622626,-3.396613025,,VASP,B2,3.5940621272622626
vasp-As1La1,AsLa,As,La,1.0,1.0,3.7461018853266106,-5.996813175,,VASP,B2,3.7461018853266106
vasp-As1Mg1,AsMg,As,Mg,1.0,1.0,3.4001552370124655,-3.261358275,,VASP,B2,3.4001552370124655
vasp-As1Mn1,AsMn,As,Mn,1.0,1.0,2.9330873914023057,-6.755900125,,VASP,B2,2.9330873914023057
vasp-As1Mo1,AsMo,As,Mo,1.0,1.0,3.1180157528822283,-7.867630765,,VASP,B2,3.1180157528822283
