dir,status,volume_returncode,relax_returncode,static_returncode,energy_source,energy_eV,free_energy_TOTEN_eV,lattice_type,atoms_per_cubic_cell,natoms,volume_A3,a_lattice_A,a_bcc_A,cell_a_A,cell_b_A,cell_c_A,relax_converged,note,structure_root,case_dir
Ag12Mn4,OK,0,0,0,static_OUTCAR,-65.2858232000,-65.2858309000,bcc,2.0,16,277.23225467,3.26025265,3.26025265,6.52050530,6.52050530,6.52050530,yes,CLEANED:0,BCC_SQS,Ag12Mn4
Ag12Mo4,OK,0,0,0,static_OUTCAR,-70.7787750900,-70.7783613500,bcc,2.0,16,273.64983351,3.24614863,3.24614863,6.49229725,6.49229725,6.49229725,yes,CLEANED:0,BCC_SQS,Ag12Mo4
Ag12Nb4,OK,0,0,0,static_OUTCAR,-69.0893026600,-69.0897819500,bcc,2.0,16,287.33842696,3.29939699,3.29939699,6.59879399,6.59879399,6.59879399,yes,CLEANED:0,BCC_SQS,Ag12Nb4
Ag12Ni4,OK,0,0,0,static_OUTCAR,-51.7101168500,-51.7093859700,bcc,2.0,16,258.07100093,3.18334034,3.18334034,6.36668068,6.36668068,6.36668068,yes,CLEANED:0,BCC_SQS,Ag12Ni4
Ag12Os4,OK,0,0,0,static_OUTCAR,-70.1028141100,-70.1020314300,bcc,2.0,16,266.21599804,3.21648394,3.21648394,6.43296789,6.43296789,6.43296789,yes,CLEANED:0,BCC_SQS,Ag12Os4
Ag12Pb4,OK,0,0,0,static_OUTCAR,-45.3297102100,-45.3298996900,bcc,2.0,16,339.48552896,3.48800495,3.48800495,6.97600991,6.97600991,6.97600991,yes,CLEANED:0,BCC_SQS,Ag12Pb4
Ag12Pd4,OK,0,0,0,static_OUTCAR,-53.5779639300,-53.5796163300,bcc,2.0,16,275.83944774,3.25478368,3.25478368,6.50956735,6.50956735,6.50956735,yes,CLEANED:0,BCC_SQS,Ag12Pd4
Ag12Pt4,OK,0,0,0,static_OUTCAR,-56.1957622600,-56.1953307600,bcc,2.0,16,275.10673084,3.25189921,3.25189921,6.50379842,6.50379842,6.50379842,yes,CLEANED:0,BCC_SQS,Ag12Pt4
Ag12Re4,OK,0,0,0,static_OUTCAR,-75.0262640700,-75.0256125800,bcc,2.0,16,267.29129542,3.22080879,3.22080879,6.44161758,6.44161758,6.44161758,yes,CLEANED:0,BCC_SQS,Ag12Re4
Ag12Rh4,OK,0,0,0,static_OUTCAR,-58.5970200900,-58.5945397300,bcc,2.0,16,269.35139530,3.22906223,3.22906223,6.45812445,6.45812445,6.45812445,yes,CLEANED:0,BCC_SQS,Ag12Rh4
