material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type,lattice_constant_calc
mp-1948,LaAg,La,Ag,1.0,1.0,3.8079889700000003,-25.82781645,0.0,MP,B2,3.807770123151447
mp-1236,NdAg,Nd,Ag,1.0,1.0,3.733872159999999,-25.666263935,0.0,MP,B2,3.7353379282766372
mp-183,CeCd,Ce,Cd,1.0,1.0,3.850494,-25.639444321250004,0.08205001624999701,MP,B2,3.822077444167872
mp-1002226,ErAs,Er,As,1.0,1.0,3.547401,-25.607561915,0.490369644999997,MP,B2,3.553736547274019
mp-12753,GdAl,Gd,Al,1.0,1.0,3.62796413,-25.435769435,0.059707795999997,MP,B2,3.5686880044776546
mp-11516,NbRu,Nb,Ru,1.0,1.0,3.186487999999999,-25.288474488333332,0.024435130000000003,MP,B2,3.17829142702879
mp-646,PrCd,Pr,Cd,1.0,1.0,3.87492905,-25.11611969,0.0,MP,B2,3.867207157131022
mp-1001917,HoAs,Ho,As,1.0,1.0,3.56089,-25.111231545,0.48182539,MP,B2,3.5655638016667464
mp-1625,SnSb,Sn,Sb,1.0,1.0,3.803308,-25.0890788,0.137170954999998,MP,B2,3.7530791452455676
mp-214,ZrRu,Zr,Ru,1.0,1.0,3.26200472,-24.82603288,0.0,MP,B2,3.2469769203613086
mp-1010161,DyAs,Dy,As,1.0,1.0,3.576506,-24.67895332,0.47629319500000006,MP,B2,3.5909933713930373
mp-2808,ZrRh,Zr,Rh,1.0,1.0,3.28272273,-24.244361295,0.08393397999999701,MP,B2,3.2554285106923238
mp-10148,InSb,In,Sb,1.0,1.0,3.807652,-24.154523955000002,0.22595077499999702,MP,B2,3.681175061718907
mp-1094874,ZrSn,Zr,Sn,1.0,1.0,3.580086,-24.058169162083335,0.29196223458333304,MP,B2,3.6738448137942394
mp-998897,YSb,Y,Sb,1.0,1.0,3.804791,-24.04516667,0.35114656000000005,MP,B2,3.8585099014289286
