material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,lattice_constant_calc
oqmd-304631,AsAu,B2,As,Au,1,1,3.345245,0.2897829775,0.3196229350000001,OQMD,3.3241703469955888
oqmd-306137,MnSb,B2,Mn,Sb,1,1,3.368621,0.290121300603449,0.32743456750000016,OQMD,3.3000563590236522
oqmd-305305,SbIr,B2,Ir,Sb,1,1,3.323791,0.2902315275,0.5755035781249994,OQMD,3.2464764625086415
oqmd-306953,PmZr,B2,Pm,Zr,1,1,3.792919,0.29028433875,0.2903702912500001,OQMD,3.8205928472253934
oqmd-307474,SmZr,B2,Sm,Zr,1,1,3.772977,0.29028807125,0.2903740237500001,OQMD,3.806272915617808
oqmd-307293,NdPu,B2,Nd,Pu,1,1,3.957585,0.291435832499999,0.291435832499999,OQMD,3.841867923748306
oqmd-307083,CoAu,B2,Au,Co,1,1,3.071978,0.29176424,0.3002097899999998,OQMD,2.9766046870132516
oqmd-306980,HgSb,B2,Hg,Sb,1,1,3.740714,0.292126645016866,0.29213637710019946,OQMD,3.6417975961313562
oqmd-305215,PuB,B2,B,Pu,1,1,3.112386,0.29233769,0.6038292228125,OQMD,3.089906999999531
oqmd-307580,TmTi,B2,Ti,Tm,1,1,3.592997,0.292604098106868,0.292604098106868,OQMD,3.5596767151201343
oqmd-307130,UPa,B2,Pa,U,1,1,3.552458,0.292885032499999,0.292885032499999,OQMD,3.7398567587749003
oqmd-306539,CuPb,B2,Cu,Pb,1,1,3.48104,0.29296333,0.29296333,OQMD,3.4277986842353343
oqmd-307416,ReTc,B2,Re,Tc,1,1,3.0956,0.293322914999999,0.2946509099999988,OQMD,2.919061929409524
oqmd-304672,CaSc,B2,Ca,Sc,1,1,3.963458,0.2936662425,0.2936662425,OQMD,3.790296061983886
oqmd-307627,SrGd,B2,Gd,Sr,1,1,4.317952,0.29371101125,0.29371101125,OQMD,4.1728758964644275
oqmd-307444,PaNb,B2,Nb,Pa,1,1,3.540861,0.294067539999999,0.294067539999999,OQMD,3.538716781033157
oqmd-306945,NbIn,B2,In,Nb,1,1,3.4011,0.29492623,0.3145645104999999,OQMD,3.4575927639927886
oqmd-305658,SrY,B2,Sr,Y,1,1,4.307201,0.2954993575,0.2954993575,OQMD,4.1639517933535455
oqmd-306478,GeSb,B2,Ge,Sb,1,1,3.588451,0.296197325,0.29620705708333345,OQMD,3.4824651829476863
oqmd-306986,NdZr,B2,Nd,Zr,1,1,3.796703,0.2964866275,0.2965725800000001,OQMD,3.8426918472254035
oqmd-305591,BeAl,B2,Al,Be,1,1,2.911784,0.297272195,0.297272195,OQMD,2.956243633415336
oqmd-307117,ErTi,B2,Er,Ti,1,1,3.596835,0.297329883106869,0.297329883106869,OQMD,3.56821357771796
oqmd-305859,PrPu,B2,Pr,Pu,1,1,3.997298,0.297526736249999,0.297526736249999,OQMD,3.8658276908697204
oqmd-305714,ZrPa,B2,Pa,Zr,1,1,3.659036,0.297566040000001,0.2976519925000011,OQMD,3.6811933972658175
oqmd-304932,CuSb,B2,Cu,Sb,1,1,3.366971,0.2984572175,0.2984669495833334,OQMD,3.3209819562319574
oqmd-306108,PrMn,B2,Mn,Pr,1,1,3.648505,0.29868258435345,0.29868258435345,OQMD,3.6059029738934956
oqmd-307400,UMn,B2,Mn,U,1,1,3.238495,0.299055865603451,0.338613910000001,OQMD,3.3113112251713024
oqmd-306749,PmFe,B2,Fe,Pm,1,1,3.49589,0.299347033749999,0.299347033749999,OQMD,3.526126849105204
oqmd-306274,BaNd,B2,Ba,Nd,1,1,4.480842,0.2999312975,0.2999312975,OQMD,4.344635426435614
oqmd-305950,YbCo,B2,Co,Yb,1,1,3.274901,0.300235045,0.3596230550000001,OQMD,3.3360639999994754
oqmd-306721,TaSn,B2,Sn,Ta,1,1,3.408557,0.301357611574399,0.37888047398855784,OQMD,3.3815323298722073
oqmd-305106,ScCr,B2,Cr,Sc,1,1,3.294586,0.301746317499999,0.301746317499999,OQMD,3.3059557693983894
oqmd-306548,NiAg,B2,Ag,Ni,1,1,3.050897,0.30207201625,0.3026437712500002,OQMD,3.048731691704866
oqmd-307631,PrZr,B2,Pr,Zr,1,1,3.816186,0.30232749625,0.3024134487500001,OQMD,3.8666516143468184
oqmd-305648,MgMn,B2,Mg,Mn,1,1,3.222669,0.302338828520115,0.302338828520115,OQMD,3.210262226357142
oqmd-304622,HoTi,B2,Ho,Ti,1,1,3.606456,0.303028356440204,0.303028356440204,OQMD,3.586311197485569
oqmd-304954,YbRu,B2,Ru,Yb,1,1,3.3305,0.30317875,0.36507441749999964,OQMD,3.3360639999994754
oqmd-307726,NiPb,B2,Ni,Pb,1,1,3.335857,0.303531955,0.3041037100000002,OQMD,3.3584599999999227
oqmd-306886,CuIr,B2,Cu,Ir,1,1,2.974822,0.304110164999999,0.304110164999999,OQMD,2.9030763046222607
oqmd-306153,PuU,B2,Pu,U,1,1,3.421111,0.3043009075,0.3043009075,OQMD,3.6274045614274577
oqmd-304745,ReB,B2,B,Re,1,1,2.747538,0.304892282500001,0.6356940990000012,OQMD,2.568423006979176
oqmd-304871,ReGe,B2,Ge,Re,1,1,3.072071,0.305241150000001,0.3054264421417476,OQMD,3.133153840360772
oqmd-306935,CuSi,B2,Cu,Si,1,1,3.008842,0.305292697500001,0.3510762607590348,OQMD,3.0512760898807274
oqmd-305235,MnCd,B2,Cd,Mn,1,1,3.256117,0.30768336810345,0.30768336810345,OQMD,3.2502858790682345
oqmd-306311,CuBi,B2,Bi,Cu,1,1,3.492727,0.3086221625,0.3086221625,OQMD,3.4420886807480433
oqmd-306138,NbBi,B2,Bi,Nb,1,1,3.511847,0.309121032499999,0.309121032499999,OQMD,3.595603727040331
oqmd-305124,DyTi,B2,Dy,Ti,1,1,3.612057,0.309385529773533,0.30938552977353295,OQMD,3.5896778584326263
oqmd-307476,PuFe,B2,Fe,Pu,1,1,3.09319,0.309835779999998,0.309835779999998,OQMD,3.1663260623504375
oqmd-304490,CePu,B2,Ce,Pu,1,1,3.998526,0.30991597125,0.30991597125,OQMD,3.8870166987856782
oqmd-307733,SbAs,B2,As,Sb,1,1,3.575508,0.310090665,0.32119857499999976,OQMD,3.485043898513626
oqmd-307364,ThB,B2,B,Th,1,1,3.33071,0.31053721,0.6987602653125006,OQMD,3.541033336633428
oqmd-307298,PuZr,B2,Pu,Zr,1,1,3.530625,0.313068760000002,0.3131547125000021,OQMD,3.568741199918375
oqmd-306496,PaHg,B2,Hg,Pa,1,1,3.747396,0.314637307516866,0.314637307516866,OQMD,3.706017374640268
oqmd-307006,SrDy,B2,Dy,Sr,1,1,4.294585,0.314846271666665,0.314846271666665,OQMD,4.1488640405597605
oqmd-306505,BaPm,B2,Ba,Pm,1,1,4.464204,0.31490737875,0.31490737875,OQMD,4.322536426435604
