directory,type,element_A,element_B,lattice_constant_A,energy_per_atom,magnetization
Al1Pb1,B2,Al,Pb,3.6982648107062155,-3.3689776,-5.5e-06
Al1Pd1,B2,Al,Pd,3.078064553221627,-5.3711995,6.8e-06
Al1Pt1,B2,Al,Pt,3.0897734667720416,-5.848447,1.6e-06
Al1Re1,B2,Al,Re,3.062972145445526,-8.0622875,-9.1e-06
Al1Rh1,B2,Al,Rh,3.0016412273451296,-6.5790765,1e-07
Al1Ru1,B2,Al,Ru,3.005368089313447,-7.134593,-7e-07
Al1Sb1,B2,Al,Sb,3.5646834318559693,-3.6594726,-2.9e-06
Al1Sc1,B2,Al,Sc,3.3816816262867455,-5.45382,7e-06
Al1Se1,B2,Al,Se,3.361872075887248,-3.6738323,-4e-06
Al1Si1,B2,Al,Si,3.15757020169997,-4.2813123,-1.38e-05
Al1Sn1,B2,Al,Sn,3.567226141211986,-3.5498928,5.3e-06
Al1Sr1,B2,Al,Sr,3.9452157401742936,-2.76817485,1.5e-06
Al1Ta1,B2,Al,Ta,3.221467859277218,-7.713625,3.91e-05
Al1Tb1,B2,Al,Tb,3.6128758401079546,-4.5518143,-2.9e-06
Al1Tc1,B2,Al,Tc,3.050191089613727,-7.3097595,0.4622114
Al1Ti1,B2,Al,Ti,3.184028842937786,-6.0161395,1.23e-05
Al1V1,B2,Al,V,3.086937921727577,-6.351463,1.7789866
Al1W1,B2,Al,W,3.1253487103725677,-8.0556745,0.0058244
Al1Y1,B2,Al,Y,3.6156238006214427,-5.512805,-3.3e-06
Al1Zn1,B2,Al,Zn,3.1839601373245046,-2.32138455,-9e-07
Al1Zr1,B2,Al,Zr,3.379370576085408,-6.448013,9.98e-05
As1Ag1,B2,As,Ag,3.3576426960298007,-3.4401994,-1e-07
As1Al1,B2,As,Al,3.2851923327670987,-4.0131196,1.4e-06
As1As1,B2,As,As,3.367183386217988,-4.218037,3.48e-05
As1B1,B2,As,B,2.9425494272069246,-4.15679995,-1.32e-05
As1Ca1,B2,As,Ca,3.6385579606437406,-4.11901035,8.5e-06
As1Cd1,B2,As,Cd,3.4986610638559514,-2.4479721,-5.6e-06
As1Ce1,B2,As,Ce,3.6155824876102596,-6.424237,0.8969969
As1Co1,B2,As,Co,2.9699127746549623,-5.726566,-0.0046133
As1Cr1,B2,As,Cr,2.9843213584866044,-6.9561785,0.0030478
As1Cu1,B2,As,Cu,3.152650907189132,-3.93055445,1e-07
As1Fe1,B2,As,Fe,2.9461324771638617,-6.3296115,0.8929348
As1Ga1,B2,As,Ga,3.395445240993155,-3.57262995,-1.8e-06
As1Gd1,B2,As,Gd,3.607624304387354,-10.5069425,6.9932322
As1Ge1,B2,As,Ge,3.382811564797831,-4.2059064,-3.2e-06
As1Hf1,B2,As,Hf,3.325691266858836,-7.9805645,2.4e-06
As1In1,B2,As,In,3.5940621272622626,-3.396613,1.9e-06
As1La1,B2,As,La,3.7461018853266106,-5.996813,-5.2e-06
As1Mg1,B2,As,Mg,3.4001552370124655,-3.2613583,1e-07
As1Mn1,B2,As,Mn,2.9330873914023057,-6.7559,-2.9e-06
As1Mo1,B2,As,Mo,3.1180157528822283,-7.867631,1.8e-06
As1Na1,B2,As,Na,3.467653426601207,-3.15228025,-3.6e-06
As1Nb1,B2,As,Nb,3.2256505308913512,-7.803152,1.3e-06
As1Ni1,B2,As,Ni,3.0328381639278987,-5.0863735,-1e-07
As1Pd1,B2,As,Pd,3.2004201569147526,-5.153185,-0.0
As1Ru1,B2,As,Ru,3.0860201810257353,-6.9420325,-2.5e-06
As1Sb1,B2,As,Sb,3.5603401735622846,-4.072087,6.8e-06
As1Sc1,B2,As,Sc,3.3900088285875665,-6.3767445,-1e-07
As1Se1,B2,As,Se,3.398067340290984,-3.67568405,-2.5e-06
As1Si1,B2,As,Si,3.223189015390729,-4.5075817,0.0
As1Sn1,B2,As,Sn,3.5790913424532933,-4.07907255,-3.97e-05
As1Sr1,B2,As,Sr,3.8373591689548823,-3.94962405,0.0050338
As1Ta1,B2,As,Ta,3.20881851722185,-8.5308555,4.7e-06
As1Tc1,B2,As,Tc,3.073044318302111,-7.5673115,-1.5e-06
As1Ti1,B2,As,Ti,3.1874289122932584,-6.8023925,7e-07
As1V1,B2,As,V,3.0616133788553035,-7.014349,-4.2e-06
As1W1,B2,As,W,3.1248342784822647,-8.5611565,2e-07
As1Y1,B2,As,Y,3.5773423105355366,-6.632171,-2e-07
As1Zn1,B2,As,Zn,3.286526411088024,-2.64639595,-2.2e-06
As1Zr1,B2,As,Zr,3.3579063532367934,-7.456072,-8e-07
Au1Ag1,B2,Au,Ag,3.300070325201221,-2.9866714,-1.6e-06
Au1Al1,B2,Au,Al,3.2168451374362323,-3.73937445,-8e-07
Au1Be1,B2,Au,Be,2.960750585241561,-3.6147629,-6.8e-06
Au1Ca1,B2,Au,Ca,3.647295282355961,-3.360123,-1.7e-06
Au1Co1,B2,Au,Co,3.0744503614223095,-4.83543645,1.6713046
Au1Cr1,B2,Au,Cr,3.2286565277726624,-6.118107,3.9376442
Au1Cu1,B2,Au,Cu,3.099691565385454,-3.52598785,-1.6e-06
Au1Dy1,B2,Au,Dy,3.5955257134906122,-4.75251895,-3.07e-05
Au1Er1,B2,Au,Er,3.5644717806110546,-4.75006365,1.1e-06
Au1Fe1,B2,Au,Fe,3.1261436106763028,-5.4925065,2.9285458
Au1Ge1,B2,Au,Ge,3.349663176768322,-3.74288625,1.8e-06
Au1Hf1,B2,Au,Hf,3.397836713692834,-7.005463,-9.2e-06
Au1Ir1,B2,Au,Ir,3.1846378717569137,-5.426661,-0.0007485
Au1La1,B2,Au,La,3.7828184224998336,-4.84091135,1.74e-05
Au1Mg1,B2,Au,Mg,3.3022670602634516,-2.9761982,3.5e-06
Au1Mn1,B2,Au,Mn,3.216021780245466,-6.116026,4.1601905
Au1Mo1,B2,Au,Mo,3.2303378216772236,-6.4842485,1e-06
Au1Nb1,B2,Au,Nb,3.3192525749746737,-6.5314505,1.1e-06
Au1Ni1,B2,Au,Ni,3.0557187628709657,-4.2490445,-0.2712272
Au1Os1,B2,Au,Os,3.16958601937347,-6.294403,-0.0
Au1Pb1,B2,Au,Pb,3.6565559469357707,-3.4124872,-1.6e-05
Au1Pd1,B2,Au,Pd,3.21694744474474,-4.28936945,3e-07
Au1Pt1,B2,Au,Pt,3.225373561884098,-4.5349994,1e-07
Au1Re1,B2,Au,Re,3.184848830168656,-6.946418,3e-07
