structure,element_A,element_B,selected_source,available_sources,n_entries,a_mean,a_cv,Omega_sf_King
B2,La,Os,OQMD,OQMD,1,3.563503,,-0.115234
B2,La,Pb,OQMD,OQMD,1,4.023469,,-0.034907
B2,La,Pd,OQMD,OQMD+VASP,1,3.671682,,-0.045971
B2,La,Pt,OQMD,OQMD,1,3.650857,,-0.068913
B2,La,Re,OQMD,OQMD,1,3.574604,,-0.119592
B2,La,Rh,OQMD,OQMD,1,3.586583,,-0.093981
B2,La,Ru,OQMD,OQMD+VASP,1,3.555975,,-0.113795
B2,La,Sc,OQMD,OQMD+VASP,1,3.924468,,-0.027552
B2,La,Sn,OQMD,OQMD+VASP,1,3.960487,,-0.032683
B2,La,Ta,OQMD,OQMD+VASP,1,3.681341,,-0.095891
B2,La,Tb,OQMD,OQMD,1,4.115487,,0.006454
B2,La,Ti,OQMD,OQMD+VASP,1,3.698405,,-0.077156
B2,La,V,MP,MP+OQMD+VASP,1,3.739359,,0.025391
B2,La,W,OQMD,OQMD+VASP,1,3.634448,,-0.094493
B2,La,Y,OQMD,OQMD+VASP,1,4.121893,,-0.002209
B2,La,Zn,MP,MP+OQMD+VASP,1,3.756222,,0.011882
B2,La,Zr,OQMD,OQMD+VASP,1,3.837619,,-0.065002
B2,Mg,Mn,OQMD,OQMD+VASP,1,3.222669,,-0.055872
B2,Mg,Mo,OQMD,OQMD+VASP,1,3.236726,,-0.126569
B2,Mg,Nb,OQMD,OQMD+VASP,1,3.354164,,-0.084484
B2,Mg,Ni,OQMD,OQMD+VASP,1,3.037608,,-0.180006
B2,Mg,Os,OQMD,OQMD,1,3.118402,,-0.185193
B2,Mg,Pb,OQMD,OQMD,1,3.73764,,-0.025137
B2,Mg,Pd,MP,MP+OQMD+VASP,1,3.155384,,-0.172294
B2,Mg,Pt,OQMD,OQMD,1,3.156268,,-0.179788
B2,Mg,Re,OQMD,OQMD,1,3.16746,,-0.162666
B2,Mg,Rh,MP,MP+OQMD,1,3.086851,,-0.204911
B2,Mg,Ru,OQMD,OQMD+VASP,1,3.125475,,-0.170588
B2,Mg,Sc,MP,MP+OQMD+VASP,1,3.596451,,-0.035433
B2,Mg,Sn,MP,MP+OQMD+VASP,1,3.623148,,-0.054306
B2,Mg,Ta,OQMD,OQMD+VASP,1,3.332215,,-0.103123
B2,Mg,Tb,MP,MP+OQMD,1,3.798866,,-0.009165
B2,Mg,Ti,MP,MP+OQMD+VASP,1,3.355945,,-0.075647
B2,Mg,V,OQMD,OQMD+VASP,1,3.333851,,-0.000262
B2,Mg,W,OQMD,OQMD+VASP,1,3.235592,,-0.133446
B2,Mg,Y,MP,MP+OQMD+VASP,1,3.808577,,-0.018017
B2,Mg,Zn,MP,MP+OQMD+VASP,1,3.262917,,-0.096443
B2,Mg,Zr,MP,MP+OQMD+VASP,1,3.52662,,-0.057143
B2,Mn,Mo,OQMD,OQMD+VASP,1,3.003059,,-0.025558
B2,Mn,Nb,OQMD,OQMD+VASP,1,3.063123,,-0.047952
B2,Mn,Ni,MP,MP+OQMD+VASP,1,2.928316,,0.084636
B2,Mn,Os,OQMD,OQMD,1,2.990836,,0.021626
B2,Mn,Pb,OQMD,OQMD,1,3.529321,,0.033637
B2,Mn,Pd,MP,MP+OQMD+VASP,1,3.110125,,0.117279
B2,Mn,Pt,OQMD,OQMD,1,3.115442,,0.107431
B2,Mn,Re,OQMD,OQMD,1,2.982521,,-0.01453
B2,Mn,Rh,MP,MP+OQMD,1,3.02749,,0.068751
B2,Mn,Ru,OQMD,OQMD+VASP,1,2.982573,,0.029138
B2,Mn,Sc,OQMD,OQMD+VASP,1,3.244234,,-0.08203
B2,Mn,Sn,MP,MP+OQMD+VASP,1,3.434117,,0.031482
B2,Mn,Ta,OQMD,OQMD+VASP,1,3.054315,,-0.057265
B2,Mn,Tb,OQMD,OQMD,1,3.538804,,0.000382
B2,Mn,Ti,OQMD,OQMD+VASP,1,2.968437,,-0.123992
B2,Mn,V,MP,MP+OQMD+VASP,1,2.855769,,-0.105401
B2,Mn,W,OQMD,OQMD+VASP,1,3.002517,,-0.035352
B2,Mn,Y,OQMD,OQMD+VASP,1,3.536482,,-0.022072
B2,Mn,Zn,MP,MP+OQMD+VASP,1,2.999169,,-0.016028
B2,Mn,Zr,OQMD,OQMD+VASP,1,3.197472,,-0.078858
B2,Mo,Nb,OQMD,OQMD+VASP,1,3.230982,,0.005006
B2,Mo,Ni,OQMD,OQMD+VASP,1,2.98128,,-0.000991
B2,Mo,Os,OQMD,OQMD,1,3.123675,,0.031082
B2,Mo,Pb,OQMD,OQMD,1,3.405832,,-0.139365
B2,Mo,Pd,OQMD,OQMD+VASP,1,3.153718,,0.035238
B2,Mo,Pt,OQMD,OQMD,1,3.170496,,0.038854
B2,Mo,Re,OQMD,OQMD,1,3.133551,,0.015639
B2,Mo,Rh,OQMD,OQMD,1,3.119438,,0.034697
B2,Mo,Ru,OQMD,OQMD+VASP,1,3.112746,,0.034506
B2,Mo,Sc,OQMD,OQMD+VASP,1,3.314502,,-0.102468
B2,Mo,Sn,OQMD,OQMD+VASP,1,3.322217,,-0.139982
B2,Mo,Ta,OQMD,OQMD+VASP,1,3.22758,,0.000761
B2,Mo,Tb,OQMD,OQMD,1,3.508312,,-0.094221
B2,Mo,Ti,OQMD,OQMD+VASP,1,3.159964,,-0.050511
B2,Mo,V,OQMD,OQMD+VASP,1,3.063131,,-0.022659
B2,Mo,W,OQMD,OQMD+VASP,1,3.172074,,0.015416
B2,Mo,Y,OQMD,OQMD+VASP,1,3.51421,,-0.107028
B2,Mo,Zn,OQMD,OQMD+VASP,1,3.08928,,-0.042449
B2,Mo,Zr,OQMD,OQMD+VASP,1,3.346933,,-0.035248
B2,Nb,Ni,OQMD,OQMD+VASP,1,3.07549,,0.005911
B2,Nb,Os,OQMD,OQMD,1,3.189163,,0.015059
B2,Nb,Pb,OQMD,OQMD,1,3.486991,,-0.122162
B2,Nb,Pd,OQMD,OQMD+VASP,1,3.229948,,0.030667
B2,Nb,Pt,OQMD,OQMD,1,3.245074,,0.033238
B2,Nb,Re,OQMD,OQMD,1,3.202327,,0.004574
B2,Nb,Rh,OQMD,OQMD,1,3.19284,,0.025732
B2,Nb,Ru,MP,MP+OQMD+VASP,1,3.186488,,0.025537
B2,Nb,Sc,OQMD,OQMD+VASP,1,3.409151,,-0.077803
B2,Nb,Sn,OQMD,OQMD+VASP,1,3.413309,,-0.116889
B2,Nb,Ta,OQMD,OQMD+VASP,1,3.315505,,0.012612
B2,Nb,Tb,OQMD,OQMD,1,3.59724,,-0.070289
B2,Nb,Ti,OQMD,OQMD+VASP,1,3.262874,,-0.024962
B2,Nb,V,OQMD,OQMD+VASP,1,3.161239,,-0.006615
B2,Nb,W,OQMD,OQMD+VASP,1,3.241652,,0.006985
B2,Nb,Y,OQMD,OQMD+VASP,1,3.611629,,-0.07621
B2,Nb,Zn,OQMD,OQMD+VASP,1,3.189855,,-0.021928
B2,Nb,Zr,OQMD,OQMD+VASP,1,3.436952,,-0.015937
B2,Ni,Os,OQMD,OQMD,1,2.920076,,-0.000761
B2,Ni,Pb,OQMD,OQMD,1,3.335857,,-0.100353
B2,Ni,Pd,OQMD,OQMD+VASP,1,2.978356,,0.029731
B2,Ni,Pt,OQMD,OQMD,1,2.982307,,0.018786
B2,Ni,Re,OQMD,OQMD,1,2.938842,,-0.010558
B2,Ni,Rh,OQMD,OQMD,1,2.931618,,0.020265
B2,Ni,Ru,OQMD,OQMD+VASP,1,2.914514,,0.009996
B2,Ni,Sc,MP,MP+OQMD+VASP,1,3.152516,,-0.127955
B2,Ni,Sn,OQMD,OQMD+VASP,1,3.199646,,-0.137834
B2,Ni,Ta,OQMD,OQMD+VASP,1,3.069738,,-0.000966
B2,Ni,Tb,OQMD,OQMD,1,3.382684,,-0.100497
B2,Ni,Ti,MP,MP+OQMD+VASP,1,2.988066,,-0.066839
B2,Ni,V,OQMD,OQMD+VASP,1,2.90249,,-0.012644
B2,Ni,W,OQMD,OQMD+VASP,1,2.990031,,-0.002212
B2,Ni,Y,OQMD,OQMD+VASP,1,3.394729,,-0.110046
B2,Ni,Zn,MP,MP+OQMD+VASP,1,2.889128,,-0.077722
B2,Ni,Zr,OQMD,OQMD+VASP,1,3.203387,,-0.039388
B2,Os,Pb,OQMD,OQMD,1,3.350399,,-0.151004
B2,Os,Pd,OQMD,OQMD,1,3.094501,,0.032752
B2,Os,Pt,OQMD,OQMD,1,3.118129,,0.042815
B2,Os,Re,OQMD,OQMD,1,3.101022,,0.039439
B2,Os,Rh,OQMD,OQMD,1,3.07131,,0.044733
B2,Os,Ru,OQMD,OQMD,1,3.068128,,0.048408
B2,Os,Sc,OQMD,OQMD,1,3.211389,,-0.150007
B2,Os,Sn,OQMD,OQMD,1,3.250712,,-0.162791
B2,Os,Ta,OQMD,OQMD,1,3.185174,,0.010117
B2,Os,Tb,OQMD,OQMD,1,3.417758,,-0.133369
B2,Os,Ti,MP,MP+OQMD,1,3.084633,,-0.071961
B2,Os,V,MP,MP+OQMD,1,3.016574,,-0.012627
B2,Os,W,OQMD,OQMD,1,3.135874,,0.033871
B2,Os,Y,OQMD,OQMD,1,3.414486,,-0.15292
B2,Os,Zn,OQMD,OQMD,1,3.027274,,-0.049372
B2,Os,Zr,MP,MP+OQMD,1,3.276485,,-0.055877
B2,Pb,Pd,OQMD,OQMD,1,3.47815,,-0.065723
B2,Pb,Pt,OQMD,OQMD,1,3.49652,,-0.058763
B2,Pb,Re,OQMD,OQMD,1,3.364795,,-0.15405
B2,Pb,Rh,OQMD,OQMD,1,3.377206,,-0.126063
B2,Pb,Ru,OQMD,OQMD,1,3.340539,,-0.150694
B2,Pb,Sc,OQMD,OQMD,1,3.676679,,-0.101374
B2,Pb,Sn,OQMD,OQMD,1,3.878114,,0.016592
B2,Pb,Ta,OQMD,OQMD,1,3.481937,,-0.126625
B2,Pb,Tb,OQMD,OQMD,1,3.861655,,-0.077303
B2,Pb,Ti,OQMD,OQMD,1,3.510353,,-0.098257
B2,Pb,V,OQMD,OQMD,1,3.490499,,-0.036657
B2,Pb,W,OQMD,OQMD,1,3.411135,,-0.140339
B2,Pb,Y,OQMD,OQMD,1,4.022882,,0.027876
B2,Pb,Zn,OQMD,OQMD,1,3.652504,,0.07027
B2,Pb,Zr,OQMD,OQMD,1,3.745762,,-0.019482
B2,Pd,Pt,OQMD,OQMD,1,3.140401,,0.038912
B2,Pd,Re,OQMD,OQMD,1,3.109896,,0.022061
B2,Pd,Rh,OQMD,OQMD,1,3.096247,,0.042604
B2,Pd,Ru,OQMD,OQMD+VASP,1,3.086402,,0.039371
B2,Pd,Sc,MP,MP+OQMD+VASP,1,3.299466,,-0.095293
B2,Pd,Sn,OQMD,OQMD+VASP,1,3.3627,,-0.089646
B2,Pd,Ta,OQMD,OQMD+VASP,1,3.224561,,0.024391
B2,Pd,Tb,OQMD,OQMD,1,3.516144,,-0.071251
B2,Pd,Ti,MP,MP+OQMD+VASP,1,3.1758,,-0.010345
B2,Pd,V,OQMD,OQMD+VASP,1,3.097578,,0.041389
B2,Pd,W,OQMD,OQMD+VASP,1,3.158585,,0.030954
B2,Pd,Y,OQMD,OQMD+VASP,1,3.508619,,-0.095141
B2,Pd,Zn,OQMD,OQMD+VASP,1,3.071215,,-0.031888
B2,Pd,Zr,MP,MP+OQMD+VASP,1,3.360046,,-0.001589
B2,Pt,Re,OQMD,OQMD,1,3.134672,,0.033375
B2,Pt,Rh,OQMD,OQMD,1,3.106136,,0.038797
B2,Pt,Ru,OQMD,OQMD,1,3.107086,,0.046388
B2,Pt,Sc,MP,MP+OQMD,1,3.289433,,-0.111999
B2,Pt,Sn,OQMD,OQMD,1,3.375899,,-0.087167
B2,Pt,Ta,OQMD,OQMD,1,3.239434,,0.026742
B2,Pt,Tb,MP,MP+OQMD,1,3.514847,,-0.07973
B2,Pt,Ti,MP,MP+OQMD,1,3.179305,,-0.018558
B2,Pt,V,OQMD,OQMD,1,3.108522,,0.038672
B2,Pt,W,OQMD,OQMD,1,3.17792,,0.037142
B2,Pt,Y,OQMD,OQMD,1,3.495364,,-0.112405
B2,Pt,Zn,OQMD,OQMD,1,3.080862,,-0.03496
B2,Pt,Zr,MP,MP+OQMD,1,3.360111,,-0.011393
B2,Re,Rh,OQMD,OQMD,1,3.086155,,0.032587
B2,Re,Ru,OQMD,OQMD,1,3.084595,,0.037693
B2,Re,Sc,OQMD,OQMD,1,3.24467,,-0.139537
B2,Re,Sn,OQMD,OQMD,1,3.27171,,-0.161483
B2,Re,Ta,OQMD,OQMD,1,3.198334,,-0.00028
B2,Re,Tb,OQMD,OQMD,1,3.448145,,-0.124024
B2,Re,Ti,MP,MP+OQMD,1,3.108081,,-0.072199
B2,Re,V,OQMD,OQMD,1,3.025545,,-0.02945
B2,Re,W,OQMD,OQMD,1,3.14494,,0.017783
B2,Re,Y,OQMD,OQMD,1,3.447211,,-0.141753
B2,Re,Zn,OQMD,OQMD,1,3.039248,,-0.061679
B2,Re,Zr,OQMD,OQMD,1,3.304535,,-0.05016
B2,Rh,Ru,OQMD,OQMD,1,3.061244,,0.049866
B2,Rh,Sc,MP,MP+OQMD,1,3.216906,,-0.140701
B2,Rh,Sn,OQMD,OQMD,1,3.269665,,-0.143406
B2,Rh,Ta,OQMD,OQMD,1,3.187857,,0.01978
B2,Rh,Tb,MP,MP+OQMD,1,3.420115,,-0.127351
B2,Rh,Ti,MP,MP+OQMD,1,3.115202,,-0.037308
B2,Rh,V,OQMD,OQMD,1,3.033698,,0.012405
B2,Rh,W,OQMD,OQMD,1,3.128873,,0.034698
B2,Rh,Y,MP,MP+OQMD,1,3.41785,,-0.146364
B2,Rh,Zn,MP,MP+OQMD,1,2.990226,,-0.076794
B2,Rh,Zr,MP,MP+OQMD,1,3.282723,,-0.044757
B2,Ru,Sc,MP,MP+OQMD+VASP,1,3.198534,,-0.151331
B2,Ru,Sn,OQMD,OQMD+VASP,1,3.238849,,-0.163647
B2,Ru,Ta,MP,MP+OQMD+VASP,1,3.178842,,0.017012
B2,Ru,Tb,OQMD,OQMD,1,3.405494,,-0.135042
B2,Ru,Ti,MP,MP+OQMD+VASP,1,3.06957,,-0.073597
B2,Ru,V,MP,MP+OQMD+VASP,1,3.002281,,-0.012169
B2,Ru,W,OQMD,OQMD+VASP,1,3.1236,,0.035878
B2,Ru,Y,OQMD,OQMD+VASP,1,3.405107,,-0.15256
B2,Ru,Zn,OQMD,OQMD+VASP,1,3.029979,,-0.033375
B2,Ru,Zr,MP,MP+OQMD+VASP,1,3.262005,,-0.058075
B2,Sc,Sn,MP,MP+OQMD+VASP,1,3.615426,,-0.091884
B2,Sc,Ta,OQMD,OQMD+VASP,1,3.411902,,-0.076342
B2,Sc,Tb,OQMD,OQMD,1,3.809069,,-0.031732
B2,Sc,Ti,OQMD,OQMD+VASP,1,3.45824,,-0.029962
B2,Sc,V,OQMD,OQMD+VASP,1,3.363402,,-0.019649
B2,Sc,W,OQMD,OQMD+VASP,1,3.308647,,-0.113053
B2,Sc,Y,OQMD,OQMD+VASP,1,3.822615,,-0.037022
B2,Sc,Zn,MP,MP+OQMD+VASP,1,3.334019,,-0.077975
B2,Sc,Zr,OQMD,OQMD+VASP,1,3.592498,,-0.039387
B2,Sn,Ta,OQMD,OQMD+VASP,1,3.408557,,-0.121275
B2,Sn,Tb,OQMD,OQMD,1,3.79586,,-0.075244
B2,Sn,Ti,OQMD,OQMD+VASP,1,3.39955,,-0.121104
B2,Sn,V,OQMD,OQMD+VASP,1,3.35936,,-0.07255
B2,Sn,W,OQMD,OQMD+VASP,1,3.327934,,-0.140914
B2,Sn,Y,MP,MP+OQMD+VASP,1,3.800305,,-0.086328
B2,Sn,Zn,OQMD,OQMD+VASP,1,3.518203,,0.030465
B2,Sn,Zr,MP,MP+OQMD+VASP,1,3.580086,,-0.088333
B2,Ta,Tb,OQMD,OQMD,1,3.595107,,-0.072609
B2,Ta,Ti,OQMD,OQMD+VASP,1,3.263791,,-0.025125
B2,Ta,V,OQMD,OQMD+VASP,1,3.160944,,-0.008016
B2,Ta,W,OQMD,OQMD+VASP,1,3.239909,,0.004292
B2,Ta,Y,OQMD,OQMD+VASP,1,3.607225,,-0.080235
B2,Ta,Zn,OQMD,OQMD+VASP,1,3.173793,,-0.037672
B2,Ta,Zr,OQMD,OQMD+VASP,1,3.440625,,-0.01364
B2,Tb,Ti,OQMD,OQMD,1,3.617721,,-0.048063
B2,Tb,V,OQMD,OQMD,1,3.592983,,0.01023
B2,Tb,W,OQMD,OQMD,1,3.506801,,-0.100429
B2,Tb,Y,OQMD,OQMD,1,4.017682,,-0.003924
B2,Tb,Zn,MP,MP+OQMD,1,3.562566,,-0.044006
B2,Tb,Zr,OQMD,OQMD,1,3.761714,,-0.03863
B2,Ti,V,OQMD,OQMD+VASP,1,3.103723,,-0.050028
B2,Ti,W,OQMD,OQMD+VASP,1,3.173008,,-0.046366
B2,Ti,Y,MP,MP+OQMD+VASP,1,3.658092,,-0.033863
B2,Ti,Zn,MP,MP+OQMD+VASP,1,3.123748,,-0.072288
B2,Ti,Zr,OQMD,OQMD+VASP,1,3.408876,,-0.032139
B2,V,W,OQMD,OQMD+VASP,1,3.075918,,-0.019273
B2,V,Y,OQMD,OQMD+VASP,1,3.605341,,0.000469
B2,V,Zn,OQMD,OQMD+VASP,1,3.013533,,-0.057317
B2,V,Zr,OQMD,OQMD+VASP,1,3.337679,,0.002131
B2,W,Y,OQMD,OQMD+VASP,1,3.508408,,-0.116298
B2,W,Zn,OQMD,OQMD+VASP,1,3.092647,,-0.047573
B2,W,Zr,OQMD,OQMD+VASP,1,3.358571,,-0.031801
B2,Y,Zn,MP,MP+OQMD+VASP,1,3.562367,,-0.06256
B2,Y,Zr,OQMD,OQMD+VASP,1,3.776547,,-0.043248
B2,Zn,Zr,MP,MP+OQMD+VASP,1,3.323299,,-0.046314
L12,Ag,Al,VASP,VASP,1,4.090204,,0.009489
L12,Ag,Au,MP,MP+VASP,1,4.121632,,0.02742
L12,Ag,Ca,VASP,VASP,1,4.384718,,-0.110887
L12,Ag,Co,VASP,VASP,1,4.015434,,0.039959
L12,Ag,Cr,VASP,VASP,1,4.124003,,0.109946
L12,Ag,Cu,VASP,VASP,1,4.034699,,0.042656
L12,Ag,Dy,VASP,VASP,1,4.0,,-0.226334
L12,Ag,Er,VASP,VASP,1,4.114572,,-0.148876
L12,Ag,Fe,VASP,VASP,1,4.064692,,0.066658
L12,Ag,Hf,VASP,VASP,1,4.231001,,0.030556
L12,Ag,Ir,VASP,VASP,1,4.054251,,0.01992
L12,Ag,La,VASP,VASP,1,4.527642,,0.050521
L12,Ag,Mg,OQMD,OQMD+VASP,1,4.12463,,-0.057139
L12,Ag,Mn,VASP,VASP,1,4.112522,,0.097194
L12,Ag,Mo,VASP,VASP,1,4.181738,,0.095255
L12,Ag,Nb,VASP,VASP,1,4.203141,,0.073645
L12,Ag,Ni,VASP,VASP,1,3.99737,,0.028167
L12,Ag,Os,VASP,VASP,1,4.051573,,0.020681
L12,Ag,Pb,VASP,VASP,1,4.34798,,0.008518
L12,Ag,Pd,VASP,VASP,1,4.085422,,0.034742
L12,Ag,Pt,MP,MP+OQMD+VASP,1,4.006844,,-0.029405
L12,Ag,Re,VASP,VASP,1,4.070491,,0.0235
L12,Ag,Rh,MP,MP+VASP,1,4.076067,,0.042874
L12,Ag,Ru,VASP,VASP,1,4.056831,,0.031084
L12,Ag,Sc,VASP,VASP,1,4.243368,,0.003109
L12,Ag,Sn,VASP,VASP,1,4.263976,,-0.009083
L12,Ag,Ta,VASP,VASP,1,4.172752,,0.049979
L12,Ag,Tb,VASP,VASP,1,4.119277,,-0.16062
L12,Ag,Ti,VASP,VASP,1,4.160154,,0.046015
L12,Ag,V,VASP,VASP,1,4.124487,,0.079319
L12,Ag,W,VASP,VASP,1,4.128238,,0.049556
L12,Ag,Y,VASP,VASP,1,4.39132,,0.005699
L12,Ag,Zn,VASP,VASP,1,4.084503,,0.026396
L12,Ag,Zr,VASP,VASP,1,4.268657,,0.044574
L12,Al,Ag,MP,MP+VASP,1,4.081513,,0.016838
L12,Al,Au,VASP,VASP,1,4.05097,,-0.004405
L12,Al,Ca,VASP,VASP,1,4.300646,,-0.148692
L12,Al,Co,MP,MP+VASP,1,3.574948,,-0.249516
L12,Al,Cr,VASP,VASP,1,3.899011,,-0.041093
L12,Al,Cu,MP,MP+OQMD+VASP,1,3.637377,,-0.218964
L12,Al,Dy,OQMD,OQMD+VASP,1,4.254197,,-0.053509
L12,Al,Er,OQMD,OQMD+VASP,1,4.231105,,-0.058655
L12,Al,Fe,MP,MP+VASP,1,3.639294,,-0.217296
L12,Al,Hf,VASP,VASP,1,4.085957,,-0.054116
L12,Al,Ir,VASP,VASP,1,3.873354,,-0.091455
L12,Al,La,VASP,VASP,1,4.44323,,0.008572
L12,Al,Mg,VASP,VASP,1,4.142166,,-0.02706
L12,Al,Mn,VASP,VASP,1,3.854793,,-0.076367
L12,Al,Mo,VASP,VASP,1,3.940918,,-0.063975
L12,Al,Nb,VASP,VASP,1,3.998656,,-0.056776
L12,Al,Ni,MP,MP+OQMD+VASP,1,3.522935,,-0.280238
L12,Al,Os,VASP,VASP,1,3.869011,,-0.091981
L12,Al,Pb,VASP,VASP,1,4.420297,,0.077893
L12,Al,Pd,MP,MP+VASP,1,3.874692,,-0.098421
L12,Al,Pt,MP,MP+OQMD+VASP,1,3.889932,,-0.093068
L12,Al,Re,VASP,VASP,1,3.900206,,-0.080437
L12,Al,Rh,VASP,VASP,1,3.871338,,-0.08715
L12,Al,Ru,VASP,VASP,1,3.864089,,-0.089648
L12,Al,Sc,OQMD,OQMD+VASP,1,4.103,,-0.076486
L12,Al,Sn,MP,MP+VASP,1,4.271209,,0.013813
L12,Al,Ta,VASP,VASP,1,4.0,,-0.056326
L12,Al,Tb,OQMD,OQMD+VASP,1,4.776181,,0.330392
L12,Al,Ti,OQMD,OQMD+VASP,1,3.978864,,-0.06618
L12,Al,V,MP,MP+OQMD+VASP,1,3.905352,,-0.063908
L12,Al,W,VASP,VASP,1,3.936884,,-0.070641
L12,Al,Y,OQMD,OQMD+VASP,1,4.259108,,-0.067176
L12,Al,Zn,MP,MP+VASP,1,3.968772,,-0.038458
L12,Al,Zr,OQMD,OQMD+VASP,1,4.103297,,-0.054698
L12,Au,Ag,VASP,VASP,1,4.148422,,0.050514
L12,Au,Al,VASP,VASP,1,4.09706,,0.018857
L12,Au,Ca,VASP,VASP,1,4.327678,,-0.142559
L12,Au,Co,VASP,VASP,1,4.036448,,0.06123
L12,Au,Cr,VASP,VASP,1,4.106607,,0.100924
L12,Au,Cu,OQMD,OQMD+VASP,1,3.766588,,-0.147839
L12,Au,Dy,VASP,VASP,1,4.043786,,-0.197884
L12,Au,Er,VASP,VASP,1,4.34983,,0.009138
L12,Au,Fe,VASP,VASP,1,4.065096,,0.071828
L12,Au,Hf,VASP,VASP,1,4.213668,,0.021905
L12,Au,Ir,VASP,VASP,1,4.073967,,0.039406
L12,Au,La,VASP,VASP,1,4.504768,,0.038028
L12,Au,Mg,VASP,VASP,1,4.136486,,-0.045329
L12,Au,Mn,VASP,VASP,1,4.110247,,0.100321
L12,Au,Mo,VASP,VASP,1,4.153804,,0.078054
L12,Au,Nb,VASP,VASP,1,4.188344,,0.066741
L12,Au,Ni,VASP,VASP,1,4.008355,,0.041444
L12,Au,Os,VASP,VASP,1,4.068413,,0.038001
L12,Au,Pb,VASP,VASP,1,4.370018,,0.027524
L12,Au,Pd,OQMD,OQMD+VASP,1,4.106547,,0.055441
L12,Au,Pt,VASP,VASP,1,4.097408,,0.042389
L12,Au,Re,VASP,VASP,1,4.084701,,0.03875
L12,Au,Rh,VASP,VASP,1,4.069296,,0.04226
L12,Au,Ru,VASP,VASP,1,4.068605,,0.044686
L12,Au,Sc,VASP,VASP,1,4.211789,,-0.015436
L12,Au,Sn,VASP,VASP,1,4.277271,,0.003872
L12,Au,Ta,VASP,VASP,1,4.164093,,0.047771
L12,Au,Tb,VASP,VASP,1,4.139749,,-0.145117
L12,Au,Ti,OQMD,OQMD+VASP,1,4.053996,,-0.028011
L12,Au,V,OQMD,OQMD+VASP,1,3.853544,,-0.115844
L12,Au,W,VASP,VASP,1,4.131418,,0.056475
L12,Au,Y,VASP,VASP,1,4.354237,,-0.016235
L12,Au,Zn,VASP,VASP,1,4.087257,,0.032908
L12,Au,Zr,VASP,VASP,1,4.244157,,0.030635
L12,Be,Ag,MP,MP,1,3.990716,,0.535377
L12,Be,Au,MP,MP,1,4.011706,,0.56332
L12,Be,Cr,MP,MP,1,3.511214,,0.191174
L12,Be,Fe,MP,MP,1,3.239005,,-0.058936
L12,Be,Ni,MP,MP,1,3.418936,,0.132969
L12,Ca,Ag,MP,MP+VASP,1,5.082384,,-0.112671
L12,Ca,Al,VASP,VASP,1,5.031107,,-0.13658
L12,Ca,Au,VASP,VASP,1,4.858278,,-0.224453
L12,Ca,Co,VASP,VASP,1,4.689885,,-0.273373
L12,Ca,Cr,VASP,VASP,1,4.911942,,-0.170658
L12,Ca,Cu,VASP,VASP,1,4.629942,,-0.304491
L12,Ca,Dy,VASP,VASP,1,4.568859,,-0.412839
L12,Ca,Er,VASP,VASP,1,6.272811,,0.527846
L12,Ca,Fe,VASP,VASP,1,4.689911,,-0.276942
L12,Ca,Hf,VASP,VASP,1,5.108364,,-0.129876
L12,Ca,Ir,VASP,VASP,1,4.703369,,-0.282661
L12,Ca,La,VASP,VASP,1,5.426194,,-0.049337
L12,Ca,Mg,MP,MP+VASP,1,5.288813,,-0.040185
L12,Ca,Mn,VASP,VASP,1,4.732485,,-0.259324
L12,Ca,Mo,VASP,VASP,1,4.850503,,-0.220883
L12,Ca,Nb,VASP,VASP,1,4.987103,,-0.166811
L12,Ca,Ni,VASP,VASP,1,4.710375,,-0.263123
L12,Ca,Os,VASP,VASP,1,4.686174,,-0.289628
L12,Ca,Pb,MP,MP+OQMD+VASP,1,4.917517,,-0.262363
L12,Ca,Pd,VASP,VASP,1,4.771949,,-0.253709
L12,Ca,Pt,VASP,VASP,1,4.758191,,-0.262066
L12,Ca,Re,VASP,VASP,1,4.736964,,-0.269983
L12,Ca,Rh,VASP,VASP,1,4.754932,,-0.256754
L12,Ca,Ru,VASP,VASP,1,4.736878,,-0.264257
L12,Ca,Sc,VASP,VASP,1,5.123398,,-0.137235
L12,Ca,Sn,MP,MP+OQMD+VASP,1,4.741674,,-0.325014
L12,Ca,Ta,VASP,VASP,1,4.941566,,-0.189622
L12,Ca,Tb,MP,MP+VASP,1,5.109847,,-0.181367
L12,Ca,Ti,VASP,VASP,1,5.097513,,-0.108267
L12,Ca,V,VASP,VASP,1,5.086706,,-0.090507
L12,Ca,W,VASP,VASP,1,4.823717,,-0.235114
L12,Ca,Y,MP,MP+VASP,1,5.412807,,-0.032463
L12,Ca,Zn,MP,MP+VASP,1,5.079506,,-0.102937
L12,Ca,Zr,VASP,VASP,1,5.017684,,-0.180568
L12,Co,Ag,VASP,VASP,1,3.686714,,-0.003395
L12,Co,Al,VASP,VASP,1,3.572255,,-0.085013
L12,Co,Au,MP,MP+VASP,1,4.024451,,0.298811
L12,Co,Ca,VASP,VASP,1,3.862034,,-0.250434
L12,Co,Cr,VASP,VASP,1,3.471976,,-0.074594
L12,Co,Cu,VASP,VASP,1,3.543665,,-0.011753
L12,Co,Dy,VASP,VASP,1,3.76621,,-0.175077
L12,Co,Er,VASP,VASP,1,3.5318,,-0.310348
L12,Co,Fe,VASP,VASP,1,3.536866,,-0.016687
L12,Co,Hf,VASP,VASP,1,3.68953,,-0.095565
L12,Co,Ir,MP,MP+VASP,1,3.582561,,-0.029399
