structure,element_A,element_B,selected_source,available_sources,n_entries,a_mean,a_cv,Omega_sf_King
B2,Au,Pd,OQMD,OQMD,1,3.211784,,0.045746
B2,Au,Pt,OQMD,OQMD,1,3.209449,,0.031132
B2,Au,Re,OQMD,OQMD,1,3.17691,,0.012178
B2,Au,Rh,OQMD,OQMD,1,3.169538,,0.036494
B2,Au,Ru,OQMD,OQMD,1,3.159212,,0.032547
B2,Au,Sc,MP,MP+OQMD,1,3.390472,,-0.070996
B2,Au,Sn,OQMD,OQMD,1,3.546395,,0.013261
B2,Au,Ta,OQMD,OQMD,1,3.297947,,0.025442
B2,Au,Tb,MP,MP+OQMD,1,3.588663,,-0.057881
B2,Au,Ti,MP,MP+OQMD,1,3.278944,,0.018445
B2,Au,V,OQMD,OQMD,1,3.19684,,0.061092
B2,Au,W,OQMD,OQMD,1,3.226686,,0.023728
B2,Au,Y,MP,MP+OQMD,1,3.586649,,-0.076928
B2,Au,Zn,MP,MP+OQMD,1,3.150053,,-0.028457
B2,Au,Zr,OQMD,OQMD,1,3.424988,,-0.00169
B2,Be,Ca,OQMD,OQMD,1,3.525612,,-0.153029
B2,Be,Co,MP,MP+OQMD,1,2.571753,,-0.113357
B2,Be,Cr,OQMD,OQMD,1,2.735098,,0.01698
B2,Be,Cu,MP,MP+OQMD,1,2.672468,,-0.041866
B2,Be,Dy,OQMD,OQMD,1,3.402555,,-0.006515
B2,Be,Er,OQMD,OQMD,1,3.374115,,-0.00923
B2,Be,Fe,OQMD,OQMD,1,2.631093,,-0.084118
B2,Be,Hf,OQMD,OQMD,1,3.119186,,-0.00248
B2,Be,Ir,OQMD,OQMD,1,2.802295,,-0.011676
B2,Be,La,OQMD,OQMD,1,3.58804,,0.020176
B2,Be,Mg,OQMD,OQMD,1,3.082386,,-0.065865
B2,Be,Mn,OQMD,OQMD,1,2.703256,,-0.027888
B2,Be,Mo,OQMD,OQMD,1,2.887267,,0.015833
B2,Be,Nb,OQMD,OQMD,1,3.000391,,0.035324
B2,Be,Ni,MP,MP+OQMD,1,2.587,,-0.091241
B2,Be,Os,OQMD,OQMD,1,2.801278,,-0.004796
B2,Be,Pb,OQMD,OQMD,1,3.457928,,0.075858
B2,Be,Pd,MP,MP+OQMD,1,2.811637,,-0.026291
B2,Be,Pt,OQMD,OQMD,1,2.847534,,-0.005038
B2,Be,Re,OQMD,OQMD,1,2.831433,,-0.005405
B2,Be,Rh,MP,MP+OQMD,1,2.767888,,-0.030169
B2,Be,Ru,OQMD,OQMD,1,2.78709,,-0.001487
B2,Be,Sc,OQMD,OQMD,1,3.172213,,-0.035538
B2,Be,Sn,OQMD,OQMD,1,3.30698,,0.028481
B2,Be,Ta,OQMD,OQMD,1,2.992874,,0.026146
B2,Be,Tb,OQMD,OQMD,1,3.417413,,-0.007214
B2,Be,Ti,MP,MP+OQMD,1,2.929262,,-0.024271
B2,Be,V,OQMD,OQMD,1,2.785319,,-0.014884
B2,Be,W,OQMD,OQMD,1,2.893405,,0.010934
B2,Be,Y,OQMD,OQMD,1,3.415979,,-0.030836
B2,Be,Zn,OQMD,OQMD,1,2.824734,,-0.033412
B2,Be,Zr,OQMD,OQMD,1,3.163193,,0.008291
B2,Ca,Co,OQMD,OQMD+VASP,1,3.388055,,-0.289048
B2,Ca,Cr,OQMD,OQMD+VASP,1,3.789497,,-0.021923
B2,Ca,Cu,OQMD,OQMD+VASP,1,3.538549,,-0.200806
B2,Ca,Dy,OQMD,OQMD,1,4.122182,,-0.068169
B2,Ca,Er,OQMD,OQMD,1,4.100308,,-0.072062
B2,Ca,Fe,OQMD,OQMD+VASP,1,3.473401,,-0.243676
B2,Ca,Hf,OQMD,OQMD+VASP,1,3.821067,,-0.153958
B2,Ca,Ir,OQMD,OQMD,1,3.40695,,-0.315644
B2,Ca,La,OQMD,OQMD+VASP,1,4.309964,,-0.009122
B2,Ca,Mg,MP,MP+OQMD+VASP,1,3.967573,,-0.066007
B2,Ca,Mn,OQMD,OQMD+VASP,1,3.810815,,-0.008921
B2,Ca,Mo,OQMD,OQMD+VASP,1,3.63681,,-0.187647
B2,Ca,Nb,OQMD,OQMD+VASP,1,3.889859,,-0.044646
B2,Ca,Ni,MP,MP+OQMD+VASP,1,3.426381,,-0.262868
B2,Ca,Os,OQMD,OQMD,1,3.402056,,-0.316483
B2,Ca,Pb,OQMD,OQMD,1,3.923544,,-0.183246
B2,Ca,Pd,MP,MP+OQMD+VASP,1,3.505685,,-0.261573
B2,Ca,Pt,OQMD,OQMD,1,3.479857,,-0.282435
B2,Ca,Re,OQMD,OQMD,1,3.497027,,-0.26698
B2,Ca,Rh,OQMD,OQMD,1,3.4225,,-0.301382
B2,Ca,Ru,OQMD,OQMD+VASP,1,3.421603,,-0.299698
B2,Ca,Sc,OQMD,OQMD+VASP,1,3.963458,,-0.092616
B2,Ca,Sn,OQMD,OQMD+VASP,1,3.854559,,-0.189769
B2,Ca,Ta,OQMD,OQMD+VASP,1,3.650236,,-0.211009
B2,Ca,Tb,OQMD,OQMD,1,4.134445,,-0.066657
B2,Ca,Ti,OQMD,OQMD+VASP,1,3.746033,,-0.142166
B2,Ca,V,OQMD,OQMD+VASP,1,3.849479,,-0.007146
B2,Ca,W,OQMD,OQMD+VASP,1,3.5888,,-0.2229
B2,Ca,Y,OQMD,OQMD+VASP,1,4.32041,,0.052141
B2,Ca,Zn,MP,MP+OQMD+VASP,1,3.648684,,-0.174422
B2,Ca,Zr,OQMD,OQMD+VASP,1,4.053681,,-0.004447
B2,Co,Cr,MP,MP+OQMD+VASP,1,2.851205,,0.004224
B2,Co,Cu,OQMD,OQMD+VASP,1,2.82411,,-0.01569
B2,Co,Dy,OQMD,OQMD,1,3.322842,,-0.139032
B2,Co,Er,OQMD,OQMD,1,3.293679,,-0.143822
B2,Co,Fe,MP,MP+OQMD+VASP,1,2.839026,,0.001477
B2,Co,Hf,MP,MP+OQMD+VASP,1,3.163147,,-0.052004
B2,Co,Ir,OQMD,OQMD,1,2.947925,,0.015469
B2,Co,La,OQMD,OQMD+VASP,1,3.483841,,-0.123486
B2,Co,Mg,OQMD,OQMD+VASP,1,3.01792,,-0.198941
B2,Co,Mn,MP,MP+OQMD+VASP,1,2.8536,,-0.001977
B2,Co,Mo,MP,MP+OQMD+VASP,1,2.999744,,0.012646
B2,Co,Nb,MP,MP+OQMD+VASP,1,3.08203,,0.007742
B2,Co,Ni,MP,MP+OQMD+VASP,1,2.802193,,-0.000472
B2,Co,Os,OQMD,OQMD,1,2.927458,,0.001531
B2,Co,Pb,OQMD,OQMD,1,3.299118,,-0.132527
B2,Co,Pd,OQMD,OQMD+VASP,1,2.991167,,0.037737
B2,Co,Pt,OQMD,OQMD,1,3.007101,,0.039139
B2,Co,Re,OQMD,OQMD,1,2.955091,,0.000796
B2,Co,Rh,OQMD,OQMD,1,2.96124,,0.045915
B2,Co,Ru,OQMD,OQMD+VASP,1,2.91795,,0.008143
B2,Co,Sc,MP,MP+OQMD+VASP,1,3.142265,,-0.139596
B2,Co,Sn,OQMD,OQMD+VASP,1,3.149536,,-0.180557
B2,Co,Ta,MP,MP+OQMD+VASP,1,3.068399,,-0.0068
B2,Co,Tb,OQMD,OQMD,1,3.352743,,-0.126849
B2,Co,Ti,MP,MP+OQMD+VASP,1,2.986111,,-0.07295
B2,Co,V,MP,MP+OQMD+VASP,1,2.890428,,-0.030072
B2,Co,W,MP,MP+OQMD+VASP,1,3.005228,,0.008112
B2,Co,Y,OQMD,OQMD+VASP,1,3.347876,,-0.148944
B2,Co,Zn,OQMD,OQMD+VASP,1,2.873587,,-0.097083
B2,Co,Zr,MP,MP+OQMD+VASP,1,3.207784,,-0.039133
B2,Cr,Cu,OQMD,OQMD+VASP,1,2.989869,,0.122151
B2,Cr,Dy,OQMD,OQMD,1,3.520197,,0.001689
B2,Cr,Er,OQMD,OQMD,1,3.477971,,-0.014003
B2,Cr,Fe,OQMD,OQMD+VASP,1,2.813001,,-0.06411
B2,Cr,Hf,OQMD,OQMD+VASP,1,3.230103,,-0.018022
B2,Cr,Ir,OQMD,OQMD,1,3.031844,,0.065205
B2,Cr,La,VASP,VASP,2,3.728311,5.1e-05,0.05386
B2,Cr,Mg,MP,MP+OQMD+VASP,1,3.325887,,0.04373
