Alloy,No,S_Phase,Phase,a (Å),delta,Tm (K),Hmix (kJ/mol),Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus (GPa)
AlCoCrCuNiTiY0.8,7,IM,IM,1.37641176470588,0.128876357461132,1668.74117647059,-18.9965397923875,1.68764705882353,0.221983820601855,6.67647058823529,3.14100572349324,129.235294117647
Al10Co20Cr1Fe 26Mn14Ni10Ti10,7,IM,IM,1.30587912087912,0.0641602644994376,1669.41428571429,-15.9584591232943,1.74879120879121,0.146960674749113,7.27472527472528,2.1992303052466,148.571428571429
Al0.4CoCrFeMnNiV,7,IM,IM,1.28528125,0.0432080279017473,1806.623125,-10.4296875,1.735,0.135669635512151,7.21875,1.98012586405511,156.3125
AlCo0.5Cr0.5Fe0.5MnNiV,7,SS,BCC,1.31172727272727,0.0529982473064683,1680.54,-16.2644628099174,1.70636363636364,0.138056162963598,6.63636363636364,2.38452309974618,143.818181818182
AlCo0.5Cr0.5Fe0.5MnNiV0.5,7,SS,BCC,1.3113,0.0555926395523385,1630.294,-15.96,1.714,0.142562267097574,6.8,2.44131112314674,142.2
AlCo1.5Cr2Fe1.5Mn2NiV,7,IM,IM,1.293,0.0483795638025688,1761.097,-10.15,1.7135,0.133201914400657,6.95,1.9615045245933,150.1
AlCo0.6CrFe0.2NiSiTi0.2,7,IM,IM,1.27424,0.07738575465711,1667.934,-34.1056,1.7764,0.136055282881629,6.16,2.67850704684531,136.0
AlCoCuFeNiVZr,7,IM,IM,1.33814285714286,0.0930758758146532,1701.32,-21.9591836734694,1.72714285714286,0.199335631229219,7.14285714285714,2.89968330431206,129.428571428571
AlCoFeNiTiVZr,7,SS,BCC,1.36442857142857,0.0941329659386903,1784.63857142857,-31.4285714285714,1.67571428571429,0.19448519171371,6.14285714285714,2.58725289661069,125.142857142857
Cr4.5Mn13.6Ni38.1Sn0.3Ti12V10Zr21.5,7,IM,IM,1.371076,0.102466495443642,1873.30724,-30.877884,1.65284,0.225628753486784,6.884,2.62726930481061,121.474
Cu0.5NiAlCoCrFeTi,7,AM,AM,1.31076923076923,0.069893208246381,1698.51615384615,-17.1834319526627,1.75076923076923,0.142475991956623,7.0,2.71746488194703,145.538461538462
Fe72Al5Ga2P10C6B4Si,7,AM,AM,1.18829,0.132092518269138,1728.5917,-27.3092,1.9069,0.205891694830073,6.87,1.86898368104165,139.24
FeNiCoSiCrAlTi,7,SS,SS,1.29057142857143,0.0807661066658734,1721.21,-35.0204081632653,1.76142857142857,0.142571142284282,6.28571428571429,2.54750778573243,139.428571428571
Ti53Cu27Ni12Zr3Al7Si3B,7,AM,AM,1.37816981132075,0.0850403158952114,1703.74603773585,-24.8508365966536,1.68716981132075,0.185603323800046,6.38679245283019,3.3068560988968,121.0
AlCoCrCuFeNiTiV,8,SS,FCC+BCC,1.309375,0.0633843486790216,1737.78,-13.9375,1.745,0.140267601391055,7.0,2.73861278752583,147.0
