year,title,authors,journal,volume,issue,pages,doi,type,cited_by,open_access,openalex_id,reason
2010,Twinning Behavior in AZ31-B Polycrystal Texture Subjected to In-Situ Bending Test,Itsuya Sato; Seiji Miura; Tetsuo Mohri,Materials science forum,654-656,,715-718,10.4028/www.scientific.net/msf.654-656.715,article,2,https://doi.org/10.4028/www.scientific.net/msf.654-656.715,W1965887386,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2010,Ultrahigh-temperature Nbss/Nb5Si3 fully-lamellar microstructure developed by directional solidification in OFZ furnace,Yulong Li; Seiji Miura; Kenichi Ohsasa; Chaoli Ma; Hu Zhang,Intermetallics,19,4,460-469,10.1016/j.intermet.2010.10.024,article,48,,W2081482598,所属確認済み（北海道大学）
2010,in situ曲げ試験を課したAZ31-B多結晶集合組織中の双晶化挙動,Sato Itsuya; Seiji Miura; Tetsuo Mohri,Materials science forum,,,715-718,,article,0,,W3190648889,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2010,コークス中に添加された酸化鉄触媒のその場観察と反応機構,Yuichiro Yamamoto; Yoshiaki Kashiwaya; Seiji Miura; Masaru Nishimura; Kenji Katou; Seiji Nomura; Masahiro Kubota; Kazuya Kunitomo; Masaaki Naito,Institutional Repositories DataBase (IRDB),96,5,297-304,,article,0,https://eprints.lib.hokudai.ac.jp/repo/huscap/all/75170/Tetsu-to-Hagane%2096(5)_%20297-304%20(2010).pdf,W7144525101,北大の共同研究者（Ikeda/Horiuchi/Kashiwaya等）が一致
2010,酸化鉄触媒添加コークスの反応挙動,Yuichiro Yamamoto; Yoshiaki Kashiwaya; Seiji Miura; Masaru Nishimura; Kenji Katou; Seiji Nomura; Masahiro Kubota; Kazuya Kunitomo; Masaaki Naito,Institutional Repositories DataBase (IRDB),96,5,288-296,,article,0,https://hdl.handle.net/2115/75171,W7144611730,北大の共同研究者（Ikeda/Horiuchi/Kashiwaya等）が一致
2009,A Kinetic Monte Carlo Simulation of Ordering Process in Ti–Al System,K. Sato; Satoshi Takizawa; Seiji Miura; Tetsuo Mohri,Journal of the Physical Society of Japan,78,11,114003-114003,10.1143/jpsj.78.114003,article,0,,W1972260763,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2009,Dislocation character and operative slip systems in α-Nb5Si3 tested at 1673K,Nobuaki Sekido; Seiji Miura; Yoko Yamabe‐Mitarai; Yoshisato Kimura; Yoshinao Mishima,Intermetallics,18,5,841-845,10.1016/j.intermet.2009.12.010,article,17,,W1969240781,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2009,Effect of Cold-Rolling on Passive Film on Pure Iron in pH 8.4 Borate Buffer Solution,Takatoshi Yamamoto; Koji Fushimi; Seiji Miura; Hidetaka Konno,ECS Meeting Abstracts,MA2009-02,21,1903-1903,10.1149/ma2009-02/21/1903,article,0,https://iopscience.iop.org/article/10.1149/MA2009-02/21/1903/pdf,W4253610578,所属確認済み（北海道大学）
2009,OS0309 Effect of twinning of stress axis and twin interface introduced by pre-straining of Mg alloy Single crystals,Seiji Miura,The Proceedings of the Materials and Mechanics Conference,2009,0,592-594,10.1299/jsmemm.2009.592,article,0,https://www.jstage.jst.go.jp/article/jsmemm/2009/0/2009_592/_pdf,W2634211499,所属確認済み（北海道大学）
2009,The Effect of Metal Texture on Depassivation-repassivation Behavior of Iron in Borate Buffer Solution Investigated by Micro-indentation,Takatoshi Yamamoto; Koji Fushimi; H. Habazaki; Hidetaka Konno; Seiji Miura,ECS Transactions,16,52,133-140,10.1149/1.3229962,article,2,,W2325099491,所属確認済み（北海道大学）
2009,完全ラメラ金属組織を有する方向性凝固したNb ss /Nb 5 Si 3 共晶合金,Li Yulong; Seiji Miura; Tetsuo Mohri; Kenichi Ohsasa; Ma Chaoli; Zhang Hu,日本金属学会講演概要,,,106,,article,0,,W3176737729,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2008,Analysis of Strain Transfer through the Mg/Ti Interface Using Crystallographic Orientation Analysis Based on Electron Back-Scattered Diffraction Patterns,Hiroaki Kawamoto; Seiji Miura; Kaori Yano; Kenji Ohkubo; Tetsuo Mohri,MATERIALS TRANSACTIONS,49,5,1107-1111,10.2320/matertrans.mc200764,article,3,https://www.jstage.jst.go.jp/article/matertrans/49/5/49_MC200764/_pdf,W2045400584,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2008,Deformation Behavior of Niobium Silicides during High Temperature Compression,Nobuaki Sekido; Seiji Miura; Yoko Yamabe‐Mitarai; Yoshisato Kimura; Yoshinao Mishima,MRS Proceedings,1128,,,10.1557/proc-1128-u07-05,article,0,,W2004059715,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2008,Effect of Hardness on Depassivation-repassivation Behavior of Pure Iron in Borate Buffer Solution,Takatoshi Yamamoto; Koji Fushimi; Seiji Miura; H. Habazaki; Hidetaka Konno,ECS Meeting Abstracts,MA2008-02,20,1686-1686,10.1149/ma2008-02/20/1686,article,0,https://iopscience.iop.org/article/10.1149/MA2008-02/20/1686/pdf,W2277717519,所属確認済み（北海道大学）
2008,Effect of Rare-Earth Elements Y and Dy on the Deformation Behavior of Mg Alloy Single Crystals,Seiji Miura; Shigeki Imagawa; Takeshi Toyoda; Kenji Ohkubo; Tetsuo Mohri,MATERIALS TRANSACTIONS,49,5,952-956,10.2320/matertrans.mc2007109,article,102,https://www.jstage.jst.go.jp/article/matertrans/49/5/49_MC2007109/_pdf,W2053574621,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2008,Effect of growth rate on microstructure and microstructure evolution of directionally solidified Nb-Si alloys,Yoshihito Sekito; Seiji Miura; Kenji Ohkubo; Tetsuo Mohri; Norihito Sakaguchi; Seiichi Watanabe; Yoshisato Kimura; Yoshinao Mishima,MRS Proceedings,1128,,,10.1557/proc-1128-u05-38,article,4,,W2320877091,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2008,Effect of microstructure on the high-temperature deformation behavior of Nb–Si alloys,Seiji Miura; Yuki Murasato; Yoshihito Sekito; Yukiyoshi Tsutsumi; Kenji Ohkubo; Yoshisato Kimura; Yoshinao Mishima; Tetsuo Mohri,Materials Science and Engineering A,510-511,,317-321,10.1016/j.msea.2008.04.123,article,49,,W2017641151,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2008,Liquid-Solid Equilibrium and Intermediate Phase Formation during Solidification in Mg-1.3 at%Zn-1.7 at%Y Alloy,Toshiaki Horiuchi; Akemi Ono; Kentaro Yoshioka; Takero Watanabe; Kenji Ohkubo; Seiji Miura; Tetsuo Mohri; Shigeyuki Tamura,MATERIALS TRANSACTIONS,49,10,2247-2253,10.2320/matertrans.maw200822,article,19,https://www.jstage.jst.go.jp/article/matertrans/49/10/49_MAW200822/_pdf,W2083938965,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2008,Microstructure control of E21 Fe3AlC - Bcc ferrite dual phase alloy and its mechanical properties,Hiroaki Ishii; Megumi Kitamoto; Seiji Miura; Kenji Ohkubo; Tetsuo Mohri,,,,514-517,,article,0,,W3154764697,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
