year,title,authors,journal,volume,issue,pages,doi,type,cited_by,open_access,openalex_id,reason
2004,In-situ Observation of Surface Relief Formation and Disappearance during Order-Disorder Transition of Equi-atomic CuAu alloy using Laser Scanning Confocal Microscopy,Seiji Miura; Hiroyuki Okuno; Kenji Ohkubo; Tetsuo Mohri,MRS Proceedings,842,,,10.1557/proc-842-s4.4,article,3,,W2170728236,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2004,"Phase equilibria in the Ir-rich portion of the Ir–Al–X (X: Ti, Zr and Hf) ternary systems",Seiji Miura; Kenji Ohkubo; Yoshihiro Terada; Yoshisato Kimura; Yoshinao Mishima; Yoko Yamabe‐Mitarai; Hiroshi Harada; Tetsuo Mohri,Journal of Alloys and Compounds,393,1-2,239-247,10.1016/j.jallcom.2004.08.095,article,14,,W2131596550,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2004,Solidification Process and Mechanical Behavior of the Nb/Nb5Si3 Two Phase Alloys in the Nb-Ti-Si System,Nobuaki Sekido; Yoshisato Kimura; Seiji Miura; Yoshinao Mishima,MATERIALS TRANSACTIONS,45,12,3264-3271,10.2320/matertrans.45.3264,article,36,https://www.jstage.jst.go.jp/article/matertrans/45/12/45_12_3264/_pdf,W2017811733,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2003,Effect of deformation temperature on Hall–Petch relationship registered for polycrystalline magnesium,N. Ono; Roman Nowak; Seiji Miura,Materials Letters,58,1-2,39-43,10.1016/s0167-577x(03)00410-5,article,225,,W1985769224,北大の共同研究者（Ikeda/Horiuchi/Kashiwaya等）が一致
2003,Mechanical Properties of &alpha;+&kappa; Two-phase Lamellar Structure in Fe-Mn-Al-C Alloy,Hiroaki Ishii; Kenji Ohkubo; Seiji Miura; Tetsuo Mohri,MATERIALS TRANSACTIONS,44,9,1679-1681,10.2320/matertrans.44.1679,article,26,https://www.jstage.jst.go.jp/article/matertrans/44/9/44_9_1679/_pdf,W1535205118,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2003,Phase equilibria and microstructure evolution of Al–Mo–Ti ternary alloys,Rikiya Nino; Juri Fujinaka; Hiroyuki Shimamura; Seiji Miura; Tetsuo Mohri,Intermetallics,11,6,611-623,10.1016/s0966-9795(03)00049-9,article,15,,W1987738162,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2003,"Thermal conductivity and thermal expansion of Ir3X (X = Ti, Zr, Hf, V, Nb, Ta) compounds for high-temperature applications",Yoshihiro Terada; Kenji Ohkubo; Seiji Miura; J. M. Sánchez; Tetsuo Mohri,Materials Chemistry and Physics,80,2,385-390,10.1016/s0254-0584(02)00109-8,article,29,,W2090279094,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2003,Thermal conductivity and thermal expansion of L12 intermetallic compounds based on rhodium,Yoshihiro Terada; Kenji Ohkubo; Seiji Miura; J. M. Sánchez; Tetsuo Mohri,Journal of Alloys and Compounds,354,1-2,202-207,10.1016/s0925-8388(03)00006-9,article,28,,W2052044588,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2002,Effect of Additives on the Phase Equilibria Related to the E21-Fe3AlC Intermetalic Compound with Carbon Atom at the Interstitial Site,Hiroaki Ishii; Seiji Miura; Tetsuo Mohri,MRS Proceedings,753,,,10.1557/proc-753-bb5.29,article,1,,W2009667847,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2002,Fabrication of ternary iron disilicides as thermoelectric semiconductors by sintering using elemental powders,Yoriko Ohta; Seiji Miura; Yoshinao Mishima,,81,,295-298,10.1109/ict.1997.667132,article,0,,W2168567192,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2002,Investigation on Additional Hardening Mechanisms in Off-Stoichiometric Al-Rich Ni3Al Alloys in Terms of Anti-Site Defect Configuration,Seiji Miura; Satoshi Takizawa; Yoshinao Mishima; Tetsuo Mohri,MRS Proceedings,753,,,10.1557/proc-753-bb1.5,article,0,,W2027146786,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2001,Alloy design of Nb5Si3 composite with a fine lamellar structure for ultra-high temperature application,Nobuaki Sekido; Fu-Gao Wei; Yoshisato Kimura; Seiji Miura; Yoshinao Mishima,Tokyo Tech Research Repository (Tokyo Institute of Technology),,,,,article,0,,W3154907806,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2001,"Liquidus and solidus temperatures of Ni-solid solution in Ni-Al-X (X: V, Nb and Ta) ternary systems",Seiji Miura; Yong-Myong Hong; Tomoo Suzuki; Yoshinao Mishima,Journal of Phase Equilibria and Diffusion,22,3,345-351,10.1361/105497101770338860,article,17,,W4248183187,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2001,Microstructural control of Al3Ti-based alloys designed by multi-component phase diagrams,Seiji Miura; Juri Fujinaka; Tetsuo Mori,,,,287-300,,article,2,,W3159775369,所属確認済み（北海道大学）
2001,Microstructural evolution and mechanical properties of Al3Ti-based multi-phase alloys,Seiji Miura; Juri Fujinaka; Rikiya Nino; Tetsuo Mohri,,646,,,,article,0,,W3156790273,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2001,Reinvestigation of Ni-solid solution/liquid equilibria in Ni-Al binary and Ni-Al-Zr ternary systems,Seiji Miura; Hiroto Unno; Tetsuro Yamazaki; Satoshi Takizawa; Tetsuo Mohri,Journal of Phase Equilibria and Diffusion,22,4,457-462,10.1361/105497101770333027,article,29,,W2014719521,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2001,The behavior of cracking in Mo3Al–Mo3Al8 two-phase intermetallics with lamellar structures,Rikiya Nino; Seiji Miura; Tetsuo Mohri,Intermetallics,9,2,113-118,10.1016/s0966-9795(00)00106-0,article,17,,W2038540633,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2000,"Characterization of phase transformations, long range order and thermal properties of Ni_{2}MnGa alloys",Hideki Hosoda; Tsuyoshi Sugimoto; Kenji Ohkubo; Seiji Miura; Tetsuo Mohri; Shuichi Miyazaki,International Journal of Applied Electromagnetics and Mechanics,12,1-2,9-17,10.3233/jae-2000-189,article,14,,W1198248126,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2000,Compressive mechanical properties of multi-phase alloys based on B2 CoAl and E21 Co3AlC,Yoshisato Kimura; Masaru Takahashi; Hideki Hosoda; Seiji Miura; Yoshinao Mishima,Intermetallics,8,7,749-757,10.1016/s0966-9795(00)00006-6,article,24,,W2070050150,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2000,Deformation Behavior of Mg Alloy Single Crystals at Various Temperatures,Seiji Miura; Suguru Yamamoto; Kenji Ohkubo; Tetsuo Mohri,Materials science forum,350-351,,183-190,10.4028/www.scientific.net/msf.350-351.183,article,20,https://doi.org/10.4028/www.scientific.net/msf.350-351.183,W2109551824,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2000,Effect of E21-Fe3AlC Precipitation on Mechanical Properties of γ -Austenite Stabilized by Addition of Mn and Co,Seiji Miura; Hiroaki Ishii; Tetsuo Mohri,MRS Proceedings,646,,,10.1557/proc-646-n5.20.1,article,6,,W2317271769,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2000,"Effect of Lamellar Spacing on the Mechanical Properties of (Nb)/(Nb, Ti)5Si3 Two-Phase Alloys",Nobuaki Sekido; Yoshisato Kimura; Fu-Gao Wei; Seiji Miura; Yoshinao Mishima,Journal of the Japan Institute of Metals and Materials,64,11,1056-1061,10.2320/jinstmet1952.64.11_1056,article,31,https://www.jstage.jst.go.jp/article/jinstmet1952/64/11/64_11_1056/_pdf,W2606974616,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2000,"Mechanical properties of Rh-based L12 intermetallic compounds Rh3Ti, Rh3Nb and Rh3Ta",Seiji Miura; Keiichi Honma; Yoshihiro Terada; J. M. Sánchez; Tetsuo Mohri,Intermetallics,8,7,785-791,10.1016/s0966-9795(00)00012-1,article,35,,W2027588635,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2000,Microstructural Evolution and Mechanical Properties of Al3-based Multi-Phase Alloys,Seiji Miura; Juri Fujinaka; Rikiya Nino; Tetsuo Mohri,MRS Proceedings,646,,,10.1557/proc-646-n5.15.1,article,0,,W2277959823,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2000,Phase Equilibria in Nb&ndash;Mo-Rich Zone of the Nb&ndash;Si&ndash;Mo Ternary System,Chaoli Ma; Yi Tan; Hisao Tanaka; Aoki Kasama; Ryohei Tanaka; Seiji Miura; Y. Mishima; Shuji Hanada,Materials Transactions JIM,41,10,1329-1336,10.2320/matertrans1989.41.1329,article,26,https://www.jstage.jst.go.jp/article/matertrans1989/41/10/41_10_1329/_pdf,W4250206547,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2000,Reaction-Diffusion Equation for Dislocation Multiplication Process,Tetsuya Shoji; Seiji Miura; Tetsuo Mohri,Materials Transactions JIM,41,5,585-588,10.2320/matertrans1989.41.585,article,0,https://www.jstage.jst.go.jp/article/matertrans1989/41/5/41_5_585/_pdf,W2086702316,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2000,Thermal conductivity of Ni-Al powder compacts for reaction synthesis,Seiji Miura; Yoshihiro Terada; Tomoo Suzuki; C.T. Liu; Yoshinao Mishima,Intermetallics,8,2,151-155,10.1016/s0966-9795(99)00080-1,article,23,,W2003120812,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1999,Effect of Niobium or Vanadium Addition on the Microstructure and Hardness of MoSi2-Mo5Si3 Eutectic Alloys,Toshihiko Fukui; Shunkichi Ueno; Ryohei Tanaka; Seiji Miura; Yoshinao Mishima,Journal of the Japan Institute of Metals and Materials,63,5,613-616,10.2320/jinstmet1952.63.5_613,article,4,https://www.jstage.jst.go.jp/article/jinstmet1952/63/5/63_5_613/_pdf,W2605706004,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1999,Formation of Microstructures in the Molybdenum-Aluminum-Titanium Ternary System through Eutectoid Decomposition,Rikiya Nino; Seiji Miura; Tetsuo Mohri,Materials Transactions JIM,40,9,935-937,10.2320/matertrans1989.40.935,article,6,https://www.jstage.jst.go.jp/article/matertrans1989/40/9/40_9_935/_pdf,W2047752856,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1999,"Liquidus and solidus temperatures of Ni-solid solution in Ni-Al-X (X: Ti, Zr, and Hf) ternary systems",Seiji Miura; Yong-Myong Hong; T. Suzuki; Y. Mishima,Journal of Phase Equilibria and Diffusion,20,3,193-198,10.1361/105497199770335712,article,28,,W2106902095,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1999,Phase Transformation of MoSi2 Phase in MoSi2/Mo5Si3 Eutectic Alloy Containing Nb,Shunkichi Ueno; Toshihiko Fukui; Ryohei Tanaka; Seiji Miura; Yoshinao Mishima,Materials Transactions JIM,40,5,369-372,10.2320/matertrans1989.40.369,article,5,https://www.jstage.jst.go.jp/article/matertrans1989/40/5/40_5_369/_pdf,W2315570705,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1999,Superplastic Forming of Corrosion Resistant CuZnSn Alloys,Ryosuke Matsubara; Nobuyuki Ashie; Kazuhiro Nakamura; Seiji Miura,Materials science forum,304-306,,753-758,10.4028/www.scientific.net/msf.304-306.753,article,4,https://doi.org/10.4028/www.scientific.net/msf.304-306.753,W2045605265,所属確認済み（北海道大学）
1999,Tensile and creep rupture properties of Co + Co{sub 3}AlC{sub 0.5} two-phase alloys,Ryo Ishibashi; Shinya Nakamura; Yuki Aono; Seiji Miura; Yoshinao Mishima,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),,,,,article,0,,W3213596706,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1999,Thermoelectric semiconductor iron disilicides produced by sintering elemental powders,Yoriko Ohta; Seiji Miura; Yoshinao Mishima,Intermetallics,7,11,1203-1210,10.1016/s0966-9795(99)00021-7,article,44,,W2021390702,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1999,Transient Behavior of a Stress-Strain Curve within Cottrell-Stokes Law,Tetsuya Shoji; Munekazu Ohno; Seiji Miura; Tetsuo Mohri,Materials Transactions JIM,40,9,875-878,10.2320/matertrans1989.40.875,article,1,https://www.jstage.jst.go.jp/article/matertrans1989/40/9/40_9_875/_pdf,W2042022840,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1998,Effect of Additives on Eutectoid Reaction and Mechanical Properties of Nb-Nb5Si3 Alloys,Seiji Miura; Yasuhiko Saeki; Tetsuo Mohri,MRS Proceedings,552,,,10.1557/proc-552-kk6.9.1,article,7,,W1976121592,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1998,Tensile and Creep Rupture Properties of Co + Co3AIC0.5 Two-Phase Alloys,Ryo Ishibashi; Shinya Nakamura; Y. Aono; Seiji Miura; Yoshinao Mishima,MRS Proceedings,552,,,10.1557/proc-552-kk5.32.1,article,0,,W2312678485,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1998,単結晶Cu3Pt合金の低温強化と強度と正の温度依存症,Kazuhiro Mitsui; Seiji Miura; Yoshinao Mishima,Institutional Repositories DataBase (IRDB),22,,223-230,10.34411/00000805,article,0,https://kait.repo.nii.ac.jp/record/812/files/kkb-022-033.pdf,W7143785778,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1997,Amount of liquid phase during reaction synthesis of nickel aluminides,Seiji Miura; T. Ohashi; Yoshinao Mishima,Intermetallics,5,1,45-59,10.1016/s0966-9795(96)00065-9,article,24,,W2006849618,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1997,"High-Temperature Creep Behavior in Ni3(Al, Ta) Single Crystals with Different Orientations",Zhi-Lun Peng; Seiji Miura; Yoshinao Mishima,Materials Transactions JIM,38,7,653-655,10.2320/matertrans1989.38.653,article,8,https://www.jstage.jst.go.jp/article/matertrans1989/38/7/38_7_653/_pdf,W2022413781,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1997,"L12 (Al,Cr)3Ti-based two-phase intermetallic compounds-I. Plastic deformation behavior",J.Y. Park; Myung-Hoon Oh; Dang-Moon Wee; Seiji Miura; Yoshinao Mishima,Scripta Materialia,36,7,795-800,10.1016/s1359-6462(96)00458-7,article,15,,W1983122825,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1996,Estimation of Amount of Liquid Phase During Reaction Synthesis in the Ni-Al System.,Seiji Miura; Yoshinao Mishima,Materia Japan,35,6,632-636,10.2320/materia.35.632,article,1,https://www.jstage.jst.go.jp/article/materia1994/35/6/35_6_632/_pdf,W2323288077,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1996,Improvement in room temperature ductility of intermetallic alloys through microstructural control,Yoshinao Mishima; Masaharu Kato; Yoshisato Kimura; Hideki Hosoda; Seiji Miura,Intermetallics,4,,S171-S179,10.1016/0966-9795(96)00033-7,article,25,,W1968903201,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1996,Ni-Al系金属間化合物の反応焼結過程の検討,Seiji Miura; Yoshinao Mishima,Institutional Repositories DataBase (IRDB),35,6,632-636,,article,0,https://eprints.lib.hokudai.ac.jp/repo/huscap/all/75157/materia 35(6) 632.pdf,W7145953545,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1996,Orientation Dependence of High Temperature Creep Strength and Internal Stress in Ni3Al Alloy Single Crystals,Seiji Miura; Zhi-Lun Peng; Yoshinao Mishima,MRS Proceedings,460,,,10.1557/proc-460-431,article,2,,W2154233120,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1995,"Dislocation morphology, structure and density on (001) slip plane in Ni3(Al,Ti) single crystals deformed at elevated temperatures",Seiji Miura; J.A. Horton; C.T. Liu; Tomoo Suzuki; Yoshinao Mishima,Materials Science and Engineering A,192-193,,769-773,10.1016/0921-5093(95)03312-2,article,3,,W2072696613,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1995,Microstructural control for ductilization of multi-phase alloys based on B2 CoAl,Yoshinao Mishima; Seiji Miura; Yoshisato Kimura,Materials Science and Engineering A,192-193,,748-755,10.1016/0921-5093(94)03298-x,article,5,,W1976500748,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1995,Phase stability and relations of multi-phase alloys based on B2 CoAl and E21 Co2AlC,Yoshisato Kimura; Masaru Takahashi; Seiji Miura; Tomoo Suzuki; Yoshinao Mishima,Intermetallics,3,5,413-425,10.1016/0966-9795(95)00001-f,article,24,,W1999663099,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1994,Design of ductile Ni{sub 3}Al being two phase with NiBe,Yoshinao Mishima; Seiji Miura; Tomoo Suzuki; Takahiro Matsuo; Hideki Hosoda,,,,,,article,0,,W2471519699,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1994,Effects of aluminum concentration and compact thickness on reaction synthesis of Ni3AlNiAl alloys,Seiji Miura; C.T. Liu,Intermetallics,2,4,297-313,10.1016/0966-9795(94)90016-7,article,24,,W2089678548,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1994,"FMPT: First Material Processing Test. Fabrication of Ultra-Low Density, High Stiffness Carbon Fiber/Aluminum Alloy Composite on the Space Shuttle, SL-J.",Yoshinao Mishima; Seiji Miura; Tomoo Suzuki,The Journal of the Japan Society of Aeronautical Engineering,42,489,605-609,10.2322/jjsass1969.42.605,article,0,https://www.jstage.jst.go.jp/article/jjsass1969/42/489/42_489_605/_pdf,W2511612072,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1994,Microstructure and Mechanical Properties of The L12/L21 Two-Phase Alloys In The Quaternary Co-Al-Ni-Ti System,Takeo Matano; Yoshisato Kimura; Seiji Miura; Yoshinao Mishima,MRS Proceedings,364,,,10.1557/proc-364-1377,article,2,,W2052909899,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1994,Microstructure and Mechanical Properties of Two-Phase Alloys Based on the B2-Type Intermetallic Compound CoAl in the Co&ndash;Al&ndash;Ni Ternary System,Yoshisato Kimura; Seiji Miura; Tomoo Suzuki; Yoshinao Mishima,Materials Transactions JIM,35,11,800-807,10.2320/matertrans1989.35.800,article,31,https://www.jstage.jst.go.jp/article/matertrans1989/35/11/35_11_800/_pdf,W2087945533,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1994,Phase Stability and Mechanical Properties of Multi-Phase Alloys Based on the B2 CoA1 and the E21 Co3AlC,Yoshisato Kimura; Masaru Takahashi; Seiji Miura; Yoshinao Mishima,MRS Proceedings,364,,,10.1557/proc-364-1371,article,4,,W2106546349,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1994,"Phase Stability, Microstructure and Mechanical Properties in the Multi-Phse Alloys Based on the L12-Ni3(Al,Be)",Takahiro Matsuo; Hideki Hosoda; Seiji Miura; Yoshinao Mishima,MRS Proceedings,364,,,10.1557/proc-364-855,article,0,,W1999402699,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1994,Thermodynamical Estimations on the Amount of Liquid Phase During Reaction Synthesis of Nickel-Aluminides,Seiji Miura; Yoshinao Mishima,MRS Proceedings,364,,,10.1557/proc-364-561,article,3,,W2333698891,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1994,高剛性・超低密度炭素繊維/アルミニウム合金複合材料の製造研究,Yoshinao Mishima; Seiji Miura; Tomoo Suzuki,Institutional Repositories DataBase (IRDB),42,489,605-609,,article,0,https://hdl.handle.net/2115/75273,W7145100065,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1992,Deformation Behavior in Ni3Si Single-Crystalized by Addition of 10 at%Ti,Seiji Miura; Motoyuki Koike; Yoshinao Mishima; Tomoo Suzuki,Journal of the Japan Institute of Metals and Materials,56,11,1343-1351,10.2320/jinstmet1952.56.11_1343,article,1,https://www.jstage.jst.go.jp/article/jinstmet1952/56/11/56_11_1343/_pdf,W2605902994,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1992,Deformation Behaviour in Ni3Al Single Crystals Containing Cr Being Substituted for Both Al- and Ni-Sites,Seiji Miura; Yoshinao Mishima; Tomoo Suzuki,Journal of the Japan Institute of Metals and Materials,56,10,1214-1220,10.2320/jinstmet1952.56.10_1214,article,3,https://www.jstage.jst.go.jp/article/jinstmet1952/56/10/56_10_1214/_pdf,W2606141561,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1992,Deformation Behaviour in Ni3Al Single Crystals Containing IVB-Subgroup Element Si,Seiji Miura; Yoshinao Mishima; Tomoo Suzuki,Journal of the Japan Institute of Metals and Materials,56,10,1200-1206,10.2320/jinstmet1952.56.10_1200,article,1,https://www.jstage.jst.go.jp/article/jinstmet1952/56/10/56_10_1200/_pdf,W2607320651,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1992,Deformation Behaviour in Ni3Ge Single Crystals Containing 76 at%Ni,Seiji Miura; Motoyuki Koike; Kung Wang; Yoshinao Mishima; Tomoo Suzuki,Journal of the Japan Institute of Metals and Materials,56,10,1207-1213,10.2320/jinstmet1952.56.10_1207,article,1,https://www.jstage.jst.go.jp/article/jinstmet1952/56/10/56_10_1207/_pdf,W2606266355,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1992,Environmental effect on mechanical properties of L12-ordered (Fe22Co78)3V,Seiji Miura; C.T. Liu,Scripta Metallurgica et Materialia,26,11,1753-1758,10.1016/0956-716x(92)90547-r,article,12,,W2090291750,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1992,Plastic Deformation Behavior in Pseudo-Binary Compound Ni3Al&middot;Co3Ti Single Crystals,Seiji Miura; Haruyoshi Kuriyama; Yoshinao Mishima; Tomoo Suzuki,Journal of the Japan Institute of Metals and Materials,56,8,943-951,10.2320/jinstmet1952.56.8_943,article,8,https://www.jstage.jst.go.jp/article/jinstmet1952/56/8/56_8_943/_pdf,W2607433352,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1992,Positive temperature dependence of strength observed in ordered cu 3 pt single crystals,Seiji Miura; Kazuhiro Mitsui; Yasuhiro Tanaka; Yoshinao Mishima; Tomoo Suzuki,"Philosophical magazine. A/Philosophical magazine. A. Physics of condensed matter. Structure, defects and mechanical properties",65,3,737-747,10.1080/01418619208201546,article,9,,W1987798632,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1991,"Evaluation of the data for the plastic behaviour of Ni3(Al,X) single crystals",Tomoo Suzuki; Yoshinao Mishima; Seiji Miura,Materials Science and Engineering A,146,1-2,245-260,10.1016/0921-5093(91)90281-q,article,9,,W2060474547,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1991,"High temperature plastic behavior of Ni3(Al,X) single crystals.",Yoshinao Mishima; Seiji Miura; Tomoo Suzuki,Bulletin of the Japan Institute of Metals,30,1,6-11,10.2320/materia1962.30.6,article,1,https://www.jstage.jst.go.jp/article/materia1962/30/1/30_1_6/_pdf,W2517533274,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1990,The Compression Creep Behavior of Ni3Al-X Single Crystals,Seiji Miura; Tohru Hayashi; Mitsuhiro Takekawa; Yoshinao Mishima; Tomoo Suzuki,MRS Proceedings,213,,,10.1557/proc-213-623,article,11,,W2318465373,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1989,"Activation Energy for the Strength Anomaly in Ni3(Al,X) Single Crystals / Aktivierungsenergie der Festigkeitsanomalie in Ni3(Al,X)-Einkristallen",Seiji Miura; Yoshinao Mishima; Tomoo Suzuki,International Journal of Materials Research (formerly Zeitschrift fuer Metallkunde),80,2,112-117,10.1515/ijmr-1989-800208,article,0,,W3158544556,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1989,"CRSS for cube slip in Ni3(Al, X) single crystals at elevated temperatures",Seiji Miura; Yoshinao Mishima; Tomoo Suzuki,,80,3,157-163,,article,0,,W3084872274,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1989,"CRSS for octahedral slip in Ni3(Al, X) single crystals at elevated temperatures",Seiji Miura; Yoshinao Mishima; Tomoo Suzuki,,80,3,164-169,,article,1,,W3084458482,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1989,"Plastic behaviour in Ni3(Al,X) single crystal - Temperature, strain-rate, Orientation and composition.",Tomoo Suzuki; Yoshinao Mishima; Seiji Miura,ISIJ International,29,1,1-23,10.2355/isijinternational.29.1,article,118,https://doi.org/10.2355/isijinternational.29.1,W2052160481,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1989,"Solid Solution Hardening in Ni3(Al,X) Single Crystals / Mischkristallhärtung in Ni3(Al,X) - Einkristallen",Seiji Miura; Yoshinao Mishima; Tomoo Suzuki,International Journal of Materials Research (formerly Zeitschrift fuer Metallkunde),80,1,48-52,10.1515/ijmr-1989-800108,article,0,,W3158427910,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1989,"Solid solution hardening in Ni3(Al,X) single crystals",Seiji Miura; Yoshinao Mishima; Tomoo Suzuki,,80,,48-52,,article,1,,W3042704139,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1989,"The CRSS for Cube Slip in Ni3(Al,X) Single Crystals at Elevated Temperatures / Die kritische Schubspannung der Würfelgleitung in Ni3(Al,X)-Einkristallen bei höheren Temperaturen",Seiji Miura; Yoshinao Mishima; Tomoo Suzuki,International Journal of Materials Research (formerly Zeitschrift fuer Metallkunde),80,3,157-163,10.1515/ijmr-1989-800303,article,0,,W3157041356,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1989,"The CRSS for Octahedral Slip in Ni3(Al,X) Single Crystals at Elevated Temperature / The CRSS for Octahedral Slip in Ni3((Al,X) Single Crystals at Elevated Temperature",Seiji Miura; Yoshinao Mishima; Tomoo Suzuki,International Journal of Materials Research (formerly Zeitschrift fuer Metallkunde),80,3,164-169,10.1515/ijmr-1989-800304,article,1,,W3158753166,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
1988,Effect of Strain Rate on the Plastic Behaviour of Ll2Compounds Based on Ni3Al,Seiji Miura; Shouichi Ochiai; Yoshihiro Oya; Yoshinao Mishima; Tomoo Suzuki,MRS Proceedings,133,,,10.1557/proc-133-341,article,9,,W2314505608,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
