material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull
mp-20225,CePb3,Ce,Pb,1.0,3.0,4.89585243,-4.623510997499999,0.0
mp-2092,CePd3,Ce,Pd,1.0,3.0,4.13870757,-25.75174171,0.0
mp-1183736,CePr3,Ce,Pr,1.0,3.0,5.213929,-29.677189696250004,0.08593476999999701
mp-11318,CePt3,Ce,Pt,1.0,3.0,4.14913182,-47.35819607,0.0
mp-1518,CeRh3,Ce,Rh,1.0,3.0,4.03664664,-26.4695328975,0.0
mp-1006246,CeSm3,Ce,Sm,1.0,3.0,5.075379,-29.9319196475,0.077930782500001
mp-1911,CeSn3,Ce,Sn,1.0,3.0,4.72154731,-5.026056614999998,0.0
mp-1183732,CeTh3,Ce,Th,1.0,3.0,4.98917423,-62.7995844175,0.017019385000011
mp-20603,CeTl3,Ce,Tl,1.0,3.0,4.80610781,-47.9206055825,0.0
mp-984700,CeY3,Ce,Y,1.0,3.0,5.058812,-22.870095113749997,0.075262796250001
mp-1183698,Co3Ir,Co,Ir,3.0,1.0,3.582561,-22.964657366249998,0.050854343749999004
mp-1008349,Co3Ni,Co,Ni,3.0,1.0,3.49575341,-12.9286653,0.015651018749998
mp-1183751,CoNi3,Co,Ni,1.0,3.0,3.48721113,-12.27778092,0.024802626249999002
mp-1183687,CoPd3,Co,Pd,1.0,3.0,3.85037277,-20.527257115,0.0016408749999990001
mp-922,CoPt3,Co,Pt,1.0,3.0,3.87389884,-6.384230594999998,0.0
mp-1183704,CoRh3,Co,Rh,1.0,3.0,3.766397999999999,-21.345245461250002,0.06548379374999701
mp-1018081,CrFe3,Cr,Fe,1.0,3.0,3.56403,-8.71577486,0.050002915
mp-12083,CrIr3,Cr,Ir,1.0,3.0,3.81417244,-43.2963142925,0.0
mp-1007974,CrNi3,Cr,Ni,1.0,3.0,3.544565,-12.7466733575,0.007950109999999
mp-865786,CrPd3,Cr,Pd,1.0,3.0,3.89097501,-21.1158674075,0.0
mp-2515,CrPt3,Cr,Pt,1.0,3.0,3.8959526700000002,-42.726792215,0.0
mp-12585,CrRh3,Cr,Rh,1.0,3.0,3.79056417,-22.017710365,0.0
mp-1185543,CsK3,Cs,K,1.0,3.0,7.03429394,-10.772417835,0.018393367187499
mp-1183945,CsRb3,Cs,Rb,1.0,3.0,7.39196596,-0.9351089375000001,0.027286009461205
mp-1184008,Cu3As,Cu,As,3.0,1.0,3.70290901,-11.766527555,0.045452191875000006
mp-2258,Cu3Au,Cu,Au,3.0,1.0,3.73538756,-3.929439755,0.0
mp-580357,Cu3Pd,Cu,Pd,3.0,1.0,3.666153699999999,-13.970323485,0.004421831071429
mp-12086,Cu3Pt,Cu,Pt,3.0,1.0,3.68309189,-21.16740301,0.0
mp-1183969,Cu3Sb,Cu,Sb,3.0,1.0,3.897337,-14.495137238749999,0.06653869375
mp-2103,CuAu3,Cu,Au,1.0,3.0,4.01290166,-3.497847415000002,0.006434499999997001
mp-1184060,Dy3Al,Dy,Al,3.0,1.0,4.73729622,-25.8941770775,0.033405418125003
mp-1184100,Dy3Er,Dy,Er,3.0,1.0,5.00359664,-32.4186028775,0.049108332916667004
mp-984713,Dy3Ga,Dy,Ga,3.0,1.0,4.720686,-27.154459295937503,0.095111769843747
mp-1184059,Dy3Hg,Dy,Hg,3.0,1.0,4.8052209999999995,-36.524974645,0.09234721749999801
mp-1184065,Dy3Ho,Dy,Ho,3.0,1.0,5.01315953,-32.161756765,0.05228277750000301
mp-20786,Dy3In,Dy,In,3.0,1.0,4.82695394,-29.9820269875,0.010385917500002001
mp-1184064,Dy3Tm,Dy,Tm,3.0,1.0,4.99704086,-32.7197319775,0.046882513750006
