dopant,E_sub_A_eV,E_sub_2a_eV,E_sub_6h_eV,dE_A_minus_B_eV,preference
Cr,0.7101736166227521,0.877983857140201,0.7729930552882465,-0.06281943866549433,A(4f)
V,0.5446660618123484,0.8059329628264109,0.6018085553642365,-0.05714249355188805,A(4f)
