config_index,n_fe,n_v,composition,converged,energy_per_atom_original,energy_per_atom_corrected,correction_applied,gf_function,formation_energy_Jmol
73,5,3,Fe5V3,1,-8.4317769575,-8.4317769575,0.0,GF3V024,78093.44804490011
74,5,3,Fe5V3,0,-8.425329625,-8.940478126038405,-0.5151485010384054,GF3V025,-314562.8099265238
76,5,3,Fe5V3,0,-8.5629644275,-9.078112928538406,-0.5151485010384054,GF3V026,-420800.3612802246
81,5,3,Fe5V3,0,-8.42686530625,-8.942013807288406,-0.5151485010384054,GF3V027,-315748.17156977457
82,5,3,Fe5V3,1,-8.4244583975,-8.4244583975,0.0,GF3V028,83742.49813770001
84,5,3,Fe5V3,1,-8.425439635,-8.425439635,0.0,GF3V029,82985.10053620033
88,5,3,Fe5V3,0,-8.4437652375,-8.958913738538405,-0.5151485010384054,GF3V030,-328792.89050302334
97,5,3,Fe5V3,1,-8.4317767075,-8.4317767075,0.0,GF3V031,78093.64101490099
98,5,3,Fe5V3,1,-8.43177520125,-8.43177520125,0.0,GF3V032,78094.80365915052
100,5,3,Fe5V3,1,-8.43177691,-8.43177691,0.0,GF3V033,78093.4847092004
104,5,3,Fe5V3,1,-8.431777785,-8.431777785,0.0,GF3V034,78092.80931420074
112,5,3,Fe5V3,1,-8.4566858625,-8.4566858625,0.0,GF3V035,58866.76245349996
131,5,3,Fe5V3,1,-8.42446789625,-8.42446789625,0.0,GF3V036,83735.16624255008
133,5,3,Fe5V3,0,-8.42792600875,-8.943074509788405,-0.5151485010384054,GF3V037,-316566.90661547333
134,5,3,Fe5V3,1,-8.431777355,-8.431777355,0.0,GF3V038,78093.14122260078
137,5,3,Fe5V3,1,-8.43177669625,-8.43177669625,0.0,GF3V039,78093.64969855103
138,5,3,Fe5V3,1,-8.4338366925,-8.4338366925,0.0,GF3V040,76503.57979310045
140,5,3,Fe5V3,0,-8.42747114125,-8.942619642288406,-0.5151485010384054,GF3V041,-316215.8034895745
145,5,3,Fe5V3,1,-8.43177687,-8.43177687,0.0,GF3V042,78093.51558440021
146,5,3,Fe5V3,1,-8.43177699375,-8.43177699375,0.0,GF3V043,78093.42006424985
148,5,3,Fe5V3,1,-8.5817388375,-8.5817388375,0.0,GF3V044,-37659.12788949937
152,5,3,Fe5V3,1,-8.43177677125,-8.43177677125,0.0,GF3V045,78093.59180755036
161,5,3,Fe5V3,1,-8.43384076625,-8.43384076625,0.0,GF3V046,76500.43534695011
162,5,3,Fe5V3,1,-8.433839845,-8.433839845,0.0,GF3V047,76501.14644140066
164,5,3,Fe5V3,1,-8.4338426175,-8.4338426175,0.0,GF3V048,76499.00640410048
168,5,3,Fe5V3,0,-8.4435275725,-8.958676073538406,-0.5151485010384054,GF3V049,-328609.44164282456
176,5,3,Fe5V3,0,-6.4916748775,-7.006823378538406,-0.5151485010384054,GF3V050,1177986.6165737757
193,5,3,Fe5V3,1,-8.424468115,-8.424468115,0.0,GF3V051,83734.99739380051
194,5,3,Fe5V3,1,-8.433838155,-8.433838155,0.0,GF3V052,76502.45091860028
196,5,3,Fe5V3,1,-8.433840215,-8.433840215,0.0,GF3V053,76500.86084580034
200,5,3,Fe5V3,1,-8.43383698125,-8.43383698125,0.0,GF3V054,76503.35691275052
208,5,3,Fe5V3,1,-8.4566841775,-8.4566841775,0.0,GF3V055,58868.06307130062
224,5,3,Fe5V3,0,-6.491785295,-7.006933796038405,-0.5151485010384054,GF3V056,1177901.3875138762
15,4,4,Fe4V4,0,-6.4029730225,-7.351735047331178,-0.9487620248311774,GF4V001,978176.471666011
23,4,4,Fe4V4,1,-8.6073922425,-8.6073922425,0.0,GF4V002,8959.795859100843
27,4,4,Fe4V4,1,-8.60738445,-8.60738445,0.0,GF4V003,8965.810734000794
29,4,4,Fe4V4,1,-8.6076580475,-8.6076580475,0.0,GF4V004,8754.626295701051
30,4,4,Fe4V4,1,-8.60737323375,-8.60737323375,0.0,GF4V005,8974.46833305071
39,4,4,Fe4V4,1,-8.60739313125,-8.60739313125,0.0,GF4V006,8959.109850750985
43,4,4,Fe4V4,1,-8.6073851725,-8.6073851725,0.0,GF4V007,8965.2530506999
45,4,4,Fe4V4,1,-8.60738452375,-8.60738452375,0.0,GF4V008,8965.753807850884
46,4,4,Fe4V4,1,-8.61361553,-8.61361553,0.0,GF4V009,4156.164703600066
51,4,4,Fe4V4,0,-8.6114867025,-9.560248727331178,-0.9487620248311774,GF4V010,-726531.0676523892
53,4,4,Fe4V4,1,-8.5472129,-8.5472129,0.0,GF4V011,55411.02674800059
54,4,4,Fe4V4,1,-8.56566622,-8.56566622,0.0,GF4V012,41167.2781064
57,4,4,Fe4V4,1,-8.56566677875,-8.56566677875,0.0,GF4V013,41166.84681845065
