config_index,n_fe,n_v,composition,converged,energy_per_atom_original,energy_per_atom_corrected,correction_applied,gf_function,formation_energy_Jmol
63,2,6,Fe2V6,True,-8.93254539625,-8.93254539625,0.0,GF6V001,-118517.72362937396
64,7,1,Fe7V1,True,-8.4327557325,-8.4327557325,0.0,GF1V007,-65944.24378458741
65,6,2,Fe6V2,True,-8.51927948,-8.51927948,0.0,GF2V016,-66089.36084277442
66,6,2,Fe6V2,True,-8.51927933875,-8.51927933875,0.0,GF2V017,-66089.25181472431
67,5,3,Fe5V3,True,-8.62204767625,-8.62204767625,0.0,GF3V021,-78773.24300211226
68,6,2,Fe6V2,True,-8.51927948125,-8.51927948125,0.0,GF2V018,-66089.36180762519
69,5,3,Fe5V3,True,-8.62204767625,-8.62204767625,0.0,GF3V022,-78773.24300211226
70,5,3,Fe5V3,True,-8.62676975375,-8.62676975375,0.0,GF3V023,-82418.12018281249
71,4,4,Fe4V4,True,-8.73372365375,-8.73372365375,0.0,GF4V016,-98332.86335269909
72,6,2,Fe6V2,True,-8.51927929625,-8.51927929625,0.0,GF2V019,-66089.21900982433
73,5,3,Fe5V3,True,-8.62676974875,-8.62676974875,0.0,GF3V024,-82418.11632341218
74,5,3,Fe5V3,True,-8.62204767625,-8.62204767625,0.0,GF3V025,-78773.24300211226
75,4,4,Fe4V4,True,-8.73372374625,-8.73372374625,0.0,GF4V017,-98332.9347515995
76,5,3,Fe5V3,True,-8.62204767625,-8.62204767625,0.0,GF3V026,-78773.24300211226
77,4,4,Fe4V4,True,-8.7337237125,-8.7337237125,0.0,GF4V018,-98332.90870064941
78,4,4,Fe4V4,True,-8.73372379,-8.73372379,0.0,GF4V019,-98332.96852135024
79,3,5,Fe3V5,False,-8.796179065,-8.794393140318181,0.001785924681819,GF5V007,-78521.59348283459
80,6,2,Fe6V2,True,-8.559665535,-8.559665535,0.0,GF2V020,-97262.54897617504
81,5,3,Fe5V3,True,-8.62204768125,-8.62204768125,0.0,GF3V027,-78773.24686151257
82,5,3,Fe5V3,True,-8.62204674875,-8.62204674875,0.0,GF3V028,-78772.52708341197
83,4,4,Fe4V4,True,-8.591931655,-8.591931655,0.0,GF4V020,11113.544642450603
84,5,3,Fe5V3,True,-8.62204767,-8.62204767,0.0,GF3V029,-78773.23817786254
85,4,4,Fe4V4,True,-8.6538080025,-8.6538080025,0.0,GF4V021,-36647.570465849516
86,4,4,Fe4V4,False,-8.70643032875,-8.700292693352274,0.0061376353977262,GF4V022,-72528.17364090313
87,3,5,Fe3V5,True,-8.7786826625,-8.7786826625,0.0,GF5V008,-66394.98986453643
88,5,3,Fe5V3,True,-8.6220459375,-8.6220459375,0.0,GF3V030,-78771.90089576159
89,4,4,Fe4V4,True,-8.70657546125,-8.70657546125,0.0,GF4V023,-77377.71652580019
90,4,4,Fe4V4,True,-8.65380857125,-8.65380857125,0.0,GF4V024,-36648.0094725995
91,3,5,Fe3V5,True,-8.778682625,-8.778682625,0.0,GF5V009,-66394.96091903678
92,4,4,Fe4V4,True,-8.59193178625,-8.59193178625,0.0,GF4V025,11113.443333199762
93,3,5,Fe3V5,True,-8.7786815425,-8.7786815425,0.0,GF5V010,-66394.1253589362
94,3,5,Fe3V5,True,-8.7786844075,-8.7786844075,0.0,GF5V011,-66396.33679513681
95,2,6,Fe2V6,True,-8.932545965,-8.932545965,0.0,GF6V002,-118518.16263612395
96,6,2,Fe6V2,True,-8.56963274375,-8.56963274375,0.0,GF2V021,-104956.03806612505
97,5,3,Fe5V3,True,-8.62676976,-8.62676976,0.0,GF3V031,-82418.1250070622
98,5,3,Fe5V3,True,-8.6267697475,-8.6267697475,0.0,GF3V032,-82418.11535856141
99,4,4,Fe4V4,False,-8.70643086625,-8.700292693352274,0.0061381728977263,GF4V026,-72528.17364090313
100,5,3,Fe5V3,True,-8.626769745,-8.626769745,0.0,GF3V033,-82418.11342886262
101,4,4,Fe4V4,True,-8.70657552875,-8.70657552875,0.0,GF4V027,-77377.76862769903
102,4,4,Fe4V4,True,-8.72096222125,-8.72096222125,0.0,GF4V028,-88482.56883459938
103,3,5,Fe3V5,True,-8.80757192875,-8.80757192875,0.0,GF5V012,-88694.03669758727
104,5,3,Fe5V3,True,-8.626769755,-8.626769755,0.0,GF3V034,-82418.12114766189
105,4,4,Fe4V4,True,-8.72096230375,-8.72096230375,0.0,GF4V029,-88482.63251469916
106,4,4,Fe4V4,True,-8.70658049375,-8.70658049375,0.0,GF4V030,-77381.60101189939
107,3,5,Fe3V5,True,-8.807571375,-8.807571375,0.0,GF5V013,-88693.60926903688
108,4,4,Fe4V4,True,-8.70657619375,-8.70657619375,0.0,GF4V031,-77378.28192789899
109,3,5,Fe3V5,True,-8.80757190125,-8.80757190125,0.0,GF5V014,-88694.0154708869
110,3,5,Fe3V5,True,-8.8075716475,-8.8075716475,0.0,GF5V015,-88693.81960633646
111,2,6,Fe2V6,False,-8.9025978925,-8.9006931104,0.0019047820999986,GF6V003,-93931.58122747707
112,5,3,Fe5V3,True,-8.64972525125,-8.64972525125,0.0,GF3V035,-100137.00959311244
113,4,4,Fe4V4,True,-8.73372372125,-8.73372372125,0.0,GF4V032,-98332.91545459928
114,4,4,Fe4V4,True,-8.73372366375,-8.73372366375,0.0,GF4V033,-98332.87107149971
115,3,5,Fe3V5,True,-8.77868346,-8.77868346,0.0,GF5V016,-66395.60543883663
116,4,4,Fe4V4,True,-8.733723615,-8.733723615,0.0,GF4V034,-98332.83344235003
117,3,5,Fe3V5,True,-8.77868256625,-8.77868256625,0.0,GF5V017,-66394.91557108646
118,3,5,Fe3V5,True,-8.80757134125,-8.80757134125,0.0,GF5V018,-88693.58321808677
119,2,6,Fe2V6,True,-8.8943264525,-8.8943264525,0.0,GF6V004,-89017.28532762428
120,4,4,Fe4V4,True,-8.73372368375,-8.73372368375,0.0,GF4V035,-98332.88650909963
121,3,5,Fe3V5,True,-8.807571405,-8.807571405,0.0,GF5V019,-88693.63242543605
122,3,5,Fe3V5,True,-8.77868209125,-8.77868209125,0.0,GF5V020,-66394.54892808628
123,2,6,Fe2V6,True,-8.894322835,-8.894322835,0.0,GF6V005,-89014.49305172497
