config_index,config_name,n_fe,n_v,converged,energy_per_atom,sro,sublattice_diff,E_vegard,E_deviation
201,config_201_Fe4V4,4.0,4.0,1.0,-8.56566270375,0.0,0.0,-8.619,0.05333729624999961
202,config_202_Fe4V4,4.0,4.0,1.0,-8.547211615,0.0,0.0,-8.619,0.07178838499999962
203,config_203_Fe3V5,3.0,5.0,1.0,-8.73486497375,0.19999999999999996,-0.25,-8.70505,-0.02981497374999975
204,config_204_Fe4V4,4.0,4.0,0.0,-8.61149591625,0.0,0.0,-8.619,0.007504083749999779
205,config_205_Fe3V5,3.0,5.0,1.0,-8.73486831375,0.19999999999999996,-0.25,-8.70505,-0.02981831375000077
206,config_206_Fe3V5,3.0,5.0,1.0,-8.7348693025,0.19999999999999996,-0.25,-8.70505,-0.029819302499999978
207,config_207_Fe2V6,2.0,6.0,1.0,-8.88699473,1.0,-0.5,-8.7911,-0.09589472999999948
208,config_208_Fe5V3,5.0,3.0,1.0,-8.4566841775,-1.0,0.75,-8.53295,0.07626582249999991
209,config_209_Fe4V4,4.0,4.0,1.0,-8.60765324375,-0.5,0.5,-8.619,0.011346756249999146
210,config_210_Fe4V4,4.0,4.0,0.0,-6.392953565,-0.5,0.5,-8.619,2.2260464349999998
211,config_211_Fe3V5,3.0,5.0,0.0,-6.2277847925,-0.19999999999999996,0.25,-8.70505,2.4772652075000003
212,config_212_Fe4V4,4.0,4.0,1.0,-8.60737969625,-0.5,0.5,-8.619,0.011620303750000005
213,config_213_Fe3V5,3.0,5.0,1.0,-8.734867625,-0.19999999999999996,0.25,-8.70505,-0.029817624999999737
214,config_214_Fe3V5,3.0,5.0,1.0,-8.731702955,-0.19999999999999996,0.25,-8.70505,-0.026652954999999423
215,config_215_Fe2V6,2.0,6.0,1.0,-8.84879208,0.0,0.0,-8.7911,-0.0576920800000007
216,config_216_Fe4V4,4.0,4.0,1.0,-8.60738852625,-0.5,0.5,-8.619,0.01161147374999949
217,config_217_Fe3V5,3.0,5.0,1.0,-8.73170530375,-0.19999999999999996,0.25,-8.70505,-0.02665530374999925
218,config_218_Fe3V5,3.0,5.0,1.0,-8.7348653825,-0.19999999999999996,0.25,-8.70505,-0.02981538250000071
219,config_219_Fe2V6,2.0,6.0,1.0,-8.84879282875,0.0,0.0,-8.7911,-0.05769282874999959
220,config_220_Fe3V5,3.0,5.0,1.0,-8.73486706375,-0.19999999999999996,0.25,-8.70505,-0.029817063750000372
221,config_221_Fe2V6,2.0,6.0,1.0,-8.84879381875,0.0,0.0,-8.7911,-0.05769381874999979
222,config_222_Fe2V6,2.0,6.0,1.0,-8.84879110125,0.0,0.0,-8.7911,-0.05769110125000054
223,config_223_Fe1V7,1.0,7.0,1.0,-8.91308127625,1.0,-0.25,-8.87715,-0.035931276250000366
224,config_224_Fe5V3,5.0,3.0,0.0,-6.491785295,-1.0,0.75,-8.53295,2.041164705
225,config_225_Fe4V4,4.0,4.0,1.0,-8.6076507475,-0.5,0.5,-8.619,0.011349252500000517
226,config_226_Fe4V4,4.0,4.0,1.0,-8.60739314625,-0.5,0.5,-8.619,0.011606853749999146
227,config_227_Fe3V5,3.0,5.0,1.0,-8.7348696025,-0.19999999999999996,0.25,-8.70505,-0.02981960249999993
228,config_228_Fe4V4,4.0,4.0,1.0,-8.6073865,-0.5,0.5,-8.619,0.011613499999999277
229,config_229_Fe3V5,3.0,5.0,1.0,-8.73486691625,-0.19999999999999996,0.25,-8.70505,-0.029816916250000602
230,config_230_Fe3V5,3.0,5.0,0.0,-8.73134534625,-0.19999999999999996,0.25,-8.70505,-0.026295346250000406
231,config_231_Fe2V6,2.0,6.0,1.0,-8.8487911025,0.0,0.0,-8.7911,-0.05769110249999976
232,config_232_Fe4V4,4.0,4.0,1.0,-8.60739497375,-0.5,0.5,-8.619,0.011605026249998929
