config_index,config_name,composition,n_fe,n_v,converged,total_energy,energy_per_atom,n_atoms,n_iterations,total_magnetization,magmom_per_atom,x_V,dH_f_eV,dH_f_Jmol,energy_per_atom_corrected,correction_applied,dH_f_eV_corrected,dH_f_Jmol_corrected,sublattice_order
28,config_028_Fe5V3,Fe5V3,5,3,True,-68.97638141,-8.62204767625,8,17,8.017519,,0.375,-0.8164299424999975,-78773.24300211226,-8.62204767625,0.0,-0.8164299424999975,-78773.24300211226,0.25
29,config_029_Fe4V4,Fe4V4,4,4,True,-69.86978949,-8.73372368625,8,16,4.8614161,,0.5,-1.0191520799999978,-98332.88843879978,-8.73372368625,0.0,-1.0191520799999978,-98332.88843879978,0.5
30,config_030_Fe4V4,Fe4V4,4,4,True,-69.86978937,-8.73372367125,8,16,4.861438,,0.5,-1.019151960000002,-98332.8768606002,-8.73372367125,0.0,-1.019151960000002,-98332.8768606002,0.5
31,config_031_Fe3V5,Fe3V5,3,5,True,-70.39002564,-8.798753205,8,18,-0.0012739,,0.625,-0.8487022874999965,-81887.04020943717,-8.798753205,0.0,-0.8487022874999965,-81887.04020943717,0.75
32,config_032_Fe7V1,Fe7V1,7,1,True,-67.46199336,-8.43274917,8,14,14.2212345,,0.125,-0.6834137774999895,-65939.17832208649,-8.43274917,0.0,-0.6834137774999895,-65939.17832208649,0.25
33,config_033_Fe6V2,Fe6V2,6,2,True,-68.15423534,-8.5192794175,8,17,10.8736075,,0.25,-0.6849698149999952,-66089.31260027454,-8.5192794175,0.0,-0.6849698149999952,-66089.31260027454,0.0
34,config_034_Fe6V2,Fe6V2,6,2,True,-67.80067303,-8.47508412875,8,23,-10.8145994,,0.25,-0.3314075049999943,-31975.853119924446,-8.47508412875,0.0,-0.3314075049999943,-31975.853119924446,0.0
35,config_035_Fe5V3,Fe5V3,5,3,True,-68.97638137,-8.62204767125,8,17,8.0174708,,0.375,-0.8164299024999941,-78773.23914271193,-8.62204767125,0.0,-0.8164299024999941,-78773.23914271193,0.25
36,config_036_Fe6V2,Fe6V2,6,2,True,-68.15423717,-8.51927964625,8,16,10.8718289,,0.25,-0.6849716449999974,-66089.48916782475,-8.51927964625,0.0,-0.6849716449999974,-66089.48916782475,0.0
37,config_037_Fe5V3,Fe5V3,5,3,True,-68.97638144,-8.62204768,8,17,8.017536,,0.375,-0.8164299724999928,-78773.24589666181,-8.62204768,0.0,-0.8164299724999928,-78773.24589666181,0.25
38,config_038_Fe5V3,Fe5V3,5,3,True,-69.01415804,-8.626769755,8,18,8.038336,,0.375,-0.8542065724999937,-82418.12114766189,-8.626769755,0.0,-0.8542065724999937,-82418.12114766189,0.25
39,config_039_Fe4V4,Fe4V4,4,4,True,-69.86979008,-8.73372376,8,16,4.8613109,,0.5,-1.0191526699999969,-98332.9453649497,-8.73372376,0.0,-1.0191526699999969,-98332.9453649497,0.5
40,config_040_Fe6V2,Fe6V2,6,2,True,-68.15423712,-8.51927964,8,16,10.8718289,,0.25,-0.6849715950000004,-66089.48434357504,-8.51927964,0.0,-0.6849715950000004,-66089.48434357504,0.0
41,config_041_Fe5V3,Fe5V3,5,3,True,-69.01415802,-8.6267697525,8,18,8.0383323,,0.375,-0.854206552499992,-82418.11921796172,-8.6267697525,0.0,-0.854206552499992,-82418.11921796172,0.25
42,config_042_Fe5V3,Fe5V3,5,3,True,-68.9763675,-8.6220459375,8,13,8.0179572,,0.375,-0.8164160324999905,-78771.90089576159,-8.6220459375,0.0,-0.8164160324999905,-78771.90089576159,0.25
43,config_043_Fe4V4,Fe4V4,4,4,True,-69.86978334,-8.7337229175,8,15,4.8618443,,0.5,-1.0191459299999934,-98332.29505604936,-8.7337229175,0.0,-1.0191459299999934,-98332.29505604936,0.5
44,config_044_Fe5V3,Fe5V3,5,3,True,-68.97638141,-8.62204767625,8,17,8.0175128,,0.375,-0.8164299424999975,-78773.24300211226,-8.62204767625,0.0,-0.8164299424999975,-78773.24300211226,0.25
45,config_045_Fe4V4,Fe4V4,4,4,True,-69.86979037,-8.73372379625,8,16,4.861248,,0.5,-1.0191529599999996,-98332.97334559995,-8.73372379625,0.0,-1.0191529599999996,-98332.97334559995,0.5
46,config_046_Fe4V4,Fe4V4,4,4,True,-69.86978888,-8.73372361,8,16,4.8615203,,0.5,-1.019151469999997,-98332.82958294972,-8.73372361,0.0,-1.019151469999997,-98332.82958294972,0.5
47,config_047_Fe3V5,Fe3V5,3,5,True,-70.7818305,-8.8477288125,8,20,0.9538782,,0.625,-1.24050714749999,-119690.33212653654,-8.8477288125,0.0,-1.24050714749999,-119690.33212653654,0.75
48,config_048_Fe6V2,Fe6V2,6,2,True,-68.47732284,-8.559665355,8,22,10.2788899,,0.25,-1.008057314999995,-97262.41003777452,-8.559665355,0.0,-1.008057314999995,-97262.41003777452,0.5
49,config_049_Fe5V3,Fe5V3,5,3,True,-68.9763814,-8.622047675,8,17,8.0174939,,0.375,-0.8164299324999895,-78773.24203726149,-8.622047675,0.0,-0.8164299324999895,-78773.24203726149,0.25
50,config_050_Fe5V3,Fe5V3,5,3,True,-68.97636751,-8.62204593875,8,13,8.0179529,,0.375,-0.8164160424999984,-78771.90186061234,-8.62204593875,0.0,-0.8164160424999984,-78771.90186061234,0.25
51,config_051_Fe4V4,Fe4V4,4,4,True,-69.23046393,-8.65380799125,8,14,0.0015666,,0.5,-0.3798265199999946,-36647.56178219948,-8.65380799125,0.0,-0.3798265199999946,-36647.56178219948,0.0
52,config_052_Fe5V3,Fe5V3,5,3,True,-68.97637018,-8.6220462725,8,14,8.0183278,,0.375,-0.8164187124999991,-78772.15947556241,-8.6220462725,0.0,-0.8164187124999991,-78772.15947556241,0.25
53,config_053_Fe4V4,Fe4V4,4,4,True,-68.73545396,-8.591931745,8,16,0.001821,,0.5,0.11518345000000352,11113.47517325034,-8.591931745,0.0,0.11518345000000352,11113.47517325034,0.0
54,config_054_Fe4V4,Fe4V4,4,4,True,-69.6526076,-8.70657595,8,22,5.6279415,,0.5,-0.8019701899999916,-77378.09378214918,-8.70657595,0.0,-0.8019701899999916,-77378.09378214918,0.0
55,config_055_Fe3V5,Fe3V5,3,5,True,-70.22945712,-8.77868214,8,17,0.0012131,,0.625,-0.6881337674999983,-66394.58655723734,-8.77868214,0.0,-0.6881337674999983,-66394.58655723734,0.25
56,config_056_Fe5V3,Fe5V3,5,3,True,-68.9763675,-8.6220459375,8,13,8.0179528,,0.375,-0.8164160324999905,-78771.90089576159,-8.6220459375,0.0,-0.8164160324999905,-78771.90089576159,0.25
57,config_057_Fe4V4,Fe4V4,4,4,True,-69.65260919,-8.70657614875,8,22,5.6276932,,0.5,-0.8019717800000024,-77378.24719330022,-8.70657614875,0.0,-0.8019717800000024,-77378.24719330022,0.0
58,config_058_Fe4V4,Fe4V4,4,4,True,-68.73545843,-8.59193230375,8,13,-0.0018707,,0.5,0.11517898000001026,11113.04388530099,-8.59193230375,0.0,0.11517898000001026,11113.04388530099,0.0
59,config_059_Fe3V5,Fe3V5,3,5,True,-70.22946647,-8.77868330875,8,37,0.0006427,,0.625,-0.6881431174999975,-66395.48869198725,-8.77868330875,0.0,-0.6881431174999975,-66395.48869198725,0.25
60,config_060_Fe4V4,Fe4V4,4,4,True,-69.23046818,-8.6538085225,8,16,-0.0039306,,0.5,-0.3798307699999981,-36647.97184344981,-8.6538085225,0.0,-0.3798307699999981,-36647.97184344981,0.0
61,config_061_Fe3V5,Fe3V5,3,5,True,-70.22945153,-8.77868144125,8,23,0.0013864,,0.625,-0.6881281774999977,-66394.04720608727,-8.77868144125,0.0,-0.6881281774999977,-66394.04720608727,0.25
62,config_062_Fe3V5,Fe3V5,3,5,True,-70.2294462,-8.778680775,8,23,0.0024431,,0.625,-0.6881228474999901,-66393.53294103654,-8.778680775,0.0,-0.6881228474999901,-66393.53294103654,0.25
63,config_063_Fe2V6,Fe2V6,2,6,True,-71.46036317,-8.93254539625,8,13,1e-07,,0.75,-1.2283538749999892,-118517.72362937396,-8.93254539625,0.0,-1.2283538749999892,-118517.72362937396,0.5
64,config_064_Fe7V1,Fe7V1,7,1,True,-67.46204586,-8.4327557325,8,12,14.2259342,,0.125,-0.6834662774999991,-65944.24378458741,-8.4327557325,0.0,-0.6834662774999991,-65944.24378458741,0.25
65,config_065_Fe6V2,Fe6V2,6,2,True,-68.15423584,-8.51927948,8,16,10.8718196,,0.25,-0.684970314999994,-66089.36084277442,-8.51927948,0.0,-0.684970314999994,-66089.36084277442,0.0
66,config_066_Fe6V2,Fe6V2,6,2,True,-68.15423471,-8.51927933875,8,16,10.871854,,0.25,-0.6849691849999928,-66089.25181472431,-8.51927933875,0.0,-0.6849691849999928,-66089.25181472431,0.0
67,config_067_Fe5V3,Fe5V3,5,3,True,-68.97638141,-8.62204767625,8,17,8.0175115,,0.375,-0.8164299424999975,-78773.24300211226,-8.62204767625,0.0,-0.8164299424999975,-78773.24300211226,0.25
68,config_068_Fe6V2,Fe6V2,6,2,True,-68.15423585,-8.51927948125,8,16,10.8718208,,0.25,-0.6849703250000019,-66089.36180762519,-8.51927948125,0.0,-0.6849703250000019,-66089.36180762519,0.0
69,config_069_Fe5V3,Fe5V3,5,3,True,-68.97638141,-8.62204767625,8,17,8.0175163,,0.375,-0.8164299424999975,-78773.24300211226,-8.62204767625,0.0,-0.8164299424999975,-78773.24300211226,0.25
70,config_070_Fe5V3,Fe5V3,5,3,True,-69.01415803,-8.62676975375,8,18,8.0383348,,0.375,-0.8542065624999999,-82418.12018281249,-8.62676975375,0.0,-0.8542065624999999,-82418.12018281249,0.25
71,config_071_Fe4V4,Fe4V4,4,4,True,-69.86978923,-8.73372365375,8,16,4.8614623,,0.5,-1.0191518199999905,-98332.86335269909,-8.73372365375,0.0,-1.0191518199999905,-98332.86335269909,0.5
72,config_072_Fe6V2,Fe6V2,6,2,True,-68.15423437,-8.51927929625,8,16,10.8718986,,0.25,-0.6849688449999931,-66089.21900982433,-8.51927929625,0.0,-0.6849688449999931,-66089.21900982433,0.0
73,config_073_Fe5V3,Fe5V3,5,3,True,-69.01415799,-8.62676974875,8,18,8.0383266,,0.375,-0.8542065224999966,-82418.11632341218,-8.62676974875,0.0,-0.8542065224999966,-82418.11632341218,0.25
74,config_074_Fe5V3,Fe5V3,5,3,True,-68.97638141,-8.62204767625,8,17,8.0175135,,0.375,-0.8164299424999975,-78773.24300211226,-8.62204767625,0.0,-0.8164299424999975,-78773.24300211226,0.25
75,config_075_Fe4V4,Fe4V4,4,4,True,-69.86978997,-8.73372374625,8,16,4.8613324,,0.5,-1.0191525599999949,-98332.9347515995,-8.73372374625,0.0,-1.0191525599999949,-98332.9347515995,0.5
76,config_076_Fe5V3,Fe5V3,5,3,True,-68.97638141,-8.62204767625,8,17,8.0175168,,0.375,-0.8164299424999975,-78773.24300211226,-8.62204767625,0.0,-0.8164299424999975,-78773.24300211226,0.25
77,config_077_Fe4V4,Fe4V4,4,4,True,-69.8697897,-8.7337237125,8,16,4.8613828,,0.5,-1.0191522899999939,-98332.90870064941,-8.7337237125,0.0,-1.0191522899999939,-98332.90870064941,0.5
78,config_078_Fe4V4,Fe4V4,4,4,True,-69.86979032,-8.73372379,8,16,4.8612564,,0.5,-1.0191529100000025,-98332.96852135024,-8.73372379,0.0,-1.0191529100000025,-98332.96852135024,0.5
79,config_079_Fe3V5,Fe3V5,3,5,False,-70.36943252,-8.796179065,8,15,1.9277174,,0.625,-0.8281091674999956,-79900.11302623707,-8.794393140318181,0.00178592468181904,-0.8138217700454433,-78521.59348283459,0.75
80,config_080_Fe6V2,Fe6V2,6,2,True,-68.47732428,-8.559665535,8,10,10.2784108,,0.25,-1.0080587550000004,-97262.54897617504,-8.559665535,0.0,-1.0080587550000004,-97262.54897617504,0.5
