config_index,config_name,composition,n_fe,n_v,converged,total_energy,energy_per_atom,n_atoms,n_iterations,total_magnetization,config_idx_int,n_v_int,x_v,E_vegard,energy_corrected,correction_applied,formation_energy_eV,formation_energy_Jmol
24,config_024_Fe6V2,Fe6V2,6.0,2.0,1.0,-66.11380899,-8.26422612375,8.0,61.0,0.0334116,24,2,0.25,-8.446900000000001,-8.26422612375,0.0,1.461391010000014,141002.31159985135
25,config_025_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.45420707,-8.43177588375,8.0,15.0,0.0049706,25,3,0.375,-8.53295,-8.43177588375,0.0,0.8093929300000084,78094.27685105082
26,config_026_Fe5V3,Fe5V3,5.0,3.0,0.0,-67.4154993,-8.4269374125,8.0,42.0,0.1083408,26,3,0.375,-8.53295,-8.942085913538405,-0.5151485010384054,-3.2730873083072325,-315803.82894202333
27,config_027_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.8590756,-8.60738445,8.0,32.0,0.0739445,27,4,0.5,-8.619,-8.60738445,0.0,0.09292440000000823,8965.810734000794
28,config_028_Fe5V3,Fe5V3,5.0,3.0,0.0,-67.42698656,-8.42837332,8.0,47.0,0.0388941,28,3,0.375,-8.53295,-8.943521821038406,-0.5151485010384054,-3.2845745683072423,-316912.17722312425
29,config_029_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.86126438,-8.6076580475,8.0,33.0,-0.4846701,29,4,0.5,-8.619,-8.6076580475,0.0,0.0907356200000109,8754.626295701051
30,config_030_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.85898587,-8.60737323375,8.0,51.0,-0.0948929,30,4,0.5,-8.619,-8.60737323375,0.0,0.09301413000000736,8974.46833305071
31,config_031_Fe3V5,Fe3V5,3.0,5.0,1.0,-70.39002576,-8.79875322,8.0,18.0,-0.0007813,31,5,0.625,-8.70505,-8.79875322,0.0,-0.7496257599999936,-72327.64145359938
32,config_032_Fe7V1,Fe7V1,7.0,1.0,0.0,-52.60704082,-6.5758801025,8.0,20.0,-0.0020706,32,1,0.125,-8.360850000000001,-8.358903993437501,-1.7830238909375007,0.015568052500000817,1502.083545462579
33,config_033_Fe6V2,Fe6V2,6.0,2.0,1.0,-66.11378739,-8.26422342375,8.0,78.0,0.0134633,33,2,0.25,-8.446900000000001,-8.26422342375,0.0,1.4614126100000107,141004.39567585103
34,config_034_Fe6V2,Fe6V2,6.0,2.0,1.0,-67.80070713,-8.47508839125,8.0,20.0,10.8117951,34,2,0.25,-8.446900000000001,-8.47508839125,0.0,-0.2255071299999969,-21758.0554380497
35,config_035_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.47071505,-8.43383938125,8.0,79.0,0.0142809,35,3,0.375,-8.53295,-8.43383938125,0.0,0.7928849500000084,76501.50440075081
36,config_036_Fe6V2,Fe6V2,6.0,2.0,1.0,-67.80068803,-8.47508600375,8.0,24.0,-10.8141197,36,2,0.25,-8.446900000000001,-8.47508600375,0.0,-0.22548802999999396,-21756.212574549416
37,config_037_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.47073353,-8.43384169125,8.0,74.0,0.0131247,37,3,0.375,-8.53295,-8.43384169125,0.0,0.7928664699999999,76499.72135795
38,config_038_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.45421315,-8.43177664375,8.0,17.0,0.0013644,38,3,0.375,-8.53295,-8.43177664375,0.0,0.8093868500000028,78093.69022225027
39,config_039_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.85914505,-8.60739313125,8.0,33.0,0.0761878,39,4,0.5,-8.619,-8.60739313125,0.0,0.0928549500000102,8959.109850750985
40,config_040_Fe6V2,Fe6V2,6.0,2.0,1.0,-66.31286399,-8.28910799875,8.0,20.0,3.2359755,40,2,0.25,-8.446900000000001,-8.28910799875,0.0,1.2623360100000127,121796.48992485122
41,config_041_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.45422651,-8.43177831375,8.0,30.0,0.0004898,41,3,0.375,-8.53295,-8.43177831375,0.0,0.8093734900000058,78092.40118265056
42,config_042_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.47073097,-8.43384137125,8.0,59.0,0.0136085,42,3,0.375,-8.53295,-8.43384137125,0.0,0.7928690299999985,76499.96835954986
43,config_043_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.85908138,-8.6073851725,8.0,49.0,-0.0618552,43,4,0.5,-8.619,-8.6073851725,0.0,0.09291861999999895,8965.2530506999
44,config_044_Fe5V3,Fe5V3,5.0,3.0,0.0,-67.41704559,-8.42713069875,8.0,57.0,-0.053744,44,3,0.375,-8.53295,-8.942279199788405,-0.5151485010384054,-3.27463359830724,-315953.022732674
45,config_045_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.85907619,-8.60738452375,8.0,35.0,0.0611758,45,4,0.5,-8.619,-8.60738452375,0.0,0.09292381000000915,8965.753807850884
46,config_046_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.90892424,-8.61361553,8.0,66.0,-0.1717484,46,4,0.5,-8.619,-8.61361553,0.0,0.043075760000000685,4156.164703600066
47,config_047_Fe3V5,Fe3V5,3.0,5.0,0.0,-50.35190474,-6.2939880925,8.0,20.0,-3.73e-05,47,5,0.625,-8.70505,-8.28248479085326,-1.9884966983532602,3.3805216731739236,326169.633636186
48,config_048_Fe6V2,Fe6V2,6.0,2.0,0.0,-52.39404219,-6.54925527375,8.0,20.0,5.942425,48,2,0.25,-8.446900000000001,-7.522907980307015,-0.9736527065570151,7.391936157543888,713210.960160622
49,config_049_Fe5V3,Fe5V3,5.0,3.0,0.0,-67.41075963,-8.42634495375,8.0,46.0,0.251421,49,3,0.375,-8.53295,-8.941493454788406,-0.5151485010384054,-3.2683476383072403,-315346.52188207407
50,config_050_Fe5V3,Fe5V3,5.0,3.0,0.0,-67.39690592,-8.42461324,8.0,78.0,0.1523911,50,3,0.375,-8.53295,-8.939761741038405,-0.5151485010384054,-3.254493928307234,-314009.8466727235
51,config_051_Fe4V4,Fe4V4,4.0,4.0,0.0,-68.89189362,-8.6114867025,8.0,31.0,-0.0007563,51,4,0.5,-8.619,-9.560248727331178,-0.9487620248311774,-7.529989818649419,-726531.0676523892
52,config_052_Fe5V3,Fe5V3,5.0,3.0,0.0,-51.57804895,-6.44725611875,8.0,20.0,-0.005008,52,3,0.375,-8.53295,-6.962404619788406,-0.5151485010384054,12.564363041692758,1212272.5680777258
53,config_053_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.3777032,-8.5472129,8.0,20.0,-0.0006449,53,4,0.5,-8.619,-8.5472129,0.0,0.5742968000000062,55411.02674800059
54,config_054_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.52532976,-8.56566622,8.0,33.0,0.0083587,54,4,0.5,-8.619,-8.56566622,0.0,0.42667024,41167.2781064
55,config_055_Fe3V5,Fe3V5,3.0,5.0,0.0,-69.87889895,-8.73486236875,8.0,47.0,-0.0035841,55,5,0.625,-8.70505,-10.72335906710326,-1.9884966983532602,-16.146472536826074,-1557892.402715664
56,config_056_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.47070367,-8.43383795875,8.0,49.0,-0.0103919,56,3,0.375,-8.53295,-8.43383795875,0.0,0.7928963299999978,76502.60240004979
57,config_057_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.52533423,-8.56566677875,8.0,16.0,0.0034213,57,4,0.5,-8.619,-8.56566677875,0.0,0.4266657700000067,41166.84681845065
58,config_058_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.37770238,-8.5472127975,8.0,16.0,0.0014284,58,4,0.5,-8.619,-8.5472127975,0.0,0.574297620000003,55411.10586570029
59,config_059_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.87895519,-8.73486939875,8.0,36.0,0.0006203,59,5,0.625,-8.70505,-8.73486939875,0.0,-0.23855518999999248,-23016.997507149274
60,config_060_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.89260665,-8.61157583125,8.0,21.0,0.0007502,60,4,0.5,-8.619,-8.61157583125,0.0,0.059393350000000567,5730.567374750055
61,config_061_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.87893118,-8.7348663975,8.0,29.0,9.69e-05,61,5,0.625,-8.70505,-8.7348663975,0.0,-0.2385311799999883,-23014.68090229887
62,config_062_Fe3V5,Fe3V5,3.0,5.0,0.0,-49.82229012,-6.227786265,8.0,20.0,1.6e-06,62,5,0.625,-8.70505,-8.21628296335326,-1.9884966983532602,3.9101362931739274,377269.5002468864
63,config_063_Fe2V6,Fe2V6,2.0,6.0,1.0,-71.09596297,-8.88699537125,8.0,28.0,9e-07,63,6,0.75,-8.7911,-8.88699537125,0.0,-0.7671629700000011,-74019.71916045011
64,config_064_Fe7V1,Fe7V1,7.0,1.0,0.0,-52.64888336,-6.58111042,8.0,20.0,0.5443244,64,1,0.125,-8.360850000000001,-8.364134310937501,-1.7830238909375007,-0.02627448750000383,-2535.0939264378694
65,config_065_Fe6V2,Fe6V2,6.0,2.0,1.0,-66.31285959,-8.28910744875,8.0,24.0,3.2272254,65,2,0.25,-8.446900000000001,-8.28910744875,0.0,1.2623404100000073,121796.9144588507
66,config_066_Fe6V2,Fe6V2,6.0,2.0,1.0,-67.80045764,-8.475057205,8.0,26.0,10.8121912,66,2,0.25,-8.446900000000001,-8.475057205,0.0,-0.22525763999999526,-21733.983395399544
67,config_067_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.47072497,-8.43384062125,8.0,50.0,-0.0123448,67,3,0.375,-8.53295,-8.43384062125,0.0,0.7928750299999976,76500.54726954977
68,config_068_Fe6V2,Fe6V2,6.0,2.0,1.0,-67.80045422,-8.4750567775,8.0,25.0,10.8142318,68,2,0.25,-8.446900000000001,-8.4750567775,0.0,-0.2252542199999965,-21733.653416699664
69,config_069_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.470714,-8.43383925,8.0,89.0,-0.0273541,69,3,0.375,-8.53295,-8.43383925,0.0,0.7928860000000029,76501.60571000028
70,config_070_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.67540762,-8.4594259525,8.0,27.0,1.0728093,70,3,0.375,-8.53295,-8.4594259525,0.0,0.5881923800000024,56751.74178430023
71,config_071_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.85902268,-8.607377835,8.0,37.0,0.0118196,71,4,0.5,-8.619,-8.607377835,0.0,0.09297732000000991,8970.916720200956
72,config_072_Fe6V2,Fe6V2,6.0,2.0,1.0,-67.80070511,-8.47508813875,8.0,18.0,-10.8135166,72,2,0.25,-8.446900000000001,-8.47508813875,0.0,-0.22550510999998608,-21757.860538348657
73,config_073_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.45421566,-8.4317769575,8.0,26.0,-0.0012798,73,3,0.375,-8.53295,-8.4317769575,0.0,0.8093843400000011,78093.44804490011
74,config_074_Fe5V3,Fe5V3,5.0,3.0,0.0,-67.402637,-8.425329625,8.0,94.0,-0.5048187,74,3,0.375,-8.53295,-8.940478126038405,-0.5151485010384054,-3.2602250083072377,-314562.8099265238
75,config_075_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.85906686,-8.6073833575,8.0,53.0,0.0881553,75,4,0.5,-8.619,-8.6073833575,0.0,0.09293314000000663,8966.654012900639
76,config_076_Fe5V3,Fe5V3,5.0,3.0,0.0,-68.50371542,-8.5629644275,8.0,100.0,7.6401895,76,3,0.375,-8.53295,-9.078112928538406,-0.5151485010384054,-4.361303428307245,-420800.3612802246
77,config_077_Fe4V4,Fe4V4,4.0,4.0,0.0,-51.14359768,-6.39294971,8.0,20.0,-0.0006542,77,4,0.5,-8.619,-7.341711734831177,-0.9487620248311774,10.218306121350587,985913.2661185113
78,config_078_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.90888021,-8.61361002625,8.0,73.0,0.1761633,78,4,0.5,-8.619,-8.61361002625,0.0,0.04311978999999866,4160.412938149871
79,config_079_Fe3V5,Fe3V5,3.0,5.0,1.0,-70.39002541,-8.79875317625,8.0,21.0,-0.0008005,79,5,0.625,-8.70505,-8.79875317625,0.0,-0.7496254100000002,-72327.60768385002
80,config_080_Fe6V2,Fe6V2,6.0,2.0,0.0,-52.39404218,-6.5492552725,8.0,20.0,5.9424337,80,2,0.25,-8.446900000000001,-7.522907979057015,-0.9736527065570151,7.391936167543889,713210.9611254722
81,config_081_Fe5V3,Fe5V3,5.0,3.0,0.0,-67.41492245,-8.42686530625,8.0,54.0,0.0680929,81,3,0.375,-8.53295,-8.942013807288406,-0.5151485010384054,-3.272510458307245,-315748.17156977457
82,config_082_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.39566718,-8.4244583975,8.0,34.0,0.0025449,82,3,0.375,-8.53295,-8.4244583975,0.0,0.86793282,83742.49813770001
83,config_083_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.37770371,-8.54721296375,8.0,24.0,-0.00143,83,4,0.5,-8.619,-8.54721296375,0.0,0.5742962899999995,55410.977540649954
84,config_084_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.40351708,-8.425439635,8.0,67.0,-0.4628615,84,3,0.375,-8.53295,-8.425439635,0.0,0.8600829200000035,82985.10053620033
85,config_085_Fe4V4,Fe4V4,4.0,4.0,0.0,-68.89189702,-8.6114871275,8.0,31.0,-0.0080177,85,4,0.5,-8.619,-9.560249152331178,-0.9487620248311774,-7.529993218649416,-726531.395701389
86,config_086_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.56418051,-8.57052256375,8.0,52.0,0.3035847,86,4,0.5,-8.619,-8.57052256375,0.0,0.3878194900000054,37418.76349265052
87,config_087_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.87894056,-8.73486757,8.0,22.0,0.0019493,87,5,0.625,-8.70505,-8.73486757,0.0,-0.23854055999999701,-23015.58593159971
88,config_088_Fe5V3,Fe5V3,5.0,3.0,0.0,-67.5501219,-8.4437652375,8.0,100.0,-0.2117753,88,3,0.375,-8.53295,-8.958913738538405,-0.5151485010384054,-3.4077099083072326,-328792.89050302334
89,config_089_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.52534951,-8.56566868875,8.0,36.0,0.0036483,89,4,0.5,-8.619,-8.56566868875,0.0,0.4266504900000072,41165.372527650696
90,config_090_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.89260899,-8.61157612375,8.0,14.0,0.0097101,90,4,0.5,-8.619,-8.61157612375,0.0,0.059391010000005906,5730.34159985057
91,config_091_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.87894591,-8.73486823875,8.0,31.0,-0.0024344,91,5,0.625,-8.70505,-8.73486823875,0.0,-0.23854590999999203,-23016.102126349233
92,config_092_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.37769437,-8.54721179625,8.0,15.0,0.0002462,92,4,0.5,-8.619,-8.54721179625,0.0,0.5743056300000049,55411.878710550474
93,config_093_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.87893849,-8.73486731125,8.0,45.0,0.0052014,93,5,0.625,-8.70505,-8.73486731125,0.0,-0.23853848999998917,-23015.386207648953
94,config_094_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.87895218,-8.7348690225,8.0,26.0,-0.0036902,94,5,0.625,-8.70505,-8.7348690225,0.0,-0.23855217999999212,-23016.70708729924
95,config_095_Fe2V6,Fe2V6,2.0,6.0,1.0,-71.09595786,-8.8869947325,8.0,13.0,-1e-06,95,6,0.75,-8.7911,-8.8869947325,0.0,-0.7671578599999975,-74019.22612209976
96,config_096_Fe6V2,Fe6V2,6.0,2.0,1.0,-66.49543094,-8.3119288675,8.0,31.0,1.5090552,96,2,0.25,-8.446900000000001,-8.3119288675,0.0,1.0797690600000038,104181.51775410036
97,config_097_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.45421366,-8.4317767075,8.0,23.0,0.0012213,97,3,0.375,-8.53295,-8.4317767075,0.0,0.8093863400000103,78093.64101490099
98,config_098_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.45420161,-8.43177520125,8.0,17.0,0.0002982,98,3,0.375,-8.53295,-8.43177520125,0.0,0.8093983900000055,78094.80365915052
99,config_099_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.52534971,-8.56566871375,8.0,26.0,-0.0053729,99,4,0.5,-8.619,-8.56566871375,0.0,0.4266502900000049,41165.35323065047
100,config_100_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.45421528,-8.43177691,8.0,15.0,0.0014196,100,3,0.375,-8.53295,-8.43177691,0.0,0.8093847200000042,78093.4847092004
101,config_101_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.52534415,-8.56566801875,8.0,16.0,-0.0035751,101,4,0.5,-8.619,-8.56566801875,0.0,0.42665585000001016,41165.88968725098
102,config_102_Fe4V4,Fe4V4,4.0,4.0,0.0,64.57178799,-8.07147349875,8.0,3.0,0.2178136,102,4,0.5,-8.619,-9.020235523581178,-0.9487620248311774,-3.2098841886494185,-309705.6759418391
103,config_103_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.85362414,-8.7317030175,8.0,26.0,-0.005049,103,5,0.625,-8.70505,-8.7317030175,0.0,-0.21322413999998702,-20572.931147898747
104,config_104_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.45422228,-8.431777785,8.0,15.0,-0.0010807,104,3,0.375,-8.53295,-8.431777785,0.0,0.8093777200000076,78092.80931420074
105,config_105_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.77874849,-8.59734356125,8.0,12.0,0.0032131,105,4,0.5,-8.619,-8.59734356125,0.0,0.17325151000000716,16716.17194235069
106,config_106_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.52535929,-8.56566991125,8.0,27.0,-0.0082144,106,4,0.5,-8.619,-8.56566991125,0.0,0.426640710000008,41164.428904350774
107,config_107_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.85362709,-8.73170338625,8.0,29.0,-0.0025792,107,5,0.625,-8.70505,-8.73170338625,0.0,-0.21322708999999662,-20573.215778649675
108,config_108_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.52530524,-8.565663155,8.0,29.0,0.0049033,108,4,0.5,-8.619,-8.565663155,0.0,0.42669476000001083,41169.64391860105
109,config_109_Fe3V5,Fe3V5,3.0,5.0,0.0,-50.13717486,-6.2671468575,8.0,20.0,5.4e-06,109,5,0.625,-8.70505,-8.255643555853261,-1.9884966983532602,3.5952515531739166,346887.84610798536
110,config_110_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.85358512,-8.73169814,8.0,34.0,0.0050237,110,5,0.625,-8.70505,-8.73169814,0.0,-0.21318511999999856,-20569.16630319986
111,config_111_Fe2V6,Fe2V6,2.0,6.0,0.0,-48.99402196,-6.124252745,8.0,20.0,0.0,111,6,0.75,-8.7911,-8.877977731869567,-2.7537249868695675,-0.6950218549565363,-67059.18367548141
