config_index,composition,n_v,x_V,sro_alpha,eta,y_V_A,y_V_B,dH_f_Jmol_corrected,dHf_deviation
59,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66395.48869198725,15997.483675753756
60,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-36647.97184344981,49272.69497903319
61,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66394.04720608727,15998.925161653737
62,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66393.53294103654,15999.43942670447
63,Fe2V6,6,0.75,-0.33333333333333326,0.5,0.5,1.0,-118517.72362937396,-51129.467957850604
64,Fe7V1,1,0.125,-0.1428571428571428,0.25,0.25,0.0,-65944.24378458741,-30933.23816007955
65,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.36084277442,-4596.61628057326
66,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.25181472431,-4596.507252523152
67,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78773.24300211226,-64.96507769761956
68,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.36180762519,-4596.6172454240295
69,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78773.24300211226,-64.96507769761956
70,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-82418.12018281249,-3709.8422583978536
71,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.86335269907,-12412.196530216068
72,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.21900982433,-4596.474447623172
73,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-82418.11632341218,-3709.838398997541
74,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78773.24300211226,-64.96507769761956
75,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.9347515995,-12412.267929116497
76,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78773.24300211226,-64.96507769761956
77,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.9087006494,-12412.241878166387
78,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.96852135024,-12412.301698867232
79,Fe3V5,5,0.625,-0.6000000000000001,0.75,0.25,1.0,-78521.59348283459,3871.378884906415
80,Fe6V2,2,0.25,-0.33333333333333326,0.5,0.5,0.0,-97262.54897617504,-35769.80441397388
81,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-78773.24686151257,-64.96893709793221
82,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-78772.52708341197,-64.24915899733605
83,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,11113.544642450604,97034.21146493361
84,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-78773.23817786254,-64.96025344790542
85,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-36647.57046584952,49273.09635663348
86,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-72528.17364090313,13392.493181579877
87,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66394.98986453643,15997.982503204577
88,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-78771.90089576159,-63.62297134695109
89,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-77377.71652580019,8542.950296682815
90,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-36648.0094725995,49272.657349883506
91,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66394.96091903678,15998.01144870423
92,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,11113.443333199762,97034.11015568276
93,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66394.1253589362,15998.847008804805
94,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66396.33679513681,15996.635572604195
95,Fe2V6,6,0.75,-0.33333333333333326,0.5,0.5,1.0,-118518.16263612396,-51129.90696460061
96,Fe6V2,2,0.25,-0.33333333333333326,0.5,0.5,0.0,-104956.03806612504,-43463.29350392388
97,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-82418.1250070622,-3709.8470826475677
98,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-82418.11535856141,-3709.8374341467716
99,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-72528.17364090313,13392.493181579877
100,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-82418.11342886262,-3709.835504447983
101,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-77377.76862769903,8542.898194783978
102,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-88482.56883459938,-2561.9020121163776
103,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-88694.03669758727,-6301.064329846267
104,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-82418.12114766189,-3709.843223247255
105,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-88482.63251469916,-2561.965692216152
106,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-77381.60101189939,8539.06581058362
107,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-88693.60926903688,-6300.636901295875
108,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-77378.28192789899,8542.384894584015
109,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-88694.0154708869,-6301.043103145887
110,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-88693.81960633646,-6300.847238595452
111,Fe2V6,6,0.75,-0.33333333333333326,0.5,0.5,1.0,-93931.58122747709,-26543.325555953736
112,Fe5V3,3,0.375,-0.6000000000000001,0.75,0.75,0.0,-100137.00959311244,-21428.7316686978
113,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.91545459928,-12412.248632116272
114,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.87107149971,-12412.204249016708
115,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66395.60543883663,15997.366928904376
116,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.83344235003,-12412.166619867028
117,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66394.91557108646,15998.05679665455
118,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-88693.58321808677,-6300.610850345765
119,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89017.28532762428,-21629.02965610093
120,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.88650909964,-12412.219686616634
121,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-88693.63242543605,-6300.660057695044
