composition,x_V,E_mean,E_min,E_max,E_ordering,n_configs,most_stable_config,most_stable_eta
Fe7V1,0.125,-63370.453945868096,-66820.7579076871,-55217.666707386605,-3450.3039618190087,8,4,0.25
Fe6V2,0.25,-74755.20021206736,-104956.03806612504,-31975.853119924446,-30200.83785405768,28,96,0.5
Fe5V3,0.375,-81914.95533578435,-100138.42502806232,-66503.15196166141,-18223.46969227797,56,224,0.75
Fe4V4,0.5,-72528.17364090192,-98333.08719789976,11113.544642450604,-25804.91355699784,70,27,0.5
Fe3V5,0.625,-78521.59348283488,-119692.56382458676,-63600.28929648613,-41170.970341751876,56,143,0.75
Fe2V6,0.75,-93931.58122747659,-118518.16263612396,-83358.0425594243,-24586.58140864737,28,95,0.5
Fe1V7,0.875,-50795.82802355595,-74035.19366596182,-36852.08031306292,-23239.36564240587,8,127,0.25
