config_index,config_name,composition,n_fe,n_v,converged,total_energy,energy_per_atom,n_atoms,n_iterations,total_magnetization,magmom_per_atom,energy_per_atom_original,correction_method,formation_energy_per_atom,formation_energy_J_mol
89,config_089_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,,-8.5656666325,none,0.053333367500001394,41166.95970590108
90,config_090_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,,-8.54721281125,none,0.07178718875000012,55411.09525235009
91,config_091_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,,-8.73486804625,none,-0.029818046249999064,-23015.953539449278
92,config_092_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,,-8.61157393375,none,0.007426066250000751,5732.03201705058
93,config_093_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
94,config_094_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
95,config_095_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,,-8.8869950775,none,-0.09589507749999981,-74019.49242069985
96,config_096_Fe6V2,Fe6V2,6,2,True,-66.77386122,-8.3467326525,8,16,-5.5160215,,-8.3467326525,none,0.10016734750000111,77317.17218830086
97,config_097_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,,-8.43384067375,none,0.09910932625000068,76500.50674585052
98,config_098_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,,-8.45418487,none,0.07876512999999985,60797.228544399884
99,config_099_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,,-8.5656666325,none,0.053333367500001394,41166.95970590108
100,config_100_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,,-8.43384067375,none,0.09910932625000068,76500.50674585052
101,config_101_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,,-8.54721281125,none,0.07178718875000012,55411.09525235009
102,config_102_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,,-8.5656666325,none,0.053333367500001394,41166.95970590108
103,config_103_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,,-8.73486804625,none,-0.029818046249999064,-23015.953539449278
104,config_104_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,,-8.45418487,none,0.07876512999999985,60797.228544399884
105,config_105_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,,-8.5656666325,none,0.053333367500001394,41166.95970590108
106,config_106_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,,-8.54721281125,none,0.07178718875000012,55411.09525235009
107,config_107_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,,-8.73486804625,none,-0.029818046249999064,-23015.953539449278
108,config_108_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,,-8.61157393375,none,0.007426066250000751,5732.03201705058
109,config_109_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
110,config_110_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
111,config_111_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,,-8.8869950775,none,-0.09589507749999981,-74019.49242069985
112,config_112_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,,-8.43384067375,none,0.09910932625000068,76500.50674585052
113,config_113_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,,-8.54721281125,none,0.07178718875000012,55411.09525235009
114,config_114_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,,-8.5656666325,none,0.053333367500001394,41166.95970590108
115,config_115_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,,-8.73486804625,none,-0.029818046249999064,-23015.953539449278
116,config_116_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,,-8.61157393375,none,0.007426066250000751,5732.03201705058
117,config_117_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
118,config_118_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
119,config_119_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,,-8.8869950775,none,-0.09589507749999981,-74019.49242069985
120,config_120_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,,-8.61157393375,none,0.007426066250000751,5732.03201705058
121,config_121_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
122,config_122_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
123,config_123_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,,-8.8869950775,none,-0.09589507749999981,-74019.49242069985
124,config_124_Fe3V5,Fe3V5,3,5,True,-70.39002564,-8.798753205,8,18,-0.0012739,,-8.798753205,none,-0.09370320499999973,-72327.6298753998
125,config_125_Fe2V6,Fe2V6,2,6,True,-71.09596016,-8.88699502,8,13,-9.1e-06,,-8.88699502,none,-0.09589502000000039,-74019.4480376003
126,config_126_Fe2V6,Fe2V6,2,6,True,-71.09596016,-8.88699502,8,13,-9.1e-06,,-8.88699502,none,-0.09589502000000039,-74019.4480376003
127,config_127_Fe1V7,Fe1V7,1,7,True,-71.30465151,-8.91308143875,8,16,-2e-07,,-8.91308143875,none,-0.0359314387499996,-27734.75894234969
128,config_128_Fe7V1,Fe7V1,7,1,True,-65.14208946,-8.1427611825,8,28,2.9196822,,-8.1427611825,none,0.21808881750000175,168338.39645190135
129,config_129_Fe6V2,Fe6V2,6,2,True,-66.11377285,-8.26422160625,8,58,0.0040392,,-8.26422160625,none,0.18267839375000072,141005.79856775055
130,config_130_Fe6V2,Fe6V2,6,2,True,-67.80069822,-8.4750872775,8,26,-10.813238,,-8.4750872775,none,-0.02818727749999894,-21757.195756699184
131,config_131_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,,-8.43384067375,none,0.09910932625000068,76500.50674585052
132,config_132_Fe6V2,Fe6V2,6,2,True,-66.11377285,-8.26422160625,8,58,0.0040392,,-8.26422160625,none,0.18267839375000072,141005.79856775055
133,config_133_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,,-8.43384067375,none,0.09910932625000068,76500.50674585052
134,config_134_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,,-8.45418487,none,0.07876512999999985,60797.228544399884
135,config_135_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,,-8.5656666325,none,0.053333367500001394,41166.95970590108
136,config_136_Fe6V2,Fe6V2,6,2,True,-67.80069822,-8.4750872775,8,26,-10.813238,,-8.4750872775,none,-0.02818727749999894,-21757.195756699184
137,config_137_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,,-8.45418487,none,0.07876512999999985,60797.228544399884
138,config_138_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,,-8.43384067375,none,0.09910932625000068,76500.50674585052
139,config_139_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,,-8.54721281125,none,0.07178718875000012,55411.09525235009
140,config_140_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,,-8.45418487,none,0.07876512999999985,60797.228544399884
141,config_141_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,,-8.5656666325,none,0.053333367500001394,41166.95970590108
142,config_142_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,,-8.54721281125,none,0.07178718875000012,55411.09525235009
143,config_143_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,,-8.73486804625,none,-0.029818046249999064,-23015.953539449278
144,config_144_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,,-8.43384067375,none,0.09910932625000068,76500.50674585052
145,config_145_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,,-8.54721281125,none,0.07178718875000012,55411.09525235009
146,config_146_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,,-8.5656666325,none,0.053333367500001394,41166.95970590108
147,config_147_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,,-8.73486804625,none,-0.029818046249999064,-23015.953539449278
148,config_148_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,,-8.61157393375,none,0.007426066250000751,5732.03201705058
149,config_149_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
150,config_150_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
151,config_151_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,,-8.8869950775,none,-0.09589507749999981,-74019.49242069985
152,config_152_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,,-8.45418487,none,0.07876512999999985,60797.228544399884
153,config_153_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,,-8.5656666325,none,0.053333367500001394,41166.95970590108
154,config_154_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,,-8.54721281125,none,0.07178718875000012,55411.09525235009
155,config_155_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,,-8.73486804625,none,-0.029818046249999064,-23015.953539449278
156,config_156_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,,-8.61157393375,none,0.007426066250000751,5732.03201705058
157,config_157_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
158,config_158_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
159,config_159_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,,-8.8869950775,none,-0.09589507749999981,-74019.49242069985
160,config_160_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,,-8.61157393375,none,0.007426066250000751,5732.03201705058
161,config_161_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
162,config_162_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
163,config_163_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,,-8.8869950775,none,-0.09589507749999981,-74019.49242069985
164,config_164_Fe5V3,Fe5V3,5,3,True,-67.47073329,-8.43384166125,8,62,-0.017522,,-8.43384166125,none,0.09910833875000069,76499.74451435053
165,config_165_Fe4V4,Fe4V4,4,4,False,-68.89191644,-8.586767655534297,8,30,-0.0044362,,-8.611489555,converged_mean,0.032232344465703555,24879.50204618726
166,config_166_Fe4V4,Fe4V4,4,4,True,-68.5253336,-8.5656667,8,21,0.0018978,,-8.5656667,none,0.05333330000000114,41166.90760400088
167,config_167_Fe3V5,Fe3V5,3,5,True,-69.87895262,-8.7348690775,8,28,-0.0024013,,-8.7348690775,none,-0.029819077500000013,-23016.74954070001
168,config_168_Fe5V3,Fe5V3,5,3,False,-51.57831839,-8.442306314829343,8,13,-0.0320268,,-6.44728979875,converged_mean,0.09064368517065713,69966.04770952683
169,config_169_Fe4V4,Fe4V4,4,4,True,-68.52530458,-8.5656630725,8,27,-0.0007111,,-8.5656630725,none,0.053336927500001075,41169.70759870083
170,config_170_Fe4V4,Fe4V4,4,4,True,-68.89260609,-8.61157576125,8,21,0.0004149,,-8.61157576125,none,0.007424238750000534,5730.621406350412
171,config_171_Fe3V5,Fe3V5,3,5,True,-69.87895491,-8.73486936375,8,37,0.00176,,-8.73486936375,none,-0.029819363749999717,-23016.97049134978
172,config_172_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,,-8.54721281125,none,0.07178718875000012,55411.09525235009
173,config_173_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,,-8.73486804625,none,-0.029818046249999064,-23015.953539449278
174,config_174_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,,-8.73486892625,none,-0.029818926249999045,-23016.63279384926
175,config_175_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,,-8.8869950775,none,-0.09589507749999981,-74019.49242069985
176,config_176_Fe5V3,Fe5V3,5,3,False,-51.93410915,-8.476964518976214,8,20,0.0015098,,-6.49176364375,converged_mean,0.055985481023786754,43214.07309264052
177,config_177_Fe4V4,Fe4V4,4,4,True,-68.86122102,-8.6076526275,8,67,0.4776987,,-8.6076526275,none,0.011347372500000397,8758.809885300307
178,config_178_Fe4V4,Fe4V4,4,4,True,-68.86122142,-8.6076526775,8,35,0.4800558,,-8.6076526775,none,0.011347322499999812,8758.771291299856
179,config_179_Fe3V5,Fe3V5,3,5,True,-69.87893677,-8.73486709625,8,29,-0.0031871,,-8.73486709625,none,-0.02981709624999862,-23015.220253448933
180,config_180_Fe4V4,Fe4V4,4,4,True,-68.8612222,-8.607652775,8,46,-0.4813081,,-8.607652775,none,0.011347225000000627,8758.696033000484
181,config_181_Fe3V5,Fe3V5,3,5,True,-69.87895276,-8.734869095,8,40,0.0071686,,-8.734869095,none,-0.029819094999999685,-23016.763048599758
182,config_182_Fe3V5,Fe3V5,3,5,True,-69.85362652,-8.731703315,8,21,-0.0005954,,-8.731703315,none,-0.0266533149999999,-20573.160782199924
183,config_183_Fe2V6,Fe2V6,2,6,True,-70.79034683,-8.84879335375,8,25,0.0032458,,-8.84879335375,none,-0.0576933537500004,-44532.34589255031
184,config_184_Fe4V4,Fe4V4,4,4,False,-51.14359943,-8.584707962642726,8,20,-0.0002366,,-6.39294992875,converged_mean,0.034292037357274374,26469.337795332944
185,config_185_Fe3V5,Fe3V5,3,5,True,-69.85362549,-8.73170318625,8,29,-0.0050717,,-8.73170318625,none,-0.026653186249999017,-20573.06140264924
186,config_186_Fe3V5,Fe3V5,3,5,True,-69.87894521,-8.73486815125,8,35,0.0023389,,-8.73486815125,none,-0.02981815124999887,-23016.034586849128
187,config_187_Fe2V6,Fe2V6,2,6,True,-70.790333,-8.848791625,8,18,-0.0155588,,-8.848791625,none,-0.05769162500000036,-44531.01150500028
188,config_188_Fe3V5,Fe3V5,3,5,True,-69.87895013,-8.73486876625,8,23,-0.0012785,,-8.73486876625,none,-0.029818766250000017,-23016.509293050014
189,config_189_Fe2V6,Fe2V6,2,6,False,-48.35812901,-8.889957541117495,8,20,-3e-07,,-6.04476612625,converged_mean,-0.09885754111749456,-76306.1588377717
190,config_190_Fe2V6,Fe2V6,2,6,True,-70.79033213,-8.84879151625,8,23,-0.000889,,-8.84879151625,none,-0.05769151624999935,-44530.9275630495
191,config_191_Fe1V7,Fe1V7,1,7,True,-71.30465151,-8.91308143875,8,16,-2e-07,,-8.91308143875,none,-0.0359314387499996,-27734.75894234969
192,config_192_Fe6V2,Fe6V2,6,2,False,-52.39404317,-8.329623553209222,8,20,-5.9441425,,-6.54925539625,converged_mean,0.11727644679077898,90523.34374886648
193,config_193_Fe5V3,Fe5V3,5,3,False,-67.46535659,-8.431459702232884,8,48,-0.1329384,,-8.43316957375,converged_mean,0.10149029776711682,78338.33104048214
194,config_194_Fe5V3,Fe5V3,5,3,False,-67.43936012,-8.48251328188784,8,69,0.1159579,,-8.429920015,converged_mean,0.05043671811216033,38931.09397641431
195,config_195_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,,-8.61157393375,none,0.007426066250000751,5732.03201705058
196,config_196_Fe5V3,Fe5V3,5,3,True,-67.63346002,-8.4541825025,8,37,0.0856729,,-8.4541825025,none,0.07876749750000034,60799.05597030026
