system,phase,e_above_eV,hmix_eV,delta_r_percent,vec,a_vegard_A,a_pred_q1_A,shift_A,shift_percent
Fe-Mn-Mo-Ti-Zn,BCC,-0.027,-0.064,2.258769757263128,7.4,3.071257040563584,3.036434626859812,-0.03482241370377226,-1.1338163248420996
Co-Fe-Ir-Nb-Zn,BCC,-0.035,-0.227,2.8985507246376714,8.6,3.039319445996111,3.0364690702166306,-0.0028503757794804407,-0.09378335611399526
Fe-Ir-Ni-Ru-Ta,BCC,-0.054,-0.398,3.721912053717364,8.0,3.014111297466289,3.0364752223697806,0.022363924903491483,0.7419740910792166
Co-Fe-Mo-Pd-W,BCC,-0.016,0.107,2.6918398465999487,7.800000000000001,3.0220304168289904,3.0364821140882436,0.014451697259253216,0.47821150901642306
Fe-Mn-Ru-Ta-Zn,BCC,-0.038,-0.17,3.6949416765165033,8.0,3.0477973884971585,3.0364827076980556,-0.011314680799102916,-0.37124123938835984
Cr-Ni-Re-Ru-Ta,BCC,-0.051,-0.244,3.721912053717364,7.2,3.0256467892749366,3.0364861399694503,0.010839350694513694,0.3582490439047985
Co-Mn-Nb-Ni-Ta,BCC,-0.042,-0.062,3.194382824999693,7.2,3.0397091134412477,3.0364909316994937,-0.0032181817417540337,-0.1058713719521253
Co-Cr-Nb-Ni-Ta,BCC,-0.016,0.021,3.194382824999693,7.0,3.0367913976460024,3.036520981679245,-0.0002704159667574757,-0.008904660589037864
Fe-Nb-Ni-Pd-V,BCC,-0.035,-0.096,2.6918398465999487,7.6,3.0254865688185477,3.036551675794286,0.01106510697573837,0.36572983300531703
Cr-Pt-Ru-V-Zn,BCC,-0.027,-0.302,2.3424278964210217,8.200000000000001,3.032317281027394,3.0365534954435183,0.0042362144161240955,0.13970221528694396
Fe-Ir-Nb-Ni-Ru,BCC,-0.052,-0.365,3.721912053717359,8.0,3.013582853660155,3.036577652581518,0.022994798921363024,0.7630385503897671
Co-Ir-Mn-Mo-Ti,BCC,-0.035,-0.348,2.691839846599948,7.0,3.0462463901519934,3.0365948575614885,-0.009651532590504885,-0.31683361601040155
Fe-Ni-Os-Rh-Ta,BCC,-0.058,-0.358,3.721912053717359,8.0,3.014184677785768,3.036601678627992,0.022417000842223977,0.743716899877933
Cr-Ir-Nb-Ni-Ru,BCC,-0.048,-0.336,3.721912053717359,7.6,3.016985135057787,3.036612204091025,0.019627069033237632,0.6505523943478659
Fe-Mn-Mo-Os-Ti,BCC,-0.049,-0.294,3.5244456730693168,6.6000000000000005,3.053771201841857,3.036621078814653,-0.01715012302720398,-0.5616047140944949
Fe-Nb-Ni-Os-Rh,BCC,-0.055,-0.326,3.721912053717364,8.0,3.013656259716015,3.036644107519399,0.02298784780338403,0.7627893104686809
Mn-Nb-Ni-Os-Ru,BCC,-0.063,-0.395,4.287464628562716,7.6,3.017336657483894,3.036646451766691,0.01930979428279711,0.6399615447253149
Cr-Mn-Os-Pd-W,BCC,-0.035,-0.102,2.9197080291970807,7.4,3.0185663414335675,3.036647087259823,0.018080745826255296,0.598984543691309
Fe-Ir-Mo-Ru-V,BCC,-0.064,-0.396,3.721912053717364,7.2,3.0207304929978513,3.0366834008620387,0.01595290786418735,0.5281142392930019
Al-Fe-Pt-Ru-V,BCC,-0.057,-0.545,3.83384925834044,6.800000000000001,3.049088682314164,3.03668445855104,-0.012404223763124111,-0.4068174151533595
Al-Ni-Os-Re-Zn,BCC,-0.048,-0.415,3.0303030303030325,8.0,3.0572558593003807,3.0366893573984233,-0.020566501901957412,-0.6727111778817174
Co-Cr-Nb-Os-Zn,BCC,-0.025,-0.138,3.721912053717364,8.0,3.0400986810072217,3.0366922164637518,-0.0034064645434699337,-0.1120511174440341
Cr-Fe-Nb-Re-V,BCC,-0.048,-0.09,2.691839846599948,6.2,3.0408919358797157,3.0366928561989397,-0.004199079680776041,-0.13808710632662674
Al-Cr-Mo-Ru-V,BCC,-0.049,-0.316,5.237828008789241,5.6000000000000005,3.0593798848781764,3.036702505518709,-0.02267737935946723,-0.7412410427209905
Al-Mo-Ni-V-Zn,BCC,-0.021,-0.193,4.684855792842043,7.2,3.0674640858464293,3.036704688643876,-0.030759397202553274,-1.0027630753520491
Al-Ir-Ni-Pd-Rh,BCC,-0.055,-0.57,3.6559548399748927,8.200000000000001,3.0390163022233048,3.0367258727494355,-0.00229042947386926,-0.07536746256325152
Fe-Pd-Re-Ru-V,BCC,-0.044,-0.269,2.7512186667455425,7.6,3.016193909955122,3.0367624647842106,0.020568554829088814,0.6819374165964964
Fe-Ir-Mo-V-Zn,BCC,-0.042,-0.247,2.8985507246376714,8.0,3.044449279043871,3.0367919458257635,-0.007657333218107354,-0.2515178449782612
Co-Fe-Pd-Ta-V,BCC,-0.036,-0.092,2.6918398465999576,7.4,3.027931725066834,3.0367939116665053,0.008862186599671418,0.29268118981367747
Fe-Ir-Mn-Re-Ti,BCC,-0.049,-0.462,1.7749925672341786,7.0,3.043830582105407,3.036829356166637,-0.007001225938769728,-0.23001365384557657
Al-Co-Fe-Os-Ta,BCC,-0.063,-0.392,5.237828008789242,6.6000000000000005,3.057298654035259,3.036861743246474,-0.020436910788784957,-0.6684630159310979
Fe-Os-Pt-V-Zn,BCC,-0.042,-0.386,2.3424278964210217,8.6,3.0348383091269495,3.0368907031359753,0.002052394009025793,0.06762778770959359
Al-Ni-Os-V-W,BCC,-0.039,-0.41,3.0303030303030325,6.4,3.053756904089207,3.0368976457484163,-0.016859258340790717,-0.5520825288422572
Co-Mn-Ta-V-W,BCC,-0.046,-0.043,2.8985507246376714,6.4,3.0505651555066793,3.0368987767503426,-0.013666378756336695,-0.4479949799356702
Cu-Ir-Ni-Ru-Ta,BCC,-0.009,-0.341,3.602190798210557,8.6,3.014610213198553,3.0369083617444117,0.022298148545858876,0.7396693757698167
Cr-Os-Re-Ru-Zn,BCC,-0.063,-0.33,2.792281631920849,8.200000000000001,3.028978441289485,3.03691587181276,0.007937430523274891,0.2620497529819261
Ir-Ni-Pd-Re-V,BCC,-0.036,-0.331,1.4705882352941169,8.200000000000001,3.0125107177525403,3.03692031186696,0.024409594114419786,0.8102741002903509
Al-Fe-Mn-Mo-Pt,BCC,-0.03,-0.311,4.950605827098737,6.800000000000001,3.054786000262169,3.036949258646914,-0.017836741615254947,-0.5838949639589862
Co-Fe-Nb-Re-Zn,BCC,-0.037,-0.066,2.8985507246376714,8.200000000000001,3.0473379980161024,3.037057664975105,-0.010280333040997292,-0.3373545385411812
Mn-Ni-Os-Ti-W,BCC,-0.035,-0.333,2.751218666745544,7.0,3.045628423211995,3.0370667839414445,-0.008561639270550536,-0.28111240377515323
Al-Co-Fe-Nb-Os,BCC,-0.06,-0.377,5.237828008789241,6.6000000000000005,3.0567850381240347,3.0370730043580068,-0.019712033766027925,-0.6448616281544386
Fe-Os-Re-Rh-Zn,BCC,-0.04,-0.333,2.3424278964210217,8.8,3.0282661714066994,3.0370971868635097,0.00883101545681031,0.2916195260573181
Mo-Ni-Os-Re-V,BCC,-0.066,-0.351,3.60219079821055,7.2,3.0225996941376527,3.0371018657104436,0.014502171572790878,0.4797913399156995
Fe-Mo-Rh-Ru-Zn,BCC,-0.039,-0.211,3.721912053717364,8.6,3.0350120188025937,3.037113932940113,0.0021019141375191452,0.06925554576052109
Cu-Ni-Os-Rh-Ta,BCC,-0.013,-0.296,3.60219079821055,8.6,3.0146835692321523,3.0371274031575153,0.022443833925362977,0.7444839038638964
Co-Fe-Nb-Os-Rh,BCC,-0.05,-0.307,3.721912053717364,7.800000000000001,3.015592887610296,3.0371279634319057,0.021535075821609517,0.7141241083996245
Co-Fe-Os-Rh-Ta,BCC,-0.053,-0.341,3.721912053717359,7.800000000000001,3.0161206273709804,3.037179943332951,0.021059315961970526,0.6982252556764285
Co-Ir-Pd-Rh-Ru,BCC,-0.026,-0.232,2.3424278964210146,9.0,2.996573866470319,3.03719309133229,0.04061922486197078,1.3555222287851154
Fe-Mo-Ni-Ta-V,BCC,-0.045,-0.061,3.1943828249996984,6.800000000000001,3.0385831347522556,3.0372074696655935,-0.0013756650866620923,-0.04527324169375587
Mn-Mo-Ni-Ta-V,BCC,-0.047,-0.102,3.1943828249996984,6.6000000000000005,3.044837634683645,3.037227940363198,-0.007609694320446891,-0.2499211857395979
Al-Ni-Os-Pt-Ru,BCC,-0.053,-0.636,2.8562270128045406,7.800000000000001,3.0392761434451563,3.0372320746248316,-0.002044068820324707,-0.06725512009605232
Fe-Mo-Ni-Re-Ti,BCC,-0.048,-0.188,2.6918398465999487,7.0,3.0461170689811294,3.037240219504548,-0.008876849476581405,-0.29141524358912935
Fe-Mn-Nb-Ru-Zn,BCC,-0.038,-0.156,3.6949416765165033,8.0,3.047280564466365,3.037260849604321,-0.010019714862044005,-0.328808412946336
Fe-Ir-Re-Ru-Zn,BCC,-0.055,-0.361,2.3424278964210217,8.8,3.0281934719647996,3.037344784296718,0.009151312331918238,0.30220368733509423
Mn-Ni-Os-Pd-Ti,BCC,-0.056,-0.435,2.9197080291970807,7.800000000000001,3.029240007339744,3.037362983459641,0.008122976119897096,0.268152279126626
Cr-Fe-Nb-Rh-Ru,BCC,-0.043,-0.217,3.694941676516508,7.2,3.023329223298911,3.0373716664039083,0.01404244310499747,0.464469532354635
Al-Cr-Mn-Nb-V,BCC,-0.041,-0.136,4.950605827098737,5.2,3.0740391824845354,3.0373802202477447,-0.03665896223679077,-1.1925339938953492
Cu-Ir-Nb-Ni-Ru,BCC,-0.014,-0.316,3.6021907982105508,8.6,3.0140819443380407,3.0374256272541587,0.02334368291611799,0.7744873346913859
Co-Os-Rh-W-Zn,BCC,-0.03,-0.21,1.4925373134328357,8.8,3.0345777073216134,3.0374308747620478,0.002853167440434401,0.09402189416835434
Al-Fe-Ru-V-W,BCC,-0.032,-0.309,3.83384925834044,6.0,3.059878389516773,3.037440914361528,-0.022437475155244968,-0.733279964070349
Fe-Os-Pt-Ru-V,BCC,-0.068,-0.479,2.792281631920849,7.800000000000001,3.010967264916657,3.0374664223526695,0.0264991574360125,0.8800878622885324
Fe-Os-V-W-Zn,BCC,-0.023,-0.17,2.3424278964210217,7.800000000000001,3.0457290395705336,3.0374784021560304,-0.00825063741450327,-0.27089203626815933
Al-Cr-Fe-Ta-V,BCC,-0.043,-0.105,4.950605827098737,5.4,3.068413203815871,3.0375611503906246,-0.03085205342524633,-1.0054725806445752
Mn-Rh-Ru-V-W,BCC,-0.054,-0.319,2.3424278964210217,7.0,3.0251077984488366,3.0375615503470295,0.012453751898192866,0.4116796070731327
Mn-Ni-Os-Ta-Zn,BCC,-0.047,-0.285,3.721912053717364,8.4,3.041627129862851,3.0375694835602642,-0.004057646302586981,-0.13340380425821435
Cu-Nb-Ni-Os-Rh,BCC,-0.017,-0.272,3.602190798210557,8.6,3.0141553260867266,3.037584638432034,0.02342931234530754,0.7773093888869285
Al-Ir-Mo-Ni-Ru,BCC,-0.065,-0.557,4.950186254261789,7.2,3.048859198904464,3.037587965424049,-0.011271233480415255,-0.36968691386159475
Co-Fe-Ir-Ru-Ta,BCC,-0.046,-0.37,3.721912053717364,7.800000000000001,3.016047341225576,3.0375913545266995,0.02154401330112332,0.7143128360965605
Co-Fe-Ir-Nb-Ru,BCC,-0.043,-0.335,3.721912053717364,7.800000000000001,3.0155195758110267,3.037599346136937,0.022079770325910353,0.7322045097310297
Fe-Mn-Mo-Nb-V,BCC,-0.028,-0.022,2.653657721116266,6.2,3.0562855237917153,3.0376148338734823,-0.018670689918232952,-0.610894818985026
Co-Mo-Pd-Rh-V,BCC,-0.025,-0.128,2.8985507246376763,7.800000000000001,3.021329473272647,3.03767776384517,0.016348290572523183,0.541095922081448
Al-Cr-Os-Re-V,BCC,-0.071,-0.472,3.83384925834044,5.800000000000001,3.05274142125143,3.0376995131800104,-0.015041908071419474,-0.4927344309841103
Fe-Nb-Ni-Re-Zn,BCC,-0.036,-0.106,2.8985507246376763,8.4,3.045441546620905,3.037713194358558,-0.007728352262347027,-0.2537678738546824
Fe-Os-Ru-V-W,BCC,-0.058,-0.367,2.792281631920852,7.0,3.0220304168289904,3.0377657449865607,0.015735328157570283,0.520687285936762
Fe-Ni-Re-Ru-Ta,BCC,-0.057,-0.269,3.721912053717364,7.6,3.0222639924381967,3.03778549181212,0.01552149937392322,0.5135719253102482
Cr-Fe-Os-Ru-Ta,BCC,-0.062,-0.332,4.379562043795623,7.0,3.027102561201206,3.037788212324911,0.010685651123704787,0.35299930899812454
Fe-Ni-Pd-Ta-V,BCC,-0.038,-0.113,2.6918398465999576,7.6,3.0260108635829797,3.0378318028736593,0.011820939290679622,0.3906443110611611
Al-Fe-Mn-Ti-Zn,BCC,-0.024,-0.216,4.287464628562723,6.800000000000001,3.0855939269796293,3.037843325380735,-0.04775060159889444,-1.5475335617358985
Al-Mo-Ni-Re-V,BCC,-0.055,-0.308,4.684855792842043,6.2,3.0604336748472907,3.037843684391887,-0.022589990455403886,-0.7381303715569356
Co-Cr-Nb-Re-Ru,BCC,-0.048,-0.178,3.721912053717359,7.0,3.0270443572045145,3.0378468710910855,0.010802513886571052,0.35686671920946705
Fe-Mn-Mo-Re-W,BCC,-0.044,0.03,2.691839846599948,6.800000000000001,3.03848204457009,3.037858426437005,-0.0006236181330847579,-0.020524002575535792
Co-Fe-Re-Ru-Ta,BCC,-0.052,-0.249,3.721912053717364,7.4,3.024189615127023,3.0378613811057757,0.013671765978752859,0.4520803163388488
Al-Mn-Mo-Ni-Ti,BCC,-0.043,-0.312,4.9506058270987365,6.0,3.0791525188415703,3.037866722177042,-0.04128579666452836,-1.3408168777576754
Al-Fe-Ni-Pt-Ti,BCC,-0.037,-0.566,4.057204129667899,7.0,3.066131496613951,3.037901609776892,-0.02822988683705896,-0.9207004614196856
Al-Fe-Os-Re-Ru,BCC,-0.073,-0.548,3.862893570903624,6.800000000000001,3.0457865316479698,3.037921640133907,-0.007864891514062666,-0.2582220202348602
Co-Fe-Nb-Re-Ru,BCC,-0.049,-0.214,3.721912053717359,7.4,3.0236646885191236,3.0379387512578777,0.01427406273875409,0.47207822986962833
Cr-Mn-Re-Ti-Zn,BCC,-0.025,-0.142,1.7749925672341786,7.2,3.062197859960609,3.0379546191543967,-0.024243240806212096,-0.7916941332629615
Al-Mo-Ni-Os-Rh,BCC,-0.055,-0.512,4.950186254261787,7.2,3.0489309161809173,3.0379568928249046,-0.010974023356012719,-0.35993020693819955
Fe-Nb-Ni-Re-Ru,BCC,-0.054,-0.236,3.721912053717354,7.6,3.0217383965331424,3.037957212805417,0.016218816272274506,0.536737935053625
Cr-Mn-Rh-Ru-Ta,BCC,-0.048,-0.286,3.6949416765165033,7.0,3.030169654331687,3.037964072430682,0.0077944180989950596,0.257227118879393
Ni-Pd-Ru-V-W,BCC,-0.037,-0.158,2.3424278964210217,7.800000000000001,3.020628204329763,3.0379643516503068,0.01733614732054356,0.5739252283910332
Al-Cr-Ir-Os-Ru,BCC,-0.073,-0.677,3.862893570903626,6.800000000000001,3.0411082063053114,3.0379980018320225,-0.0031102044732889134,-0.10227207525336786
Co-Fe-Nb-V-W,BCC,-0.033,0.006,2.8985507246376714,6.6000000000000005,3.0438161908116683,3.0380190154439366,-0.005797175367731722,-0.19045747194694562
Co-Os-Pt-Rh-Zn,BCC,-0.007,-0.334,1.4925373134328357,9.6,3.0236063520887817,3.038079122603884,0.014472770515102429,0.4786592178278857
Fe-Mn-Mo-Rh-Ti,BCC,-0.036,-0.238,2.258769757263128,6.800000000000001,3.050579483193706,3.038080819147318,-0.012498664046387997,-0.40971442033376965
Al-Ir-Ni-Os-Re,BCC,-0.065,-0.663,3.0303030303030325,7.4,3.0421746904826574,3.0380877556900376,-0.00408693479261979,-0.1343425413867793
Fe-Mo-Re-Ru-V,BCC,-0.061,-0.257,3.721912053717364,6.800000000000001,3.028847641322085,3.0381170619903375,0.009269420668252426,0.3060378654175667
Al-Cr-Fe-Nb-V,BCC,-0.04,-0.102,4.950605827098737,5.4,3.0679033029805014,3.038147976211735,-0.029755326768766466,-0.9698912850303607
Cr-Os-Ru-V-W,BCC,-0.071,-0.367,2.792281631920852,6.6000000000000005,3.0254137357282738,3.0381663868563344,0.012752651128060677,0.42151759203905625
Al-Fe-Ni-Os-Ta,BCC,-0.066,-0.436,5.237828008789242,6.800000000000001,3.055414551191382,3.0382266245472476,-0.0171879266441346,-0.5625399223628296
Al-Co-Fe-Pt-Ti,BCC,-0.029,-0.522,4.057204129667899,6.800000000000001,3.0680024636397576,3.038227655793174,-0.029774807846583595,-0.9704949132035551
Cr-Fe-Ir-Mo-W,BCC,-0.048,-0.105,2.6918398465999576,7.0,3.027480832634085,3.0382335493472574,0.010752716713172461,0.35517043071803595
Cr-Nb-Ni-Os-Zn,BCC,-0.021,-0.193,3.721912053717364,8.200000000000001,3.0381931784073335,3.0383029766690948,0.00010979826176127361,0.0036139328644938734
Co-Cr-Ir-Mo-Ti,BCC,-0.023,-0.276,2.6918398465999487,6.800000000000001,3.043341201754461,3.0383032364443894,-0.005037965310071613,-0.16554060080963867
Al-Mn-Ru-V-W,BCC,-0.038,-0.342,3.83384925834044,5.800000000000001,3.066046398391662,3.038352692329136,-0.02769370606252597,-0.9032383227159607
Co-Re-Rh-V-W,BCC,-0.045,-0.228,0.0,7.2,3.0251660769871895,3.0383553456396126,0.013189268652423092,0.4359849448516391
Co-Cr-Os-Ti-W,BCC,-0.044,-0.224,2.751218666745544,6.6000000000000005,3.0446218937817453,3.0384107999291445,-0.006211093852600769,-0.20400214112912152
Fe-Mo-Re-V-Zn,BCC,-0.032,-0.068,2.8985507246376763,7.6,3.05244093767408,3.038474209413268,-0.013966728260812022,-0.457559328615691
Co-Cu-Os-Rh-Ta,BCC,-0.005,-0.261,3.60219079821055,8.4,3.0166188787372303,3.0384807034153085,0.02186182467807818,0.7247128509395802
Ni-Re-Rh-V-W,BCC,-0.054,-0.248,0.0,7.4,3.023241698388294,3.0385073305800034,0.01526563219170951,0.5049424992995994
Cr-Mn-Mo-Pd-Re,BCC,-0.034,0.004,2.258769757263128,7.2,3.0253991686894044,3.0385181232055745,0.013118954516170067,0.43362722684468663
Al-Fe-Nb-Ni-Os,BCC,-0.063,-0.423,5.237828008789238,6.800000000000001,3.054900301488631,3.038532007191305,-0.016368294297326003,-0.5358045331086534
Mn-Nb-Ni-Os-Zn,BCC,-0.047,-0.272,3.721912053717364,8.4,3.041108206305312,3.0385413934721166,-0.0025668128331952644,-0.08440386395569015
Cr-Pd-Re-Rh-V,BCC,-0.028,-0.202,1.7879487173599815,7.4,3.0222639924381967,3.0385493717829464,0.016285379344749717,0.5388470161936968
Cr-Mn-Mo-Re-W,BCC,-0.047,0.007,2.691839846599948,6.4,3.041828885658299,3.0385625942141217,-0.0032662914441772273,-0.1073791974156479
Cr-Mo-Os-V-Zn,BCC,-0.028,-0.179,3.721912053717364,7.4,3.0452258912825765,3.0385779456284103,-0.006647945654166154,-0.21830714342725485
Co-Pd-Ru-V-W,BCC,-0.047,-0.132,2.3424278964210217,7.6,3.0225559111882556,3.0385843885387076,0.016028477350451986,0.530295479104991
Co-Ir-Pd-Re-V,BCC,-0.039,-0.304,1.4705882352941169,8.0,3.0144488173569446,3.0385911869383966,0.024142369581451995,0.8008883561877795
Ni-Rh-Ru-Ti-V,BCC,-0.067,-0.52,2.3424278964210217,7.2,3.03281022524119,3.0386300284042123,0.005819803163022108,0.19189473560150888
Ir-Ni-Os-Pt-V,BCC,-0.063,-0.5,1.4925373134328357,8.4,3.0072712509535986,3.0386604766678036,0.031389225714204994,1.0437776673538026
Cr-Fe-Nb-Ru-Zn,BCC,-0.014,-0.091,3.6949416765165033,7.800000000000001,3.0443773504590728,3.038672616164761,-0.005704734294311731,-0.18738591303247915
Cr-Mo-Ni-Ta-V,BCC,-0.044,-0.031,3.1943828249996984,6.4,3.0419297535203866,3.038686282915957,-0.0032434706044295325,-0.10662542751606624
Cr-Os-Pt-Ru-V,BCC,-0.063,-0.463,2.792281631920849,7.4,3.0143754498971993,3.038707327368096,0.02433187747089649,0.8071946535965283
Mn-Os-Ru-V-W,BCC,-0.06,-0.415,2.792281631920852,6.800000000000001,3.028353406129667,3.038713488277604,0.010360082147937266,0.3421028116126573
Cr-Mo-Re-Ru-V,BCC,-0.062,-0.257,3.721912053717364,6.4,3.0322157726155545,3.038729651829862,0.006513879214307572,0.21482241709628647
Al-Ir-Ni-Pt-V,BCC,-0.067,-0.642,3.007518796992485,7.4,3.045484674023681,3.0387412784052654,-0.006743395618415526,-0.22142274022696629
Fe-Ir-Os-Re-V,BCC,-0.075,-0.566,2.3424278964210217,7.4,3.013920491912224,3.0387896122052838,0.024869120293059765,0.8251418828000072
Co-Mo-Ni-Rh-Ta,BCC,-0.019,-0.152,3.5244456730693208,7.800000000000001,3.0273789996242466,3.038790442709446,0.01141144308519948,0.3769413438692628
Ni-Re-Ru-W-Zn,BCC,-0.029,-0.145,1.4925373134328357,8.6,3.0406467922029092,3.0388208285557554,-0.0018259636471538165,-0.060051816996176975
Co-Cu-Nb-Os-Rh,BCC,-0.009,-0.235,3.602190798210557,8.4,3.0160913133401945,3.0388432454663743,0.022751932126179764,0.7543515683874622
Cr-Mn-Os-Ru-Ta,BCC,-0.066,-0.376,4.379562043795623,6.800000000000001,3.0334044449241504,3.038847018287738,0.005442573363587666,0.17942128926114093
Cr-Fe-Ir-Re-Ti,BCC,-0.033,-0.397,1.7749925672341786,6.800000000000001,3.0409207737138715,3.0388537373651365,-0.002067036348734952,-0.06797402834702872
Mn-Pd-Rh-Ru-V,BCC,-0.05,-0.334,2.7512186667455425,7.800000000000001,3.0084944439583343,3.0388743095884054,0.030379865630071112,1.0098029494812606
Co-Mo-Nb-Ni-Rh,BCC,-0.01,-0.123,3.5244456730693097,7.800000000000001,3.0268551787553495,3.0388861227852497,0.012030944029900237,0.3974733946421378
Co-Ni-Ru-Ta-W,BCC,-0.044,-0.146,3.602190798210557,7.6,3.0286005438893495,3.0389067433328782,0.01030619944352873,0.34029576677990814
Co-Nb-Ni-Ru-W,BCC,-0.04,-0.117,3.602190798210557,7.6,3.0280771455966473,3.0389408809712783,0.010863735374631034,0.35876679662632777
Co-Pd-Re-Rh-Ru,BCC,-0.013,-0.182,2.3424278964210146,8.6,3.0048218753168494,3.0389661841044937,0.034144308787644295,1.136317232915641
Fe-Mn-Mo-Ta-V,BCC,-0.04,-0.043,2.653657721116266,6.2,3.0567993075634314,3.038966678532364,-0.017832629031067526,-0.5833758528714755
Al-Cr-Fe-Ir-Ti,BCC,-0.003,-0.481,4.287464628562718,6.0,3.067931635251524,3.039029926909145,-0.028901708342378818,-0.9420584217160796
Cr-Ir-Os-Re-V,BCC,-0.075,-0.56,2.3424278964210217,7.0,3.017322012351352,3.039047890788424,0.021725878437071966,0.7200384429682176
Al-Cu-Ir-Os-Ru,BCC,-0.019,-0.636,2.8562270128045406,7.800000000000001,3.038250956034268,3.0390581094394795,0.0008071534052116469,0.026566383649400657
Ir-Mn-Mo-Ni-Ti,BCC,-0.045,-0.397,2.691839846599958,7.2,3.044348578073447,3.0390810180816876,-0.005267559991759541,-0.17302749197968015
Cr-Ir-Mn-Mo-W,BCC,-0.055,-0.158,2.6918398465999576,6.800000000000001,3.03378114656806,3.0390891403742866,0.005307993806226374,0.1749629768854948
Ir-Mo-Ni-Os-Zn,BCC,-0.046,-0.358,3.602190798210557,9.0,3.0346066652881425,3.0390891684158894,0.004482503127746895,0.14771282153370185
Co-Fe-Mn-Nb-Ta,BCC,-0.039,-0.006,2.653657721116266,6.800000000000001,3.0517109454405675,3.0391007570128465,-0.012610188427720992,-0.4132170003375104
Cr-Nb-Ni-Re-Ru,BCC,-0.049,-0.212,3.721912053717354,7.2,3.0251223682939368,3.039106204540234,0.013983836246297177,0.4622568790228334
Co-Rh-Ru-Ti-V,BCC,-0.048,-0.489,2.3424278964210217,7.0,3.034722491627956,3.0391393285087527,0.004416836880796637,0.14554335340320543
Co-Mn-Re-Ru-Ta,BCC,-0.052,-0.272,3.721912053717364,7.2,3.0305036069255036,3.0391524171929363,0.008648810267432694,0.28539184865736084
Mn-Mo-Ni-Re-Ti,BCC,-0.051,-0.224,2.6918398465999487,6.800000000000001,3.052340763333933,3.039174720281268,-0.013166043052665,-0.43134250313141087
Cr-Mo-Nb-Ni-V,BCC,-0.041,-0.013,3.1943828249996984,6.4,3.0414109332334225,3.03919317306483,-0.002217760168592431,-0.07291879385186066
Cu-Fe-Nb-Ru-Zn,BCC,-0.015,-0.105,3.721912053717364,8.8,3.041526241927272,3.0391976792567585,-0.002328562670513623,-0.07655901956111753
Co-Cu-Ir-Nb-Ru,BCC,-0.008,-0.268,3.602190798210557,8.4,3.0160180257701645,3.039221608311795,0.023203582541630574,0.769344955612636
Mn-Ni-Os-Pd-Pt,BCC,-0.003,-0.236,2.751218666745544,9.0,2.9916657571279615,3.039267607542446,0.04760185041448439,1.5911486870171885
Co-Mo-Re-Rh-Zn,BCC,-0.036,-0.135,2.919708029197081,8.6,3.041338860859541,3.039276731044214,-0.0020621298153269407,-0.06780335601091629
Mn-Os-Pd-Ru-V,BCC,-0.059,-0.447,3.312693299999688,7.6,3.011775937505985,3.039292843300057,0.027516905794072066,0.9136438554874199
Fe-Ir-Os-Rh-Ru,BCC,-0.058,-0.491,2.7922816319208468,8.4,2.9960392174797184,3.039303098778785,0.043263881299066664,1.444035880660482
Al-Ni-Os-Ru-W,BCC,-0.037,-0.477,2.8562270128045406,7.0,3.0501352622983116,3.039338079999418,-0.010797182298893482,-0.35399027814778555
Co-Cr-Mn-Nb-Ta,BCC,-0.035,0.041,2.653657721116266,6.4,3.0550288801453545,3.0393479786705675,-0.015680901474786957,-0.5132816117286878
Mn-Re-Rh-Ru-Zn,BCC,-0.045,-0.324,2.3424278964210217,8.6,3.0286732237903116,3.039359061519713,0.01068583772940146,0.352822405714288
Co-Ir-Ni-Re-Ta,BCC,-0.038,-0.346,2.9197080291970767,8.0,3.0205259087335268,3.039400877251234,0.018874968517707202,0.6248901379436029
Al-Co-Mn-Nb-Os,BCC,-0.06,-0.387,5.237828008789241,6.4,3.0629654991421056,3.039426769160153,-0.0235387299819525,-0.7684947802561072
Al-Co-Ir-Os-Re,BCC,-0.062,-0.612,3.0303030303030325,7.2,3.044075213280828,3.039430640839937,-0.004644572440891004,-0.15257745342912207
Mn-Mo-Re-Ru-V,BCC,-0.063,-0.305,3.721912053717364,6.6000000000000005,3.035142288011218,3.0394677615940853,0.0043254735828672786,0.1425130413144997
Cr-Fe-Mo-Re-W,BCC,-0.045,0.061,2.691839846599948,6.6000000000000005,3.035561968300897,3.039473327136895,0.003911358835997802,0.12885122678576438
Al-Fe-Mo-Os-V,BCC,-0.062,-0.383,5.237828008789241,6.0,3.061856563420129,3.0394966391118743,-0.02235992430825462,-0.7302734091265963
Fe-Ir-Mn-Mo-W,BCC,-0.043,-0.14,2.6918398465999576,7.2,3.0304164959533972,3.0394993997837783,0.009082903830381017,0.2997246036150371
Ir-Mn-Rh-Ru-Zn,BCC,-0.033,-0.43,2.3424278964210217,9.0,3.0205551367537598,3.0395400837143,0.018984946960540316,0.6285250922763738
Co-Pt-Re-Rh-V,BCC,-0.042,-0.309,0.0,8.0,3.014125973816023,3.039541792768512,0.025415818952489122,0.843223513989746
Cr-Fe-Mo-Rh-Ti,BCC,-0.022,-0.181,2.258769757263128,6.6000000000000005,3.0476825538601804,3.039559460596892,-0.008123093263288528,-0.2665334436816543
Co-Cr-Re-Rh-Ta,BCC,-0.041,-0.195,2.8985507246376763,7.2,3.030227738331305,3.0395983066273526,0.009370568296047654,0.30923643716653015
Al-Co-Ir-V-W,BCC,-0.053,-0.414,3.007518796992485,6.4,3.0581828104578075,3.0396048419266637,-0.018577968531143796,-0.6074839106287008
