pair,structure,omega_sf
Ir-Mg,L12,-0.13538724792500578
Ir-Mn,L12,-0.028775467731026648
Ir-Mo,L12,0.007592511630632411
Ir-Nb,L12,-0.0016176804029286364
Ir-Ni,L12,0.018235779811853727
Ir-Os,L12,0.021374340920381724
Ir-Pb,L12,-0.08595306764491052
Ir-Pd,L12,0.023327276474806213
Ir-Pt,L12,0.028299066202029127
Ir-Re,L12,0.01024842085881067
Ir-Rh,L12,0.014687564151535123
Ir-Ru,L12,0.016412645399065093
Ir-Sc,L12,-0.09831520923121592
Ir-Sn,L12,-0.08040444757058209
Ir-Ta,L12,-0.0035326327064500412
Ir-Ti,L12,-0.043140784736288955
Ir-V,L12,-0.010319773789660945
Ir-W,L12,0.009616577384781071
Ir-Zn,L12,-0.02792958565975476
Ir-Zr,L12,-0.04459318433990595
Mg-Mn,L12,-0.031217631317006396
Mg-Mo,L12,-0.13108099906123094
Mg-Nb,L12,-0.042474290221728064
Mg-Ni,L12,-0.13183123907966846
Mg-Os,L12,-0.13191906405613119
Mg-Pb,L12,-0.0007841428407803636
Mg-Pd,L12,-0.09159940329407579
Mg-Pt,L12,-0.11396952653032441
Mg-Re,L12,-0.15058407277443792
Mg-Rh,L12,-0.12593105860936185
Mg-Ru,L12,-0.12592178291863898
Mg-Sc,L12,-0.02913860602425816
Mg-Sn,L12,-0.02426771076939936
Mg-Ta,L12,-0.09432139978889975
Mg-Ti,L12,-0.0557074488431346
Mg-V,L12,-0.06525177431933132
Mg-W,L12,-0.11235847787694
Mg-Zn,L12,-0.049875552256352707
Mg-Zr,L12,-0.03708383479205757
Mn-Mo,L12,-0.03674073993094262
Mn-Nb,L12,-0.0010431974087164505
Mn-Ni,L12,-0.007213428714551145
Mn-Os,L12,-0.0364087694962866
Mn-Pb,L12,-0.031958338014700785
Mn-Pd,L12,0.10417309405082949
Mn-Pt,L12,0.09556588002978292
Mn-Re,L12,-0.039604521872114135
Mn-Rh,L12,-0.07648622619081866
Mn-Ru,L12,-0.04800076776157508
Mn-Sc,L12,-0.008024580980041064
Mn-Sn,L12,-0.019300296748188422
Mn-Ta,L12,-0.010767157207928537
Mn-Ti,L12,-0.05979561524445297
Mn-V,L12,-0.07325822393613289
Mn-W,L12,-0.03398605766769628
Mn-Zn,L12,-0.044440543135400176
Mn-Zr,L12,0.019392116922132913
Mo-Nb,L12,0.03376883800438393
Mo-Ni,L12,-0.003088616623882499
Mo-Os,L12,0.013370424158468465
Mo-Pb,L12,-0.04410789765677136
Mo-Pd,L12,0.01744805361941491
Mo-Pt,L12,0.02348629687962862
Mo-Re,L12,0.014444480237940427
Mo-Rh,L12,0.0030912870879034916
Mo-Ru,L12,0.008274572154589906
Mo-Sc,L12,-0.06744743017543423
Mo-Sn,L12,-0.08645280834205599
Mo-Ta,L12,0.028259168041563594
Mo-Ti,L12,-0.020823108423967635
Mo-V,L12,0.007344015850462513
Mo-W,L12,0.022194904121436074
Mo-Zn,L12,-0.025523148261865893
Mo-Zr,L12,-0.01161932716078662
Nb-Ni,L12,0.020142403007036763
Nb-Os,L12,0.012444084633067079
Nb-Pb,L12,-0.05374039910439092
Nb-Pd,L12,0.01641597510727071
Nb-Pt,L12,0.013014413415738578
Nb-Re,L12,0.021464832006952407
Nb-Rh,L12,-0.006059706272422159
Nb-Ru,L12,0.00542184741868813
Nb-Sc,L12,-0.035393696105928206
Nb-Sn,L12,-0.06558207530106172
Nb-Ta,L12,0.043891531925908056
Nb-Ti,L12,-0.004288867454800313
Nb-V,L12,0.027671098379244835
Nb-W,L12,0.03496884067118285
Nb-Zn,L12,-0.04126756181154165
Nb-Zr,L12,0.011465656347899422
Ni-Os,L12,0.013955923131375067
Ni-Pb,L12,-0.12515353242371707
Ni-Pd,L12,0.023413238498288632
Ni-Pt,L12,0.017767930968093162
Ni-Re,L12,0.0008214893314524535
Ni-Rh,L12,0.017870781532025013
Ni-Ru,L12,0.006242263372383432
Ni-Sc,L12,-0.1168367094444171
Ni-Sn,L12,-0.13418974028753977
Ni-Ta,L12,-0.005128554836852742
Ni-Ti,L12,-0.0534081880929274
Ni-V,L12,-0.03565499658883083
Ni-W,L12,-0.0035907094086872773
Ni-Zn,L12,-0.07236335901458431
Ni-Zr,L12,-0.04594073317927176
Os-Pb,L12,-0.07390486123625514
Os-Pd,L12,0.018550854053423306
Os-Pt,L12,0.021328819072418258
Os-Re,L12,0.017356085810672862
Os-Rh,L12,0.015413439272422683
Os-Ru,L12,0.015259112797918686
Os-Sc,L12,-0.08213346556162518
Os-Sn,L12,-0.08859108109666403
Os-Ta,L12,0.006852910135966461
Os-Ti,L12,-0.021902222067454027
Os-V,L12,-0.0014530303574410187
Os-W,L12,0.015341029868226427
Os-Zn,L12,-0.030678912149030107
Os-Zr,L12,-0.032257354980157665
Pb-Pd,L12,-0.07828132956544342
Pb-Pt,L12,-0.07586012832363515
Pb-Re,L12,-0.07554077404884355
Pb-Rh,L12,-0.06801341701760429
Pb-Ru,L12,-0.07411966470428685
Pb-Sc,L12,-0.06720556087872719
Pb-Sn,L12,0.049517589191088056
Pb-Ta,L12,-0.07983061449547722
Pb-Ti,L12,-0.053356554832960666
Pb-V,L12,-0.04344120315720766
Pb-W,L12,-0.07240878579417065
Pb-Zn,L12,0.02207350913888844
Pb-Zr,L12,-0.062000384560817426
Pd-Pt,L12,0.027433175941413486
Pd-Re,L12,0.011618591529931416
Pd-Rh,L12,0.02329887914945446
Pd-Ru,L12,0.025016014514520176
Pd-Sc,L12,-0.07741340955064484
Pd-Sn,L12,-0.08344395598929452
Pd-Ta,L12,0.004010035354826077
Pd-Ti,L12,-0.03694809402460328
Pd-V,L12,0.007457165766899662
Pd-W,L12,0.009152697763194807
Pd-Zn,L12,-0.018258849327986115
Pd-Zr,L12,-0.035336615963371606
Pt-Re,L12,0.014045314016489131
Pt-Rh,L12,0.01735302555268017
Pt-Ru,L12,0.01725085116997639
Pt-Sc,L12,-0.09905849622927712
Pt-Sn,L12,-0.07877607998748017
Pt-Ta,L12,0.0016710702341311177
Pt-Ti,L12,-0.03756426533968059
Pt-V,L12,0.0010737485036556849
Pt-W,L12,0.010075757089634797
Pt-Zn,L12,-0.010001044387262762
Pt-Zr,L12,-0.04023270226648338
Re-Rh,L12,0.007095591060872696
Re-Ru,L12,0.011380008326788708
Re-Sc,L12,-0.09508847974141785
Re-Sn,L12,-0.2109421596853625
Re-Ta,L12,0.015458342905289559
Re-Ti,L12,-0.03454323536858342
Re-V,L12,-0.00015295767420844255
Re-W,L12,0.01584899932703937
Re-Zn,L12,-0.04017222967593027
Re-Zr,L12,-0.13490991771632677
Rh-Ru,L12,0.009488854547808229
Rh-Sc,L12,-0.09657345850496205
Rh-Sn,L12,-0.07719335568599703
Rh-Ta,L12,-0.012875065261663925
Rh-Ti,L12,-0.04384325349643806
Rh-V,L12,-0.01329866594036832
Rh-W,L12,0.0032531166732500654
Rh-Zn,L12,-0.03611398624084293
Rh-Zr,L12,-0.04435729007991563
Ru-Sc,L12,-0.08196715507800455
Ru-Sn,L12,-0.08686362029582481
Ru-Ta,L12,-0.0018606007700007886
Ru-Ti,L12,-0.028398131506418855
Ru-V,L12,-0.008112689377949327
Ru-W,L12,0.00899477137157494
Ru-Zn,L12,-0.0365888068669698
Ru-Zr,L12,-0.03148619225115007
Sc-Sn,L12,-0.09480666863583657
Sc-Ta,L12,-0.04191610690204848
Sc-Ti,L12,-0.04242254461269673
Sc-V,L12,-0.05876484312392935
Sc-W,L12,-0.07215332695233127
Sc-Zn,L12,-0.05317947982804218
Sc-Zr,L12,-0.027282071887677346
Sn-Ta,L12,-0.0700532673599989
Sn-Ti,L12,-0.10245263535022557
Sn-V,L12,-0.05814490184777861
Sn-W,L12,-0.08570956096418314
Sn-Zn,L12,0.016995331406546167
Sn-Zr,L12,-0.07118892863640577
Ta-Ti,L12,-0.0050677427492055414
Ta-V,L12,0.01851142261192771
Ta-W,L12,0.028056227038682522
Ta-Zn,L12,-0.05072626425138915
Ta-Zr,L12,0.0005853884404830729
Ti-V,L12,-0.027365387033947353
Ti-W,L12,-0.019758985692892153
Ti-Zn,L12,-0.05727188663864078
Ti-Zr,L12,-0.017395763167879195
V-W,L12,0.010656007648113813
V-Zn,L12,-0.06386183597595659
V-Zr,L12,-0.010292936731001881
W-Zn,L12,-0.043979053756391585
W-Zr,L12,-0.01315636569546915
Zn-Zr,L12,-0.02754809230279849
