pair,structure,omega_sf
Co-V,B2,-0.043993309348010864
Co-W,B2,-0.014628439767894687
Co-Zn,B2,-0.09522013503766545
Co-Zr,B2,-0.06055206837411849
Cr-Cu,B2,0.006646159311380056
Cr-Fe,B2,-0.07503454432818442
Cr-Hf,B2,-0.04138342438042077
Cr-Ir,B2,0.06520455047679792
Cr-Mg,B2,0.045232728319357145
Cr-Mn,B2,-0.08640721045948381
Cr-Mo,B2,-0.017620495370410664
Cr-Nb,B2,-0.0046233815121041995
Cr-Ni,B2,0.013721645272136753
Cr-Os,B2,0.021459883909403798
Cr-Pb,B2,0.03990642204386913
Cr-Pd,B2,0.1422116932706798
Cr-Pt,B2,0.09822226907844306
Cr-Re,B2,-0.014748878266063425
Cr-Rh,B2,0.06514362956010764
Cr-Ru,B2,0.003713824245420401
Cr-Sc,B2,-0.01449501079882731
Cr-Sn,B2,-0.1258615566393617
Cr-Ta,B2,-0.022690446397877564
Cr-Ti,B2,-0.06496325277910656
Cr-V,B2,-0.05989290729829157
Cr-W,B2,-0.014859746207285866
Cr-Zn,B2,0.0976902263492464
Cr-Zr,B2,-0.04103809929583204
Cu-Fe,B2,-0.04741173551344075
Cu-Hf,B2,-0.011366624531472571
Cu-Ir,B2,0.013898841672407597
Cu-Mg,B2,-0.10422789164816723
Cu-Mn,B2,-0.0467804671562226
Cu-Mo,B2,0.014225894651903702
Cu-Nb,B2,0.037887093366569355
Cu-Ni,B2,0.0033461358202971467
Cu-Os,B2,-0.0018418741094491326
Cu-Pb,B2,0.0012102191030089362
Cu-Pd,B2,0.0307268496486105
Cu-Pt,B2,0.01791347546707406
Cu-Re,B2,-0.012535763613690904
Cu-Rh,B2,0.027955523884649915
Cu-Ru,B2,0.018018552081571618
Cu-Sc,B2,-0.06272752496000328
Cu-Sn,B2,-0.026510664996591885
Cu-Ta,B2,0.015701521214973126
Cu-Ti,B2,-0.014499363256879054
Cu-V,B2,0.008834181924543558
Cu-W,B2,0.0031594478759018225
Cu-Zn,B2,-0.038300023826530354
Cu-Zr,B2,-0.007167873225624023
Fe-Hf,B2,-0.10054179874312434
Fe-Ir,B2,0.043226262745669326
Fe-Mg,B2,-0.1047540371793783
Fe-Mn,B2,-0.11448878383781189
Fe-Mo,B2,-0.041044046885615255
Fe-Nb,B2,-0.0358007128134848
Fe-Ni,B2,0.019647063663196896
Fe-Os,B2,0.00020932200794567465
Fe-Pb,B2,-0.07615021562467895
Fe-Pd,B2,0.06851815508190405
Fe-Pt,B2,0.0572022732716827
Fe-Re,B2,-0.013377275704473742
Fe-Rh,B2,0.054487352650539056
Fe-Ru,B2,-0.029713115474250155
Fe-Sc,B2,-0.17017586308810426
Fe-Sn,B2,-0.21174971924194932
Fe-Ta,B2,-0.052648612054233594
Fe-Ti,B2,-0.13291536954965977
Fe-V,B2,-0.08780259526069124
Fe-W,B2,-0.04168861631351331
Fe-Zn,B2,-0.08447126799144265
Fe-Zr,B2,-0.09427991950388495
Hf-Ir,B2,-0.03998428971979893
Hf-Mg,B2,-0.07412811696569901
Hf-Mn,B2,-0.094329124930412
Hf-Mo,B2,-0.04057402102000414
Hf-Nb,B2,-0.013441115191265163
Hf-Ni,B2,-0.04445380318787848
Hf-Os,B2,-0.054548678369834895
Hf-Pb,B2,-0.10537593408561345
Hf-Pd,B2,-0.01776246995889194
Hf-Pt,B2,-0.015992825746184217
Hf-Re,B2,-0.055901575123083455
Hf-Rh,B2,-0.041402691596552854
Hf-Ru,B2,-0.055320035985722736
Hf-Sc,B2,-0.03320934425806409
Hf-Sn,B2,-0.10015505461602606
Hf-Ta,B2,-0.014753019600219106
Hf-Ti,B2,-0.023073781062340332
Hf-V,B2,-0.0097640229198572
Hf-W,B2,-0.0343410489429137
Hf-Zn,B2,-0.047408246276188566
Hf-Zr,B2,-0.016222836124713758
Ir-Mg,B2,-0.19421381533385504
Ir-Mn,B2,0.05677974666082384
Ir-Mo,B2,0.04510890379826629
Ir-Nb,B2,0.030104263780360758
Ir-Ni,B2,0.005909944486901121
Ir-Os,B2,0.06277242866650999
Ir-Pb,B2,-0.11674039115644215
Ir-Pd,B2,0.03731170748188033
Ir-Pt,B2,0.04489727919895171
Ir-Re,B2,0.043591120141305305
Ir-Rh,B2,0.046236636703327734
Ir-Ru,B2,0.0564698758958325
Ir-Sc,B2,-0.14707355456050897
Ir-Sn,B2,-0.1342509849218089
Ir-Ta,B2,0.029179353855404926
Ir-Ti,B2,-0.046856792463782757
Ir-V,B2,0.007250432902506948
Ir-W,B2,0.04319956771536369
Ir-Zn,B2,-0.04740453199019769
Ir-Zr,B2,-0.02672836607283577
Mg-Mn,B2,-0.005074702256546038
Mg-Mo,B2,-0.1310074530534936
Mg-Nb,B2,-0.08133761282983708
Mg-Ni,B2,-0.17179363984426507
Mg-Os,B2,-0.18519264894932996
Mg-Pb,B2,-0.025136680238088634
Mg-Pd,B2,-0.15560948447116021
Mg-Pt,B2,-0.17978794297136103
Mg-Re,B2,-0.16266595382775764
Mg-Rh,B2,-0.19374866711765715
Mg-Ru,B2,-0.1678955689910811
Mg-Sc,B2,-0.036004226735188744
Mg-Sn,B2,-0.03997635318024576
Mg-Ta,B2,-0.10004117761869369
Mg-Ti,B2,-0.08065990716593538
Mg-V,B2,-0.0375879016168116
Mg-W,B2,-0.14434874184941376
Mg-Zn,B2,-0.06291894980681417
Mg-Zr,B2,-0.05996560224227133
Mn-Mo,B2,-0.04845096314049217
Mn-Nb,B2,-0.04763701791409411
Mn-Ni,B2,0.05607950288342075
Mn-Os,B2,0.02162626648647764
Mn-Pb,B2,0.03363661867370006
Mn-Pd,B2,0.1226366681225266
Mn-Pt,B2,0.10743139267946991
Mn-Re,B2,-0.014530447260061943
Mn-Rh,B2,0.0691269071962021
Mn-Ru,B2,-0.033831608601782304
Mn-Sc,B2,-0.08865805843458162
Mn-Sn,B2,-0.05328972936345952
Mn-Ta,B2,-0.0607602373488002
Mn-Ti,B2,-0.12365370514265632
Mn-V,B2,-0.10499760359886143
Mn-W,B2,-0.05053852634213554
Mn-Zn,B2,-0.06701178867440684
Mn-Zr,B2,-0.08717767459619148
Mo-Nb,B2,0.007995242706445436
Mo-Ni,B2,0.005927013704056482
Mo-Os,B2,0.031081739590093613
Mo-Pb,B2,-0.13936474200409352
Mo-Pd,B2,0.033353792156494796
Mo-Pt,B2,0.03885416594739498
Mo-Re,B2,0.015638944533094157
Mo-Rh,B2,0.03469743865161201
Mo-Ru,B2,0.02160788771789734
Mo-Sc,B2,-0.10920250546521185
Mo-Sn,B2,-0.14751347574591872
Mo-Ta,B2,-0.0075830183411052365
Mo-Ti,B2,-0.05556695649889175
Mo-V,B2,-0.027882155739816873
Mo-W,B2,0.005726458839447373
Mo-Zn,B2,-0.041557506424404395
Mo-Zr,B2,-0.04513964578145359
Nb-Ni,B2,0.017623666263079606
Nb-Os,B2,0.015059099257047707
Nb-Pb,B2,-0.12216207361882568
Nb-Pd,B2,0.04167651066071502
Nb-Pt,B2,0.03323765137300083
Nb-Re,B2,0.004574409174638635
Nb-Rh,B2,0.025732276020997886
Nb-Ru,B2,0.017154183916635795
Nb-Sc,B2,-0.06101730236193946
Nb-Sn,B2,-0.11002088368425009
Nb-Ta,B2,0.01667616046440012
Nb-Ti,B2,-0.028157478232383952
Nb-V,B2,0.00030254563398417054
Nb-W,B2,0.004819249912081786
Nb-Zn,B2,-0.01846897947831954
Nb-Zr,B2,-0.01759165403812286
Ni-Os,B2,-0.0007612139899592079
Ni-Pb,B2,-0.10035327991210645
Ni-Pd,B2,0.03765813029288233
Ni-Pt,B2,0.01878556005471224
Ni-Re,B2,-0.010557519223886137
Ni-Rh,B2,0.02026528124672018
Ni-Ru,B2,0.008154908384156978
Ni-Sc,B2,-0.11590987924878109
Ni-Sn,B2,-0.13094213701698362
Ni-Ta,B2,-0.0006842118997338486
Ni-Ti,B2,-0.05292205357749498
Ni-V,B2,-0.015736930158325863
Ni-W,B2,9.588516675957748e-05
Ni-Zn,B2,-0.0743053593278868
Ni-Zr,B2,-0.035718002750854114
Os-Pb,B2,-0.15100433580447048
Os-Pd,B2,0.032751712488238924
Os-Pt,B2,0.04281513388311987
Os-Re,B2,0.03943929641216704
Os-Rh,B2,0.04473328277123394
Os-Ru,B2,0.04840805250531575
Os-Sc,B2,-0.15000726910119444
Os-Sn,B2,-0.16279084954752754
Os-Ta,B2,0.010116976641631944
Os-Ti,B2,-0.07125600449243569
Os-V,B2,-0.015020100882768632
Os-W,B2,0.03387072671979759
Os-Zn,B2,-0.04937249424260823
Os-Zr,B2,-0.050529662850280974
Pb-Pd,B2,-0.06572340509873288
Pb-Pt,B2,-0.05876261412154748
Pb-Re,B2,-0.15404950223483313
Pb-Rh,B2,-0.12606257936131904
Pb-Ru,B2,-0.15069385044251768
Pb-Sc,B2,-0.10137356634148412
Pb-Sn,B2,0.01659175936007502
Pb-Ta,B2,-0.12662450166082723
Pb-Ti,B2,-0.098257258743449
Pb-V,B2,-0.03665680786352444
Pb-W,B2,-0.14033857052037255
Pb-Zn,B2,0.07027043341186329
Pb-Zr,B2,-0.019481597833436785
Pd-Pt,B2,0.03891203292777528
Pd-Re,B2,0.02206107807911366
Pd-Rh,B2,0.042603861879967064
Pd-Ru,B2,0.038432659647836404
Pd-Sc,B2,-0.08224598553403634
Pd-Sn,B2,-0.08485926706572322
Pd-Ta,B2,0.021342443420830307
Pd-Ti,B2,-0.0161762245182834
Pd-V,B2,0.06738630551133405
Pd-W,B2,0.02565683696966166
Pd-Zn,B2,-0.02956972936424132
Pd-Zr,B2,-0.008733877762903812
Pt-Re,B2,0.033375227744900024
Pt-Rh,B2,0.038796882409658444
Pt-Ru,B2,0.046387940479339466
Pt-Sc,B2,-0.11114349619278757
Pt-Sn,B2,-0.0871669337955135
Pt-Ta,B2,0.026742039592829704
Pt-Ti,B2,-0.02413632941205709
Pt-V,B2,0.03867233606303968
Pt-W,B2,0.037142410368624416
Pt-Zn,B2,-0.03495971563701839
Pt-Zr,B2,-0.015159120388696695
Re-Rh,B2,0.03258724996723037
Re-Ru,B2,0.03769321552204319
Re-Sc,B2,-0.13953733191376178
Re-Sn,B2,-0.1614829099144927
Re-Ta,B2,-0.00027968218806071664
Re-Ti,B2,-0.07205529663441895
Re-V,B2,-0.029450357704697373
Re-W,B2,0.017783301958830856
Re-Zn,B2,-0.06167919691930793
Re-Zr,B2,-0.05016024456067678
Rh-Ru,B2,0.049865513760498095
Rh-Sc,B2,-0.1393549254751723
Rh-Sn,B2,-0.14340584369373768
Rh-Ta,B2,0.019780307006903662
Rh-Ti,B2,-0.04315512661156265
Rh-V,B2,0.012404970004179361
Rh-W,B2,0.03469752756991883
Rh-Zn,B2,-0.0607615421241893
Rh-Zr,B2,-0.03818612316227936
Ru-Sc,B2,-0.14249277273042935
Ru-Sn,B2,-0.17381211002806124
Ru-Ta,B2,0.0057295645427454306
Ru-Ti,B2,-0.07352913016954293
Ru-V,B2,-0.019591175085978213
Ru-W,B2,0.021910953914926302
Ru-Zn,B2,-0.04291012216751958
Ru-Zr,B2,-0.055292550857039144
Sc-Sn,B2,-0.0904922725052445
Sc-Ta,B2,-0.0665702401221339
Sc-Ti,B2,-0.02704582381363335
Sc-V,B2,-0.06918859822720436
Sc-W,B2,-0.11126831613036436
Sc-Zn,B2,-0.06883359293817129
Sc-Zr,B2,-0.033156448589332574
Sn-Ta,B2,-0.12103483351345613
Sn-Ti,B2,-0.10575083452137722
Sn-V,B2,-0.1363002163952344
Sn-W,B2,-0.14620712720054688
Sn-Zn,B2,0.04402567036640141
Sn-Zr,B2,-0.0910724326105759
Ta-Ti,B2,-0.0284489427849723
Ta-V,B2,-0.010926226515642923
Ta-W,B2,-0.007368229771756034
Ta-Zn,B2,-0.03807623417013179
Ta-Zr,B2,-0.01987695819397286
Ti-V,B2,-0.04408369384450024
Ti-W,B2,-0.04906687086698465
Ti-Zn,B2,-0.06140379652602695
Ti-Zr,B2,-0.02999525100848758
V-W,B2,-0.0301148809474914
V-Zn,B2,-0.05130867180661619
V-Zr,B2,-0.0022285275449631637
W-Zn,B2,-0.04904165487535056
W-Zr,B2,-0.03622145088438491
Zn-Zr,B2,-0.03284448772210899
Ag-Al,L12,0.016837872679977994
Ag-Au,L12,0.04730712123371781
Ag-Be,L12,0.07186901729786116
Ag-Ca,L12,-0.11267131683990786
Ag-Co,L12,0.018282005552411055
Ag-Cr,L12,0.04107317916883551
Ag-Cu,L12,0.034193346318050655
Ag-Fe,L12,0.02768166548223843
Ag-Hf,L12,-0.0054619257129813
Ag-Ir,L12,0.018139168304768388
Ag-Mg,L12,-0.059282059092637444
Ag-Mn,L12,0.0031555144933282445
Ag-Mo,L12,0.041968409356384774
Ag-Nb,L12,0.044528878899253346
Ag-Ni,L12,0.028166633034135836
Ag-Os,L12,0.0159214393638941
Ag-Pb,L12,0.004993772970958314
